"","PG","WMT","CAT","CVX","T","KO","MCD","HD","MRK","DIS"
"T+1",0.0010073353458552,0.000533187463299693,-0.000228362548040628,0.000495488233661111,0.00120178952501473,0.000296806224252435,0.00110221272230536,0.00211013387526244,0.00116534959071563,0.00127435901036181
"T+2",0.000758807170733443,0.00065876833096222,5.80188817775673e-05,0.0008403525299113,0.00145393844446845,-0.000322763150166399,-0.000333816963454121,0.00119182200167508,0.000964045938579069,0.00125077236357376
"T+3",0.000828139015151032,0.000506781295575285,-6.3597767728103e-05,0.000769878725983781,0.000525411236002364,0.000571733550960429,0.000299374951241284,0.0025320390164397,0.000507014949594469,0.00126232127677307
"T+4",0.000804228263807416,0.000571652766068042,-5.3218744707724e-05,0.000709840693551642,0.00138128596647981,0.000405784626077081,-0.000114071942923341,0.00132867929314494,0.000625793805614308,0.00127280424920595
"T+5",0.000812191691537118,0.00053961697325356,-5.10433482412766e-05,0.000668588386304811,0.000529286885934952,0.000525611777903615,0.000145213450402164,0.0024516971206161,0.000631893513180688,0.0012798813492286
"T+6",0.000809525332782685,0.000554987339133992,-5.17173201769301e-05,0.000640559330631239,0.00137122405477967,0.000493906571040365,-1.7965941357405e-05,0.00140756557351188,0.000621882064289454,0.00128446039782126
"T+7",0.00081041736396048,0.000547572567935471,-5.16783352278836e-05,0.000621527343799856,0.000538665124702289,0.000510966847639262,8.46977637651965e-05,0.00237869768108885,0.000623721175824435,0.00128740137088349
"T+8",0.00081011889681011,0.000551145796899721,-5.16633232373023e-05,0.000608604948261175,0.0013618984722888,0.000505530141628253,2.01054900488426e-05,0.00147549198152868,0.000624028649177668,0.0012892877715147
"T+9",0.000810218759797547,0.00054942349377964,-5.16669460310987e-05,0.000599830881306982,0.000547881501901359,0.000508057266285607,6.07445025725016e-05,0.0023155251445036,0.000623825082872329,0.00129049746085985
"T+10",0.000810185346920071,0.000550253616000852,-5.16668410156776e-05,0.000593873453338534,0.00135278484031308,0.000507167381860525,3.51759693334964e-05,0.00153424630908876,0.000623849163339069,0.00129127316347554
"T+11",0.000810196526436034,0.000549853507674566,-5.16667436456117e-05,0.0005898284707889,0.000556893058899687,0.000507550719558713,5.12627253548881e-05,0.00226088028443441,0.000623858450059492,0.0012917705721147
"T+12",0.000810192785914547,0.000550046354524625,-5.16667624862572e-05,0.000587082003033706,0.00134387417147383,0.000507408287176402,4.11415456488102e-05,0.00158506915438623,0.000623854585598327,0.00129208952812662
"T+13",0.000810194037444657,0.000549953404903902,-5.16667625480545e-05,0.000585217202620464,0.000565703965072956,0.000507467227760396,4.75094099025502e-05,0.00221361213354161,0.000623854792350833,0.00129229405395159
"T+14",0.000810193618698869,0.00054999820538452,-5.16667619446944e-05,0.000583951037898652,0.00133516191067105,0.00050744468745189,4.35029900649248e-05,0.00162903123649828,0.000623855025716799,0.00129242520310584
"T+15",0.000810193758805794,0.000549976612148671,-5.16667620389961e-05,0.000583091335653105,0.000574318684888097,0.000507453818085296,4.60236782070868e-05,0.0021727248843822,0.000623854957520857,0.00129250930055675
"T+16",0.000810193711927829,0.00054998701980116,-5.16667620429596e-05,0.000582507613852721,0.00132664363978819,0.000507450271969682,4.44377563697482e-05,0.00166705871526114,0.000623854956126154,0.00129256322680034
"T+17",0.000810193727612589,0.000549982003451081,-5.16667620393567e-05,0.00058211127763049,0.000582741586664157,0.000507451692201203,4.54355585302289e-05,0.00213735715554781,0.000623854961393825,0.00129259780620454
"T+18",0.000810193722364671,0.000549984421265102,-5.16667620398066e-05,0.000581842172723068,0.00131831503938266,0.000507451136041602,4.48077790722382e-05,0.00169995272463537,0.000623854960294432,0.0012926199797348
"T+19",0.000810193724120557,0.0005499832559109,-5.16667620398483e-05,0.000581659455506885,0.00059097694148121,0.00050745135743958,4.52027542120848e-05,0.00210676384666507,0.000623854960162671,0.00129263419818234
"T+20",0.00081019372353306,0.000549983817596126,-5.16667620398275e-05,0.000581535393922838,0.00131017188619239,0.000507451270356785,4.49542507621692e-05,0.00172840625055696,0.000623854960272498,0.00129264331555103
"T+21",0.000810193723729629,0.000549983546871318,-5.16667620398295e-05,0.000581451158419705,0.000599028925318363,0.00050745130491106,4.51105997532574e-05,0.00208030044120363,0.00062385496025703,0.00129264916192852
