"","HPQ","JNJ","PG","CVX","AA","CAT","MRK","KO","AXP","HD"
"T+1",0.00568000337454706,-0.000510745539671697,0.000980084892004553,-0.000342554547661644,-0.00495384713914803,-0.000139398742594577,0.00107785876629676,0.00272363243887691,4.12574154549624e-05,-0.0013619069855813
"T+2",0.00235935853961741,0.00139124382487987,0.0005300246309999,0.0010398833471052,0.00437906221389227,0.000425390513330357,0.00132224618654284,-0.00202426546837245,0.00275954831634413,0.0028728878707242
"T+3",0.00123276422265009,-9.86542392257853e-06,0.000751125963750444,0.000632018132698869,-0.00367871408935994,0.0013886899121481,0.000910796184033604,0.00239505198032475,0.00186216573303646,0.00051056153828225
"T+4",0.00140804461437846,0.00116779298421797,0.000648962400775829,0.00101815856525982,0.00411588955105785,0.00191593194666187,0.00103125559836618,-0.00179306960949039,0.00234935547025893,0.00277325084905984
"T+5",0.00145043564800779,0.000185579444229412,0.000696199001017911,0.000722057416009625,-0.00339587073047927,0.00223893375758935,0.00100407310518481,0.00217951658181166,0.00210954561051246,0.000716418894791779
"T+6",0.00144170651397165,0.0010051348979314,0.000674358718878797,0.000954772801313628,0.00384416096815757,0.00243350266610269,0.00100955027890235,-0.00158879369041092,0.00222952816004375,0.00259363766860638
"T+7",0.00144017679858466,0.000321317006133521,0.000684456777519641,0.000772443317120937,-0.00313394586058799,0.00255099088343411,0.00100851586794172,0.00198575265572849,0.00216966632876895,0.000880886295153086
"T+8",0.00144059370960497,0.000891879404416081,0.000679787845699841,0.000915351927912535,0.00359171261311657,0.00262190996169535,0.00100870305483532,-0.00140499333981558,0.00219954701761444,0.00244361812806182
"T+9",0.00144064578903454,0.000415814898874551,0.000681946569976798,0.000803346624217549,-0.00289063035626241,0.0026647208081646,0.00100867021045953,0.00181140319125311,0.00218463297249321,0.00101776840563359
"T+10",0.00144062651965659,0.000813032477596471,0.000680948463625328,0.000891131854475214,0.00335719958361999,0.00269056371579456,0.00100867583819655,-0.00123960878705583,0.00219207697355517,0.00231872593094741
"T+11",0.00144062490206867,0.000481603011686747,0.000681409947428275,0.000822329392087122,-0.00266460135192838,0.00270616388804866,0.00100867489224012,0.001654522580762,0.00218836148138365,0.00113172113231615
"T+12",0.00144062576850553,0.000758140347290103,0.000681196576077548,0.000876253944954273,0.00313934767618135,0.00271558099160246,0.00100867504869979,-0.00109079485284409,0.00219021597974782,0.00221475448725904
"T+13",0.00144062581054111,0.000527403777828352,0.000681295230316376,0.000833990088900669,-0.00245463071690018,0.00272126566224902,0.00100867502318165,0.00151336054074623,0.00218929035165335,0.0012265855689983
"T+14",0.00144062577252256,0.000719925212125173,0.000681249616606731,0.00086711476840708,0.00293697319118145,0.00272469723545755,0.00100867502729181,-0.000956891252707621,0.00218975235657945,0.00212819936193051
"T+15",0.00144062577190505,0.000559289632120811,0.00068127070653183,0.000841153001198707,-0.00225957757447637,0.00272676871776902,0.00100867502663734,0.00138634215728065,0.00218952175797017,0.0013055592074152
"T+16",0.00144062577353569,0.000693320368270193,0.000681260955407789,0.000861500771098414,0.00274897652564615,0.00272801917600077,0.00100867502674044,-0.000836404053545176,0.00218963685570099,0.00205614313717089
"T+17",0.00144062577351192,0.000581488118949978,0.000681265463931153,0.000845553022373641,-0.00207838210224143,0.00272877401990203,0.00100867502672437,0.00127205031411651,0.00218957940744629,0.00137130392464857
"T+18",0.00144062577344352,0.000674798447217368,0.000681263379373226,0.000858052214699983,0.00257433619856931,0.00272922968431431,0.00100867502672685,-0.000727989006098983,0.00218960808135623,0.00199615709351517
"T+19",0.00144062577344662,0.000596942395726912,0.000681264343188072,0.000848255859646546,-0.00191005977351369,0.00272950474788213,0.00100867502672647,0.00116920988222427,0.00218959376946607,0.00142603570516096
"T+20",0.00144062577344943,0.000661903744231812,0.000681263897559267,0.000855933841537484,0.00241210330068963,0.00272967079105842,0.00100867502672653,-0.000630436547460508,0.00218960091290065,0.00194621934774136
"T+21",0.00144062577344921,0.000607701447572928,0.000681264103599911,0.000849916153775454,-0.00175369600791365,0.00272977102365779,0.00100867502672652,0.00107667349345858,0.00218959734742767,0.00147159933253839
