"","IBM","HD","AIG","PG","DIS","CAT","BA","MRK","AXP","KO"
"T+1",0.0011081058543317,-0.00134127604012416,-6.50146177337607e-05,-0.00113491832010864,0.00204865914117533,-0.00453878535611092,0.000993146662214557,0.0030272818083341,0.0025554837274396,0.000638113696143887
"T+2",0.000559552718232618,0.000780684370153935,0.000347393196718952,-0.00203197808979728,0.00174076797721656,-0.00307745836650675,0.0022576371734427,0.0023629169408946,0.00412698913446313,-0.00036304756312053
"T+3",0.0010113645751712,-0.000194487862780251,0.000376392596946585,-0.000236986705923567,0.00136602809434898,-0.00266995924738078,0.00152144879332563,0.00177921520359359,0.00117538730692089,7.38521447296079e-05
"T+4",0.00089122482755951,-0.000151168910768938,0.000383183319735361,0.000477924339947424,0.00114284858717728,-0.00240023269147763,0.000956707046403965,0.00175857332528554,0.000395032359296354,0.000146122221672251
"T+5",0.000913604932402951,-0.000112241100055248,0.000383047408787766,0.000568675638935354,0.00102584415568762,-0.0021676451474207,0.000730341546933822,0.00178418321797818,0.000603501921374428,7.06098512767064e-05
"T+6",0.000910560664740546,-0.000119907500733546,0.000383238415738329,0.000536297568265758,0.000966724730021227,-0.00195919705456137,0.000672300008783379,0.00178742994995188,0.000741074735491801,7.2747495061898e-05
"T+7",0.000910785976874786,-0.000120598592626965,0.0003832102854823,0.000516680996815678,0.000937205480962068,-0.00177149997242105,0.000667306258500042,0.001786514389646,0.000742742733088847,8.33522321520598e-05
"T+8",0.000910812694665104,-0.000120142625986057,0.000383218796086595,0.000512669911788594,0.000922524038215261,-0.00160239298640834,0.000671552241131755,0.0017862803601657,0.000726127066093704,8.12682981103229e-05
"T+9",0.000910797531331422,-0.000120176843632657,0.000383216978831875,0.000513021084263174,0.000915231855177528,-0.00145002467214357,0.000674530647030458,0.00178630260765607,0.000722618470342504,8.00773229142964e-05
"T+10",0.000910801303610879,-0.00012019301607428,0.000383217430828911,0.000513506650491052,0.00091161148638486,-0.00131273709645862,0.000675680426208495,0.00178631558861323,0.000723967820664351,8.05790377948614e-05
"T+11",0.000910800631438251,-0.000120189078848361,0.000383217326057441,0.00051364651977455,0.00090981434280561,-0.00118903751765817,0.000675961911401799,0.00178631569631823,0.000724668280686991,8.06680233303022e-05
"T+12",0.000910800717744651,-0.000120188901061928,0.000383217351128943,0.000513652162871426,0.00090892228970055,-0.00107758105523844,0.000675979828938476,0.00178631509555142,0.000724641305807138,8.05803060300832e-05
"T+13",0.000910800712535256,-0.000120189109488449,0.000383217345216003,0.000513641549820141,0.000908479506424793,-0.000977155950301747,0.000675955715782353,0.00178631503709157,0.000724549655372223,8.05820583001692e-05
"T+14",0.000910800711419745,-0.000120189087442047,0.000383217346619773,0.000513637292275533,0.000908259725903186,-0.000886670378638375,0.000675940067259647,0.00178631506014259,0.000724534758650789,8.0594499298931e-05
"T+15",0.000910800711921591,-0.000120189080980363,0.00038321734628751,0.000513636744902568,0.000908150635550966,-0.000805140579033365,0.000675934245138682,0.00178631506494002,0.000724543087442303,8.05921642012219e-05
"T+16",0.000910800711803974,-0.000120189082941857,0.000383217346366262,0.000513636935281807,0.000908096487453444,-0.00073168015764694,0.000675932888505103,0.0017863150642826,0.000724546578258827,8.05907486593219e-05
"T+17",0.000910800711824023,-0.000120189082956447,0.000383217346347608,0.000513637051865666,0.000908069610504616,-0.000665490451104915,0.000675932836181683,0.0017863150639986,0.000724546246213929,8.05913243941068e-05
"T+18",0.000910800711821608,-0.000120189082863363,0.000383217346352028,0.000513637075888646,0.000908056269863721,-0.000605851843410646,0.000675932971415525,0.00178631506400427,0.000724545750179789,8.0591433600753e-05
"T+19",0.000910800711821715,-0.000120189082876214,0.000383217346350981,0.000513637073866781,0.000908049648104081,-0.000552115942263345,0.000675933053337885,0.00178631506401813,0.000724545692474248,8.05913317559481e-05
"T+20",0.000910800711821758,-0.000120189082878663,0.000383217346351229,0.000513637070987392,0.000908046361327929,-0.000503698529722207,0.000675933082726675,0.00178631506401909,0.000724545742107877,8.0591332935468e-05
"T+21",0.000910800711821742,-0.000120189082877711,0.00038321734635117,0.000513637070152514,0.000908044729903952,-0.000460073210575652,0.000675933089219187,0.00178631506401853,0.000724545759083421,8.05913475231698e-05
