"","HD","JNJ","WMT","PG","CSCO","VZ","MRK","KO","GS","NKE"
"T+1",0.000932609667909497,0.000467309207251007,-0.000654033934085218,4.12586005698245e-05,0.000439368246147828,-0.00258519704356611,0.00247901631998722,0.00148891102836623,-0.00166217809199732,-0.00561140951783238
"T+2",-0.000706500409568574,0.000537324212649379,-8.65288971154714e-05,-0.000194337903704411,0.00106000562068184,-0.00221298799668835,-0.00220480069897683,0.0013298665151563,-0.000951891774915281,0.00345294097729267
"T+3",0.000605678661324742,0.00031079729703753,-3.49532918789985e-06,9.70729676273026e-05,0.000430162569632685,-0.00196783670674197,0.00184781829132012,0.00128868094436787,-0.000743794068795573,-0.00480052665856734
"T+4",-0.000452013325254736,0.000354668429525791,-4.17005367752875e-05,0.000305210668304296,0.000399116384961255,-0.00176296617383613,-0.000179570035021095,0.00126017275315782,-0.000872585988552108,0.00233761415991561
"T+5",0.000400515667356116,0.000327620054057007,-9.21836933264215e-05,0.000435119110954336,0.000463041488613448,-0.00158435227869131,0.00108536322784082,0.00123421091078075,-0.000767861735195868,-0.00382414993355007
"T+6",-0.000286646416354207,0.000335951894615815,-0.000129636222665776,0.000515130009350269,0.000463026467402781,-0.00142763407844368,0.000369635788372236,0.00120975450445257,-0.000851454911294478,0.00149440242010089
"T+7",0.00026722533800083,0.000332206382185676,-0.000153043122327319,0.000564338898924593,0.000456691608802358,-0.00128999909234178,0.000791884941523968,0.00118663548943652,-0.00078465487767039,-0.00309631546905816
"T+8",-0.000179210703140593,0.000333556724143961,-0.000166504668870006,0.00059459907472005,0.000456999508299001,-0.00116910716161187,0.000547253017722271,0.00116477298183959,-0.000838031777838709,0.000866170392788335
"T+9",0.000180629164595763,0.000333005285033801,-0.000173877198025062,0.000613206751386635,0.000457612460187856,-0.00106291941926474,0.000690094607150077,0.00114409795005429,-0.000795380526055985,-0.00255405592497208
"T+10",-0.000109411778517743,0.000333214864687331,-0.000177787926510341,0.000624649018475442,0.000457552296554589,-0.000969647113226343,0.000606970550321091,0.00112454582474872,-0.000829461351761494,0.000398118157346818
"T+11",0.000124369289742895,0.000333131881777802,-0.0001798164933999,0.000631685117247728,0.000457494457252946,-0.000887719326292831,0.000655413839758541,0.00110605561162905,-0.000802228793524719,-0.00215005585295407
"T+12",-6.40647543971997e-05,0.000333163975505441,-0.000180851649105757,0.000636011767248277,0.000457503217669617,-0.000815756243489517,0.000627199745580464,0.00108856963562778,-0.000823989188471144,4.94048176277679e-05
"T+13",8.78183268769637e-05,0.000333151395292381,-0.0001813733585534,0.000638672318327958,0.000457508526361413,-0.000752545878281777,0.000643636542255293,0.00107203335473788,-0.000806601369664949,-0.00184906334894185
"T+14",-3.4603661583802e-05,0.000333156288704372,-0.000181633768955465,0.000640308348985622,0.000457507401344789,-0.000697023656063965,0.000634062022429348,0.00105639518928728,-0.000820495246296344,-0.000210397367010579
"T+15",6.4071866545856e-05,0.000333154376874412,-0.000181762760928187,0.000641314379778711,0.000457506929618916,-0.000648254484260323,0.000639639514635407,0.00104160636099525,-0.000809393232294468,-0.00162481465755212
"T+16",-1.54633539981841e-05,0.000333155121933684,-0.000181826263133005,0.000641933009968739,0.00045750706393566,-0.000605417003635931,0.00063639050223566,0.00102762074081856,-0.000818264385980931,-0.000403958001075322
"T+17",4.86442462031245e-05,0.000333154831156896,-0.000181857368166008,0.00064231341911192,0.00045750710419141,-0.000567789755142951,0.000638283141748226,0.00101439470506616,-0.000811175819193361,-0.00145774247163496
"T+18",-3.02826284958081e-06,0.000333154944545508,-0.000181872541216539,0.000642547340958201,0.000457507088932214,-0.000534739029271198,0.000637180631466084,0.00100188699932884,-0.000816839995565203,-0.000548166638549633
"T+19",3.86212168286089e-05,0.000333154900308598,-0.000181879917200135,0.000642691184583277,0.000457507085680559,-0.000505708193257408,0.000637822872673066,0.000990058609799291,-0.000812313989824862,-0.00133326854434398
"T+20",5.05057763834651e-06,0.000333154917562304,-0.000181883492529359,0.000642779637153244,0.00045750708735017,-0.000480208316403571,0.000637448750583269,0.000978872641580878,-0.000815930531157055,-0.000655606517648402
"T+21",3.21094466650571e-05,0.000333154910831803,-0.000181885221387852,0.000642834028560091,0.000457507087591682,-0.000457809935617983,0.000637666686435199,0.000968294203605808,-0.000813040704683596,-0.00124053163251044
