"","UNH","HD","CSCO","PG","VZ","CVX","KO","NKE","MRK","GS"
"T+1",-0.000122794267864024,-0.0016336762358285,0.00121143929830736,0.00634556100384246,0.00223539427778475,0.000435498838526465,0.00125527573144963,0.00262312387999517,0.003173702986328,0.00163671591882285
"T+2",0.00119941121790423,0.00207172691972915,-0.00222418300467123,-0.00265689245208596,-0.000451696204832301,-0.00209985711579975,-0.00262582632214565,0.0022602245305657,-0.00534074041323132,-0.00107236526920867
"T+3",0.000563638786080604,0.000558405346715463,6.38312547685638e-05,0.00191245615228277,0.000750344628126883,0.00105776900016105,0.000687057878470485,0.00284132930455184,0.00142314956812438,0.00352605310382289
"T+4",0.000685533185453578,0.000978602286903776,-8.02789350769175e-05,-0.00163493500150299,0.000369275648010966,-0.000287089947757879,-7.57916006518679e-05,0.00268574433755699,-0.0015296507872658,0.00221076661731978
"T+5",0.000642699011412914,0.000810840184406217,0.000340072183848908,0.00156944591219422,0.000497011132720022,0.000485311082750719,0.000385223499791523,0.00276650892641945,0.00023247007417258,0.00315743530457302
"T+6",0.000652582164768375,0.000858416070128056,0.000410294918579905,-0.00143307368976286,0.000454626362043192,8.67194799062788e-05,0.000252790820324682,0.00273638784581633,-0.000650849974205808,0.00277363264298081
"T+7",0.00064955287102433,0.000839799141143135,0.000510256964652903,0.00140255155960619,0.000468715873585738,0.000299941220874635,0.000319364381928094,0.00274945908271907,-0.000164283503748114,0.00299091617916308
"T+8",0.000650316108970153,0.000845178469974972,0.00054770111321763,-0.00127987616113502,0.000464033772302146,0.000187282979340256,0.000297613121397878,0.00274418491428043,-0.000418744880995477,0.0028906031126186
"T+9",0.000650096354794715,0.000843110567775677,0.000576350183631998,0.00125850182491975,0.000465589777252479,0.000247059113096108,0.000307468683059516,0.00274638716008984,-0.000281846776041202,0.0029428963736551
"T+10",0.000650154079001384,0.000843718078179562,0.000590519829009537,-0.00114373348775616,0.000465072674784307,0.000215387857441495,0.00030399550277107,0.00274548245599464,-0.000354362264466388,0.00291756899462045
"T+11",0.000650137935082146,0.00084348818848832,0.00059953901773806,0.00112969470637139,0.000465244522221359,0.00023217656425685,0.000305477829423013,0.00274585699142251,-0.000315623084798912,0.00293038915408999
"T+12",0.000650142259924477,0.000843556726237635,0.000604472668681189,-0.00102183959859935,0.000465187412589243,0.000223278493651898,0.000304931656280417,0.00274570250413498,-0.000336222332827915,0.00292407030146578
"T+13",0.000650141066706063,0.000843531149819027,0.000607423223195423,0.00101433767875419,0.00046520639169264,0.00022799477317442,0.000305156796289105,0.00274576633696872,-0.000325240955007521,0.00292723499730326
"T+14",0.000650141389332854,0.00084353887508145,0.000609096421386613,-0.000912667829426821,0.000465200084414015,0.00022549503428403,0.00030507164131413,0.00274573998340712,-0.000331086939783304,0.00292566521603957
"T+15",0.000650141300885399,0.000843536027624835,0.000610075589093115,0.000911019318342141,0.000465202180496369,0.000226819963542989,0.000305106038859467,0.0027457508677767,-0.000327972432053396,0.00292644840298444
"T+16",0.000650141324904391,0.000843536897692281,0.000610637986342691,-0.000814888997923364,0.000465201483910489,0.000226117716803296,0.000305092827043422,0.00274574637321584,-0.000329631025854763,0.00292605902196555
"T+17",0.000650141318339265,0.000843536580486487,0.00061096460860823,0.000818482999766963,0.000465201715405157,0.000226489926013469,0.000305098100963213,0.00274574822934909,-0.000328747559971316,0.00292625301992972
"T+18",0.000650141320125751,0.000843536678410967,0.000611153055184127,-0.000727314107969407,0.000465201638473105,0.00022629264541268,0.000305096056935563,0.00274574746284747,-0.000329218087760278,0.00292615648825365
"T+19",0.000650141319638133,0.000843536643054894,0.00061126220614654,0.000735603526095765,0.000465201664039744,0.000226397209292293,0.000305096867236901,0.00274574777938522,-0.00032896747079665,0.00292620455817752
"T+20",0.00065014131977095,0.000843536654069402,0.000611325281491322,-0.000648878301028201,0.000465201655543246,0.000226341787702281,0.000305096551520251,0.00274574764866767,-0.000329100951780618,0.00292618063175303
"T+21",0.000650141319734722,0.000843536650126638,0.000611361781201131,0.000661373134190602,0.000465201658366866,0.000226371162594299,0.000305096676170854,0.00274574770264908,-0.00032902985708008,0.00292619254423071
