"","CVX","HPQ","PFE","PG","JNJ","AA","HD","BA","MRK","AXP"
"T+1",5.66100436186615e-05,-0.0029841082549522,-0.000298849409668466,-0.00110280302651349,0.000983235133016324,-0.000528798644693874,-0.00134793582145665,-0.000110224327112132,-0.000594375436202069,0.00016473218927302
"T+2",0.000617509759442928,-0.00179269326623404,-0.000325587382869195,0.000321704719222735,0.000619720823886751,8.11812925646577e-06,-0.00267998079961672,-0.00085599347009719,-0.00094769928963992,-0.000846238631956478
"T+3",0.00066382680644984,-0.000337012686104562,-0.000367378561735541,0.000311390357459589,0.000577581090857343,-5.91401809043728e-05,-0.00150500452735958,-0.000798897728868285,-0.000944668190912185,-0.000823872505375147
"T+4",0.000756452431747993,0.00032527768960129,-0.000407147279004132,0.000172296543003946,0.00056560227111666,-5.81841012763663e-05,-0.00183740714766676,-0.000731898185019242,-0.000963447105054209,-0.000894191712771187
"T+5",0.000822027709531591,0.000509883555793971,-0.000444841448176923,0.000274054513753576,0.000556745090177436,-5.96663113941951e-05,-0.00167871584453074,-0.000701944640767223,-0.00095872990775276,-0.000942768734636704
"T+6",0.000875110335529882,0.000528567631884718,-0.000480567843074249,0.000214697677926087,0.000548487293319707,-5.99131296991325e-05,-0.00173596310639195,-0.000690718457006321,-0.000960834916142767,-0.000983654305841811
"T+7",0.000917033828951597,0.000515438349144837,-0.000514429174759286,0.000247199579574491,0.000540582422960297,-5.99946589380222e-05,-0.00171217009886264,-0.00068676386937401,-0.000960082611867011,-0.00101715988661994
"T+8",0.000950287925990734,0.000505705236084785,-0.000546522806986691,0.000229776817645273,0.000532995720016389,-6.00156097880293e-05,-0.0017213535273029,-0.000685406026567173,-0.000960372879608096,-0.00104470959986789
"T+9",0.000976645113031132,0.000501936559692697,-0.000576941020868065,0.000239046034716925,0.000525712547168713,-6.0021439498472e-05,-0.00171767150138477,-0.000684945018600474,-0.000960263941424146,-0.00106735255281017
"T+10",0.000997538654222118,0.000501071291537066,-0.000605771280066413,0.000234128143619469,0.000518720590741031,-6.00230189147039e-05,-0.00171911892757816,-0.000684789293079011,-0.000960305230935716,-0.00108596366410621
"T+11",0.0010141007229854,0.000501068600989909,-0.000633096482285237,0.000236734778061461,0.000512008190718165,-6.00234506016801e-05,-0.00171854410610154,-0.000684736812027852,-0.000960289636547127,-0.00110126074652463
"T+12",0.00102722933960969,0.000501177634284325,-0.000658995197630203,0.000235353687276811,0.000505564168251766,-6.00235682466868e-05,-0.00171877118568379,-0.000684719144250329,-0.000960295533718235,-0.0011138339307512
"T+13",0.00103763627890501,0.000501238985229725,-0.000683541894527381,0.000236085341719483,0.000499377792839385,-6.00236003387534e-05,-0.0017186812342959,-0.000684713199303838,-0.000960293304648296,-0.00112416825073085
"T+14",0.00104588576954734,0.000501259383731859,-0.000706807153847629,0.000235697755413067,0.000493438763138027,-6.00236090902612e-05,-0.00171871681584031,-0.000684711199370092,-0.000960294147349241,-0.00113266237353862
"T+15",0.00105242506917368,0.000501262959638616,-0.000728857871852814,0.00023590307150957,0.000487737189688368,-6.00236114770507e-05,-0.00171870273078162,-0.00068471052664459,-0.000960293828784051,-0.00113964397680719
"T+16",0.00105760871524792,0.000501262354534292,-0.000749757452547407,0.000235794310132071,0.000482263578435831,-6.00236121279744e-05,-0.00171870830428917,-0.000684710300368201,-0.000960293949213326,-0.00114538238974442
"T+17",0.00106171774651095,0.000501261559136148,-0.000769565989988552,0.000235851923776312,0.000477008814920376,-6.00236123054959e-05,-0.00171870609840191,-0.000684710224260093,-0.000960293903686996,-0.00115009898302113
"T+18",0.00106497493993831,0.000501261191390874,-0.000788340441078794,0.000235821404403288,0.000471964149099331,-6.00236123539099e-05,-0.00171870697136158,-0.000684710198661378,-0.00096029392089753,-0.00115397570858642
"T+19",0.00106755688890484,0.000501261087239726,-0.000806134789338337,0.000235837571265119,0.000467121180777127,-6.00236123671134e-05,-0.00171870662587775,-0.000684710190051375,-0.000960293914391357,-0.0011571621188251
"T+20",0.00106960357744652,0.000501261075943966,-0.000823000200127707,0.000235829007282169,0.000462471845617596,-6.00236123707143e-05,-0.00171870676260326,-0.000684710187155448,-0.000960293916850915,-0.00115978113583783
"T+21",0.00107122596969396,0.000501261082929064,-0.000838985167767175,0.000235833543833636,0.000458008401715527,-6.00236123716964e-05,-0.00171870670849327,-0.00068471018618142,-0.000960293915921117,-0.00116193379340517
