"","GS","AMGN","IBM","HON","AXP","MMM","CAT","WBA","DOW","TRV"
"T+1",-0.00166729710796102,0.000696499562193855,-6.92710716739529e-08,0.000376414604921284,-0.00176868091587467,0.00314630621694933,0.00117020133591619,-0.00263243030574577,-0.00187729874066039,-0.00650337429335616
"T+2",0.00390445481106148,0.00287053294053734,0.00091379846231036,0.00108998915116628,0.00493809972439504,0.00286455587521037,0.00236754382998849,-0.000904652103392304,0.00487610169451833,0.00154486420368966
"T+3",0.000114885352168308,0.0018411228852363,0.000485506427853387,0.000861013980420391,-7.47755239942907e-05,0.00251241864282791,0.00103796895778106,-0.00200833262702482,-0.000387345622740482,-0.00232461286520189
"T+4",0.00206467528460126,0.00236181026705835,0.000566208770102237,0.000998287037300825,0.00286883662775635,0.00220546292107436,0.00178891429224611,-0.00149099428071355,0.0033791534481311,-0.000216029035200687
"T+5",0.0010027223671024,0.00209816711873869,0.00053488028166087,0.000935828174801895,0.00107634043634577,0.00194860688113317,0.00131978568492942,-0.00173921699242249,0.000630338116629958,-0.00128380740833244
"T+6",0.00157384377378052,0.00223166143501229,0.000541655684218115,0.000967548420864392,0.00216138449931534,0.00173490986366384,0.0016073720663591,-0.00162035599558498,0.00262714656258518,-0.000719623217251123
"T+7",0.00126584298075076,0.0021640672765441,0.000539316894396697,0.000952163057541049,0.00150394523008078,0.00155726854433097,0.00143047031618034,-0.00167728203914183,0.00117503219269915,-0.0010104293920048
"T+8",0.00143184448728181,0.00219829323015161,0.000539869960662036,0.000959767712113173,0.00190223201732563,0.00140961744597072,0.00153921916412023,-0.00165001886836965,0.00223076468877325,-0.000858362335392902
"T+9",0.00134236367988324,0.0021809630950193,0.000539692804480253,0.000956038156758209,0.00166093764739192,0.00128689565571935,0.00147235912601527,-0.0016630758339659,0.00146316793446401,-0.000937217259600231
"T+10",0.00139059566318058,0.00218973811958541,0.000539737206255656,0.000957873151831076,0.00180712058625452,0.00118489438965907,0.00151346459143036,-0.00165682255058085,0.00202126047417001,-0.00089612711588797
"T+11",0.00136459747299947,0.00218529493114239,0.000539723651490412,0.000956971509533263,0.00171855877727964,0.00110011519640654,0.00148819290869906,-0.00165981739292395,0.00161548971187715,-0.00091747799548653
"T+12",0.00137861109843829,0.00218754471670042,0.000539727180062496,0.000957414783770716,0.00177221205049753,0.0010296502748098,0.00150372995473409,-0.00165838309351658,0.00191051207989888,-0.000906365548770224
"T+13",0.0013710574280976,0.00218640554938352,0.000539726135844446,0.000957196906427641,0.00173970736466355,0.000971082777931958,0.00149417776810931,-0.00165907001274451,0.00169601113074745,-0.000912143677120327
"T+14",0.00137512903198308,0.00218698236088063,0.000539726414473497,0.000957304007145029,0.00175939963197148,0.000922403923136767,0.00150005045890419,-0.00165874103120602,0.00185196762823312,-0.00090913755304176
"T+15",0.00137293434281922,0.00218669029535324,0.000539726333662286,0.000957251362297826,0.00174746949384041,0.000881944094219816,0.0014964399246181,-0.00165889858808937,0.0017385768509357,-0.000910701009217988
"T+16",0.00137411733130384,0.00218683818122707,0.000539726355574913,0.000957277240035424,0.00175469711235635,0.000848315575988724,0.00149865968354572,-0.00165882313044635,0.00182101950996349,-0.000909887717241832
"T+17",0.00137347967300636,0.00218676329997739,0.000539726349302075,0.000957264519837414,0.00175031841457107,0.00082036495759298,0.00149729497425147,-0.00165885926886042,0.00176107819733307,-0.000910310735958067
"T+18",0.00137382338565409,0.00218680121571206,0.000539726351020917,0.000957270772465878,0.00175297115478591,0.000797133572155907,0.00149813399845117,-0.00165884196133637,0.00180465953012551,-0.000910090696577525
"T+19",0.00137363811654572,0.00218678201727531,0.00053972635053303,0.00095726769898238,0.00175136404897671,0.000777824615850025,0.00149761816580414,-0.00165885025031076,0.00177297299400083,-0.000910205149031943
"T+20",0.00137373798090259,0.00218679173830477,0.000539726350667632,0.000957269209755851,0.00175233767958989,0.000761775818647105,0.00149793530006539,-0.00165884628052882,0.00179601121948042,-0.000910145615836699
"T+21",0.00137368415169242,0.00218678681611163,0.000539726350629636,0.000957268467133987,0.00175174782634844,0.0007484367293882,0.00149774032570648,-0.0016588481817494,0.00177926089274351,-0.000910176582029616
