"","NKE","CVX","CAT","MCD","KO","DD","MMM","RTX","AXP","TRV"
"T+1",0.00121409953940396,0.00131797394786412,0.00264841843789322,0.00706760517682519,0.000383616123664515,0.00106820888646056,0.00156993790336457,0.000673300342027405,0.00153597160312481,0.00108388942109131
"T+2",0.000601935222315076,0.000208432909229688,0.00215762491453012,0.00429078743947312,6.36049614089319e-05,0.000262556339718432,0.00119289066637398,0.00142906804945402,0.00103525459816027,0.00145970000541497
"T+3",0.00108247478976931,0.000842649445376784,0.00219961967973197,0.00204885176782774,0.00011475360680343,0.00141435485611759,0.00177460035713611,0.00135109758513724,0.00104571294432586,0.00093616148207013
"T+4",0.00109730378608884,0.000540275859674798,0.00220996424406831,0.00148407408727289,0.000198354963348059,0.000897478020630099,0.00130868550826779,0.00133879456966943,0.00107539282156732,0.000993371623886052
"T+5",0.00107811782389718,0.000677433015268854,0.00222161521680753,0.00147175580802031,0.000274031041917743,0.00101519908992042,0.00169616272367684,0.00132389860378855,0.00108993281321393,0.000952288168763324
"T+6",0.00107790382979686,0.000616196327514238,0.00223267252021552,0.00151495313441785,0.000338572472107135,0.00102518238762552,0.00137483168361273,0.00131125597561051,0.00109586035936871,0.000958778779157773
"T+7",0.0010786625697135,0.000643393199769384,0.00224326886547532,0.00153138107677586,0.000393152971228001,0.0010026764914414,0.00164136454443327,0.00130023325407865,0.00109815804756071,0.000955439878441689
"T+8",0.00107865638356439,0.000631335732340154,0.00225341743586904,0.00153359427209954,0.000439252008587578,0.00101360860762771,0.00142028832284124,0.00129064552200995,0.00109903451011591,0.000956100293378667
"T+9",0.00107862665990412,0.000636678085002932,0.0022631375050512,0.00153299861899788,0.000478180287022352,0.00101085062662217,0.00160366065661683,0.00128230425992848,0.00109936705842914,0.000955821300642173
"T+10",0.00107862747528863,0.000634311508039765,0.00227244714502143,0.00153259992839417,0.000511052313451241,0.00101078691797344,0.0014515619386336,0.00127504754712718,0.00109949300682649,0.000955885007824178
"T+11",0.00107862862868501,0.000635359791500205,0.00228136368732097,0.00153250807304522,0.000538810172163294,0.00101122061187381,0.00157772066544284,0.0012687343583924,0.00109954067898154,0.00095586120594619
"T+12",0.00107862857441571,0.000634895461585756,0.00228990373034983,0.00153250893958249,0.000562249501267124,0.0010109913480723,0.0014730779402868,0.00126324201664435,0.00109955871940113,0.000955867172733588
"T+13",0.00107862853009487,0.00063510113167831,0.00229808317172081,0.00153251698768568,0.000582042169864303,0.00101105472213676,0.001559874154908,0.00125846379449788,0.00109956554589636,0.000955865111561948
"T+14",0.0010786285330824,0.000635010032501594,0.00230591723776865,0.00153251978199837,0.000598755520451807,0.00101105301480138,0.00148788078067853,0.00125430684143389,0.00109956812898026,0.000955865660750784
"T+15",0.00107862853476812,0.000635050383786041,0.00231342051189928,0.00153252009943492,0.000612868629349743,0.00101104479296059,0.0015475958956241,0.00125069037944279,0.0010995691063878,0.000955865480393241
"T+16",0.00107862853461817,0.000635032510675549,0.00232060696173717,0.00153251997709101,0.000624786038827986,0.00101104956065087,0.00149806501877429,0.00124754413335061,0.0010995694762259,0.000955865530403657
"T+17",0.00107862853455476,0.000635040427351545,0.00232748996512652,0.00153251990675716,0.000634849352991634,0.00101104812752506,0.00153914854953108,0.00124480696522969,0.00109956961616762,0.000955865514509609
"T+18",0.00107862853456187,0.00063503692075673,0.00233408233503469,0.00153251989200732,0.000643347029616783,0.00101104822638602,0.00150507169471258,0.00124242568636507,0.00109956966911965,0.00095586551903324
"T+19",0.00107862853456423,0.000635038473960001,0.00234039634340398,0.0015325198926784,0.000650522648587955,0.00101104837918249,0.0015333368416688,0.00124035402369016,0.00109956968915597,0.000955865517625883
"T+20",0.00107862853456391,0.000635037785987618,0.00234644374399628,0.00153251989416026,0.000656581893942979,0.00101104828087493,0.0015098922328071,0.00123855172060739,0.00109956969673744,0.000955865518033321
"T+21",0.00107862853456382,0.000635038090716566,0.00235223579427321,0.00153251989463166,0.000661698449660317,0.00101104831284421,0.00152933843223884,0.00123698375472111,0.00109956969960617,0.000955865517908309
