"","MCD","WMT","CAT","RTX","DD","UNH","AXP","MMM","NKE","TRV"
"T+1",-0.00191895644212704,0.00014858244206088,-0.00262086566458198,-0.000621187800010392,0.0020449995106618,0.00271320739807499,0.000213149567747317,0.00335706186015254,0.00365534165874359,0.00326551887235908
"T+2",0.00335963016896359,-0.00154154739946672,-0.00154514503876855,-0.00138147113533617,0.00072502572472356,-0.000373352945278097,-0.00181834806039721,-0.000861283806763759,0.00229241412376932,0.00129226218461568
"T+3",-0.00311328639309137,9.2354791884615e-07,-0.00123084986442465,-0.000260964695243974,0.000715062348848524,0.00326212420189141,-0.000781513395814511,0.000500606506445535,0.0019790697279157,0.00117563632122558
"T+4",0.00313140048757927,0.000258552004570742,-0.000907581862142527,-4.94238735632627e-05,0.000675764156194926,-0.000272979738634046,-0.000546945906181141,0.000547497062253927,0.00173614892772606,0.0015074923109334
"T+5",-0.0027248268862382,0.000412461467679516,-0.000680931308522476,0.000110580779635309,0.000676311995255269,0.00317828566737739,-0.000312376971630018,0.000715942276400114,0.00156252133390577,0.00118020018546024
"T+6",0.00274584293423851,0.000464069811624272,-0.000508270657523066,0.000171194191633276,0.000675123830114374,-0.000190822312004442,-0.000175114283258936,0.000784686715039545,0.00143804617572173,0.00147964894674923
"T+7",-0.00236188949879066,0.00048547785132854,-0.000379359755256685,0.000201742394616733,0.000675165810493731,0.00309809082924227,-8.29899159582914e-05,0.000829269734357284,0.00134881920440202,0.00120822270453871
"T+8",0.00240662302553427,0.000493614773811192,-0.000282653365000143,0.000215235952694189,0.000675129339576361,-0.000112536198822913,-2.36066139614385e-05,0.00085370040553436,0.00128485874728707,0.0014539490057216
"T+9",-0.00204515111832669,0.000496816425238089,-0.000210188425750985,0.000221554764441051,0.000675131381452682,0.00302166816649485,1.5113914409192e-05,0.000867853118591965,0.00123901006151659,0.00123152485471319
"T+10",0.00211091717507753,0.000498058774116259,-0.000155873664427371,0.00022443666250577,0.000675130245753984,-3.79326272029752e-05,4.02782184700217e-05,0.000875897235407487,0.0012061444114631,0.00143285235780356
"T+11",-0.00176908651048188,0.000498543536279682,-0.000115165647899848,0.000225766683757601,0.000675130331327964,0.00294884038619384,5.66478647399474e-05,0.000880498883832873,0.00118258537296479,0.00125062101588713
"T+12",0.00185318990595169,0.000498732268494375,-8.46551960289817e-05,0.000226377243218504,0.000675130295489034,3.31616310011694e-05,6.72936051118842e-05,0.000883125511355058,0.00116569757996307,0.00141556743111305
"T+13",-0.00152847863028604,0.000498805813084091,-6.17878501858807e-05,0.00022665819695783,0.000675130298822255,0.00287943838700199,7.42174323282556e-05,0.000884625907144933,0.00115359192664919,0.00126626644747338
"T+14",0.00162856428080292,0.000498834461480301,-4.46489379247797e-05,0.00022678734132311,0.000675130297677672,0.000100911652078747,7.87204835545396e-05,0.000885482755158158,0.00114491424791753,0.00140140599291628
"T+15",-0.00131877364864316,0.000498845622708729,-3.18034483281644e-05,0.000226846732992209,0.000675130297802093,0.00281330102194823,8.16491528269174e-05,0.000885972126883365,0.00113869383946723,0.00127908465060316
"T+16",0.00143278884667274,0.00049884997080165,-2.21758471987055e-05,0.000226874040464988,0.000675130297765152,0.000165474747214111,8.35538808764958e-05,0.00088625161371736,0.00113423487267611,0.00138980361694738
"T+17",-0.00113600249889253,0.000498851664732161,-1.4960030181143e-05,0.000226886597287561,0.000675130297769671,0.0027502747243316,8.47926656326529e-05,0.000886411234012827,0.00113103855767475,0.00128958652256022
"T+18",0.0012621581782801,0.000498852324647738,-9.55182779772279e-06,0.000226892371051397,0.000675130297768468,0.000227000827754883,8.55983383590321e-05,0.000886502395922807,0.0011287473476105,0.00138029786442879
"T+19",-0.000976705886512732,0.000498852581736305,-5.49841944083113e-06,0.000226895025943072,0.00067513029776863,0.00269021315114931,8.61223265392776e-05,0.000886554460124478,0.00112710494266722,0.00129819063917033
"T+20",0.00111344276296404,0.000498852681892198,-2.46041935402599e-06,0.000226896246704398,0.00067513029776859,0.000285632753296446,8.64631145548619e-05,0.000886584194912321,0.00112592761980198,0.00137250986211173
"T+21",-0.000837868817586882,0.000498852720910693,-1.83460381611461e-07,0.000226896808032056,0.000675130297768596,0.00263297684329773,8.66847540428448e-05,0.0008866011769786,0.00112508368107988,0.00130523993694708
