"","HD","MCD","CAT","DIS","T","RTX","VZ","MMM","DD"
"T+1",-0.00420911067269053,-0.000118547273518999,-0.000219492610942106,-0.00177681751170993,-0.00284329646186521,0.00203798639103109,0.00159427982891545,-0.00188857798038957,-0.00313941933196041
"T+2",-0.00309429579664593,0.00403193697084357,-0.000607484668163639,0.000785259576716937,-0.000957737645607427,-0.00155419571105385,-0.00189695494375205,-0.000232798643502178,0.000128665976325637
"T+3",-0.00272559372642138,-0.000367971831221572,-0.000537414733995122,-0.000166835939784712,-0.000556182123748224,0.000251101511458147,0.0011619968499409,-0.000717133233099959,-0.000421020045345941
"T+4",-0.00249426698490442,0.00182509795761748,-0.000491407095995063,-0.000288093303608475,-0.000509586486407314,-0.000816750085081468,-0.00163497404575085,-0.00087053366699269,-0.000785847057116724
"T+5",-0.00231715608344929,0.00103307555197319,-0.000451583424132302,-0.000172887966378544,-0.000512089298851749,-0.00017657719394794,0.000924813271080524,-0.000856549367238246,-0.000790495496181318
"T+6",-0.00217662764594589,0.00124109639792866,-0.000417546005824209,-0.000177506189653522,-0.000514904969127843,-0.000560743151795828,-0.00141794938399129,-0.000845570646128615,-0.000759297865677981
"T+7",-0.00206450341319032,0.00121436120105581,-0.000388439292410545,-0.000188597944454877,-0.000515695583310699,-0.000330189105913187,0.000726189344276984,-0.000845288837772044,-0.000754388239078361
"T+8",-0.00197496640780103,0.0012040772851176,-0.000363549528955748,-0.000186488248890886,-0.000515826135778721,-0.000468554985801305,-0.00123616519309051,-0.000845940311697843,-0.000756404704310703
"T+9",-0.00190345728874572,0.00121390905805819,-0.000342265750422292,-0.000185666206164708,-0.000515833598980442,-0.000385515347714313,0.000559817165824755,-0.000846025984866369,-0.000757124663275313
"T+10",-0.00184634510770247,0.00120913893643114,-0.000324065528705794,-0.000186003187628594,-0.000515830331489436,-0.000435351201088762,-0.00108389836677951,-0.000845994544079933,-0.000757052449951668
"T+11",-0.00180073119312766,0.00121082787112788,-0.00030850212343627,-0.000186037441787215,-0.000515828965305833,-0.000405442444929168,0.000420459812861286,-0.000845985938977067,-0.00075697913507553
"T+12",-0.00176430060870114,0.00121039636271,-0.000295193517236684,-0.000185997945553563,-0.000515828670550899,-0.000423392046161867,-0.000956355997272588,-0.000845986988395169,-0.000756974859652324
"T+13",-0.00173520449660508,0.00121044587958178,-0.00028381303874186,-0.000186000276601513,-0.000515828635574407,-0.000412619676267992,0.000303730729870561,-0.0008459876319889,-0.00075698064672818
"T+14",-0.00171196622686197,0.00121047089726326,-0.000274081344165521,-0.00018600396881541,-0.00051582863716452,-0.000419084664076143,-0.000849523429644024,-0.000845987634265788,-0.000756981855598848
"T+15",-0.00169340645572448,0.00121044898423223,-0.000265759560562993,-0.00018600318542408,-0.000515828639185935,-0.000415204731640541,0.000205955632065513,-0.000845987594584209,-0.000756981524589574
"T+16",-0.00167858327359579,0.00121045934504046,-0.000258643422486108,-0.000186002923760433,-0.000515828639762475,-0.000417533255088931,-0.000760037892012606,-0.00084598759028928,-0.000756981371208082
"T+17",-0.00166674440301919,0.00121045574873248,-0.000252558258109338,-0.000186003042456053,-0.000515828639859056,-0.000416135802545699,0.000124056849809625,-0.000845987592301017,-0.000756981377981095
"T+18",-0.00165728902054372,0.0012104566412599,-0.00024735470175725,-0.000186003051671591,-0.000515828639864939,-0.000416974477205358,-0.000685082645471824,-0.000845987592777997,-0.000756981392357125
"T+19",-0.00164973726489449,0.00121045655213409,-0.00024290502759352,-0.000186003038180548,-0.000515828639862637,-0.000416471150499803,5.5456452719038e-05,-0.000845987592703144,-0.000756981393840752
"T+20",-0.00164370588398169,0.00121045649214171,-0.000239100014478709,-0.000186003039230735,-0.000515828639861647,-0.000416773219686712,-0.000622298321516253,-0.000845987592665724,-0.000756981392799137
"T+21",-0.00163888878483217,0.00121045654086414,-0.000235846265041973,-0.000186003040454417,-0.000515828639861431,-0.000416591934265786,-2.00489592815594e-06,-0.00084598759266645,-0.000756981392519174
