"","MRK","CAT","BA","T","RTX","VZ","MMM","DD","MDLZ"
"T+1",0.0125912859079391,-0.0033022515570423,-0.00160914297022494,-0.00273396410817843,-0.000590225438214707,-0.000438693643984956,0.00252395774629927,-0.000819625013573709,0.00664218044563601
"T+2",0.00650130025197541,-0.0028534624711369,-0.000471986918564905,0.00218231260242822,-0.000280648147328931,-0.000896744430736182,0.00118254289124167,-0.000706425351777948,-0.00308466858021917
"T+3",0.00571201186115643,-0.00175886215144682,-0.00425208349475552,-0.00100227439977649,-0.00153010752470013,-0.000532683947663674,-0.00190505303538582,-0.00307779330361996,0.000273460201313656
"T+4",0.0047656041842219,-0.00225469588204827,-0.00192672555387049,-0.00154088872493499,-0.000931580105119,-0.000406062213751165,-0.00151290924511608,-0.00251809036935088,0.000400947859949098
"T+5",0.00395007298149141,-0.00211853243688633,-0.0031096238368301,-0.0007471388438755,-0.0010187790931895,-0.000460936018038563,-0.00108164958954552,-0.0025088375238057,-0.000384122281870982
"T+6",0.00323426696768232,-0.00214262108808404,-0.00254023081438538,-0.000764200326091077,-0.00108153730499276,-0.000490903726213833,-0.00116665990035509,-0.00254479206602801,4.09542809716334e-05
"T+7",0.00260673403560387,-0.00214166071162983,-0.00280920120670343,-0.000936166272508435,-0.00103285790676062,-0.000483830023740935,-0.00122499543857226,-0.00253676025308599,-3.74600240317742e-05
"T+8",0.00205654689211215,-0.00214042748265705,-0.00268299774398984,-0.00090300083616599,-0.00104699127740869,-0.000477388113996929,-0.00120877626381596,-0.00253651141143522,-8.23862524488297e-05
"T+9",0.00157417469744833,-0.00214101709978722,-0.00274206848868735,-0.000870783646877406,-0.00104840643666995,-0.000478016255340399,-0.00120118202514263,-0.00253705509159837,-3.98972907958935e-05
"T+10",0.00115125858922581,-0.00214085052065246,-0.00271444471351107,-0.000883600016506005,-0.00104510426475541,-0.000479302834371841,-0.00120405425724645,-0.00253694020705817,-5.484439503929e-05
"T+11",0.000780470154328895,-0.00214088114677534,-0.00272735839649839,-0.000888506678052838,-0.00104657793740355,-0.000479325668937457,-0.00120499507078971,-0.00253693487534688,-5.52411533948967e-05
"T+12",0.000455384254426521,-0.0021408794802524,-0.00272132218497889,-0.000884843858604756,-0.00104640415018778,-0.000479085027637035,-0.00120451182727103,-0.00253694307540011,-5.18450845130469e-05
"T+13",0.00017036769953771,-0.0021408781016949,-0.00272414355061955,-0.000884389140987342,-0.00104622819505706,-0.000479054236906519,-0.00120440328329082,-0.00253694143782455,-5.3716677787996e-05
"T+14",-7.95183662236569e-05,-0.00214087880120067,-0.00272282484712181,-0.00088527391133096,-0.00104635186908576,-0.00047909632868875,-0.0012044814606632,-0.00253694133467263,-5.3358589166413e-05
"T+15",-0.000298604046653814,-0.00214087859781695,-0.0027234412041,-0.000885222800657325,-0.00104631895393058,-0.000479106778805944,-0.00120449257414889,-0.00253694145804398,-5.31681715618172e-05
"T+16",-0.000490685726851952,-0.00214087863659867,-0.00272315312184327,-0.000885036603012925,-0.00104631379111454,-0.000479099973496788,-0.00120448033209004,-0.0025369414347891,-5.33537123645599e-05
"T+17",-0.000659091858166872,-0.00214087863397358,-0.0027232877699801,-0.00088507970399531,-0.00104632245972069,-0.000479097249790061,-0.00120447946057921,-0.00253694143290682,-5.32872193633842e-05
"T+18",-0.000806740634641565,-0.00214087863244672,-0.00272322483616564,-0.000885113357804451,-0.00104631885347644,-0.000479098236281006,-0.00120448132299627,-0.00253694143475852,-5.32861904960692e-05
"T+19",-0.000936190560391045,-0.00214087863327458,-0.00272325425108854,-0.000885098106715472,-0.00104631917225052,-0.000479098859573615,-0.00120448133461815,-0.00253694143442962,-5.33008741790722e-05
"T+20",-0.00104968478416078,-0.00214087863302674,-0.00272324050271397,-0.000885093299869202,-0.00104631965863183,-0.000479098741708593,-0.00120448105888692,-0.00253694143439656,-5.32926364100806e-05
"T+21",-0.00114918996930876,-0.00214087863307567,-0.00272324692862918,-0.000885097482051317,-0.00104631934604974,-0.000479098610943663,-0.00120448107450215,-0.00253694143442429,-5.32942684801125e-05
