"","MCD","AMGN","IBM","CAT","MMM","AXP","HON","DOW","WBA","TRV"
"T+1",-0.00176468043644701,-0.000309903181146726,-0.00215215913881781,-0.00141569562327079,-0.00178224074537985,-0.00130117081225141,-0.000566816319512376,-0.000407760090955439,-0.00259357263702376,0.00181118899330481
"T+2",-0.00192599388766503,0.0017030831672125,8.52313039608568e-05,-0.00014268426569958,0.000244163357623541,-0.000973678802401876,0.000251037291393019,-0.00159282677519921,-0.000854720931588669,0.00138629802173864
"T+3",-0.000671319066068005,0.000981222750396961,-0.000645884247853093,-0.000334825375740779,-0.00328748272807189,-0.000982769015492102,-0.000636156755368935,-0.00033623495025622,-0.00167411802464153,0.0012900307310356
"T+4",-0.000355894971058547,0.000440662887614473,-0.000257545728954451,-0.000483139844867658,0.000137340926156419,-0.000973486359028152,-0.000920637091311228,-0.00142386796418228,-0.00123740579548182,0.00119401677287497
"T+5",-0.000156356288562099,0.000303496646549293,-0.000456387222057267,-0.000521162144862512,-0.00302596242328485,-0.000979618215835953,-0.000940758451896459,-0.000468057202380457,-0.0014681933286229,0.00110631967323111
"T+6",-7.4528720494199e-05,0.000311596117818414,-0.000354346992185052,-0.000524462422180679,-0.000120627709064138,-0.000975533960977184,-0.000928466766700855,-0.00130698230130286,-0.00134616242769348,0.00102601992550287
"T+7",-3.44566924214937e-05,0.000331416886097931,-0.000406704151103799,-0.00052311203888972,-0.00278723921805764,-0.000978253841297488,-0.0009239816952648,-0.000570575031133474,-0.00141068497931169,0.000952498921579076
"T+8",-1.63079496315477e-05,0.00033865161596854,-0.000379839302133931,-0.000522437185336784,-0.000339932399542301,-0.000976442548331237,-0.000923559580469283,-0.00121698703435581,-0.00137656927968558,0.000885184269162004
"T+9",-7.80870595782926e-06,0.000339267744511336,-0.000393623849405535,-0.000522295166363977,-0.00258594875028832,-0.000977648771209543,-0.000923725718276169,-0.000649571732390368,-0.00139460763605248,0.000823552056558406
"T+10",-3.8857382869992e-06,0.000338654319083645,-0.000386550898806147,-0.000522290706751535,-0.000524669142280639,-0.000976845492191312,-0.000923795627087982,-0.0011476443332752,-0.00138507002412298,0.000767122594308397
"T+11",-2.0636652855339e-06,0.000338326353715367,-0.000390180080751403,-0.000522298430920445,-0.00241640650003431,-0.000977380432452104,-0.000923803780949165,-0.000710440197313188,-0.00139011294707043,0.000715456686577115
"T+12",-1.21966513412879e-06,0.000338264197592263,-0.000388317921330336,-0.000522301352663389,-0.000680266406382777,-0.000977024191250577,-0.000923801606409855,-0.00109421448261931,-0.00138744654881025,0.000668152212721329
"T+13",-8.28260132327367e-07,0.000338277833765875,-0.000389273408754706,-0.000522301845311056,-0.00227360726127408,-0.000977261428570269,-0.00092380052878107,-0.000757340491840746,-0.00138885638190823,0.00062484099754998
"T+14",-6.46837633988398e-07,0.000338290941985511,-0.000388783141268582,-0.000522301822981948,-0.000811320266953141,-0.000977103441381776,-0.00092380037918828,-0.00105304578009968,-0.00138811094586672,0.000585185945781775
"T+15",-5.62727070625812e-07,0.000338294732592598,-0.000389034701050343,-0.000522301783310255,-0.002153332710264,-0.000977208652280973,-0.000923800406406771,-0.000793478048847332,-0.00138850508818951,0.000548878418400755
"T+16",-5.23735649494896e-07,0.000338294728484319,-0.000388905623912677,-0.000522301771248149,-0.000921702117234328,-0.000977138587528157,-0.000923800422835382,-0.00102132452228778,-0.00138829668912914,0.000515635830489661
"T+17",-5.05659528338619e-07,0.000338294271713838,-0.000388971854322608,-0.000522301769720889,-0.00205202987630014,-0.000977185246853613,-0.000923800425482908,-0.00082132271463327,-0.00138840687817977,0.000485199451844815
"T+18",-4.97279725594441e-07,0.000338294083074377,-0.000388937871021777,-0.000522301769985657,-0.00101467269294873,-0.000977154174273399,-0.000923800425164701,-0.000996882697902123,-0.00138834861675164,0.000457332393254493
"T+19",-4.9339495263178e-07,0.000338294059801519,-0.000388955308098439,-0.000522301770175262,-0.00196670622235629,-0.000977174866926619,-0.000923800424917051,-0.000842777552119635,-0.0013883794219359,0.000431817762767796
"T+20",-4.91594025810607e-07,0.000338294072811559,-0.00038894636100869,-0.000522301770222624,-0.001092978391998,-0.000977161086741828,-0.000923800424871445,-0.000978049813568154,-0.00138836313398334,0.000408456977604097
"T+21",-4.90759139953095e-07,0.000338294080992511,-0.000388950951824945,-0.000522301770226419,-0.00189484124447302,-0.000977170263597539,-0.00092380042487474,-0.000859308906997623,-0.00138837174608565,0.000387068218564494
