"","VZ","HPQ","UNH","BA","AXP","RTX","DD","AA","MMM","TRV"
"T+1",0.00141167890372668,-0.00288880385251978,-0.000537266838424754,-0.00198055580077124,0.000430307309300243,-0.000901441607817125,-0.00206474000230283,-0.000532035200790457,0.000370753990595349,0.00146935377185265
"T+2",0.00112349796460334,-0.00286752556462323,0.00078025808435687,-0.00173623827480845,0.000871639933738993,-0.000670736301992393,0.00325183989946629,-0.000481331228409553,0.000736039816539812,0.000549403055634279
"T+3",0.000981189536403371,-0.00292828508828579,0.000505704541222109,-0.0015412494544259,0.000514629639448702,-0.000255309179336409,-0.00221882436487857,-0.000562160889886467,0.000581810321437042,0.00107307151400337
"T+4",0.000919255073380678,-0.00293251212484741,0.000513408466156363,-0.00136600776531035,0.000782207721064655,-6.83896664768275e-06,0.00314586007115963,-0.000559838802337084,0.000608183462361848,0.00105477378440277
"T+5",0.000891731117345126,-0.0029331713207342,0.000523977968988678,-0.00120864941843675,0.000582174763561029,0.000127539684279365,-0.00213547852958447,-0.000563634016029722,0.000599601359231306,0.0011044793057428
"T+6",0.000879543438677597,-0.0029332433325297,0.000521029064341162,-0.0010673485882148,0.000731699570650809,0.000198994028374291,0.00306212890941137,-0.000563527740524189,0.00060133723349903,0.00110963262198886
"T+7",0.000874143358738839,-0.00293325235740758,0.000521274408371233,-0.000940466702344142,0.000619930005506057,0.000236873266838212,-0.00205321148776327,-0.000563705940100109,0.000600842000236362,0.00111531810623914
"T+8",0.000871750962185314,-0.00293325342625567,0.000521347947653523,-0.000826532389705618,0.000703477575532693,0.00025694256202222,0.00298115286482098,-0.000563701079491238,0.000600951666323349,0.00111663091573874
"T+9",0.000870691039753042,-0.0029332535557544,0.000521318725506832,-0.000724224424251659,0.00064102590167364,0.000267574656717396,-0.00197351820133006,-0.000563709446728039,0.000600922462930536,0.00111738281747631
"T+10",0.000870221455379544,-0.00293325357129991,0.000521322573097402,-0.000632356403521708,0.000687708427161956,0.000273207108444695,0.00290272103846688,-0.00056370922458395,0.000600929253929767,0.00111761945362332
"T+11",0.000870013412228493,-0.00293325357317303,0.000521322953535459,-0.000549862990663872,0.000652813314648639,0.000276190942352249,-0.00189632794700848,-0.000563709617466211,0.000600927510479496,0.00111772774142442
"T+12",0.000869921241468272,-0.00293325357339839,0.000521322685310956,-0.000475787560379623,0.000678897354973784,0.000277771649953221,0.00282675269568332,-0.000563709607321311,0.000600927926727764,0.00111776656979704
"T+13",0.000869880406434137,-0.00293325357342552,0.00052132273399971,-0.00040927110552943,0.000659399576898871,0.000278609041146385,-0.00182156217359079,-0.000563709625769246,0.000600927821930099,0.00111778283203862
"T+14",0.000869862315013341,-0.00293325357342878,0.000521322734203232,-0.00034954227575605,0.000673974134564007,0.000279052655130023,0.00275317045506603,-0.000563709625306321,0.000600927847307559,0.00111778899168293
"T+15",0.000869854299849071,-0.00293325357342918,0.000521322731942845,-0.000295908432609537,0.000663079676215048,0.000279287662815007,-0.00174914473060184,-0.000563709626172561,0.000600927840984712,0.00111779148001975
"T+16",0.000869850748836743,-0.00293325357342922,0.000521322732489462,-0.000247747617445753,0.000671223266260399,0.00027941215981916,0.00268189937110494,-0.000563709626151455,0.00060092784252753,0.00111779244432729
"T+17",0.000869849175607783,-0.00293325357342923,0.000521322732457658,-0.000204501338955064,0.000665135945835417,0.000279478112998701,-0.0016790018589492,-0.00056370962619213,0.000600927842145277,0.00111779282813694
"T+18",0.000869848478609538,-0.00293325357342923,0.000521322732440664,-0.000165668096682606,0.000669686208035509,0.000279513052167888,0.0026128668523016,-0.000563709626191169,0.000600927842238931,0.00111779297829484
"T+19",0.0008698481698137,-0.00293325357342923,0.000521322732446287,-0.000130797565436406,0.000666284894379567,0.000279531561442983,-0.00161106211624899,-0.000563709626193079,0.000600927842215797,0.00111779303769433
"T+20",0.000869848033005796,-0.00293325357342923,0.000521322732445675,-9.94853731435009e-05,0.000668827370851772,0.000279541366864019,0.00254600258719605,-0.000563709626193035,0.000600927842221477,0.00111779306102493
"T+21",0.000869847972394867,-0.00293325357342923,0.000521322732445571,-7.13684115960704e-05,0.000666926873789284,0.000279546561356035,-0.00154525630406285,-0.000563709626193125,0.000600927842220076,0.00111779307023065
