"","MCD","BA","HPQ","AXP","UNH","RTX","MMM","DD","AA","TRV"
"T+1",-0.000377286653541207,0.00293066942923864,0.00131126098843201,0.00155577865185518,0.00048841143513881,0.00134261560177923,0.00130767119156785,-0.000638446074709056,1.27163733318753e-05,0.000493564501380141
"T+2",0.00094128845414059,0.00230808909085902,0.000912710859309534,0.00233513434080258,0.00195799047417838,0.00142886011237384,0.00132876970351327,0.00236234743425879,0.00132806199157236,0.0017889422037288
"T+3",0.000434408516952843,0.00203119793144845,0.00119307359125605,0.000485976933200358,0.00102397918348415,0.00145418922523994,0.00139500257309171,-0.000572796998211996,0.00141706227561333,0.000846218630118547
"T+4",0.00049311186055178,0.0018554820168423,0.00132171510465688,0.00128658204377266,0.00181623541560617,0.00146728271927178,0.00143557461316886,0.00231045522519157,0.00133859897965235,0.00150816134556587
"T+5",0.00050720149370635,0.00174532771053108,0.00142707687094279,0.00104903817208006,0.00112541040195126,0.00147440460078889,0.00145966703322612,-0.000521769333605682,0.0012421652548926,0.00104645719542518
"T+6",0.000499945876100154,0.00167624873452542,0.0015032704746875,0.00110133849998613,0.00172912488134368,0.00147829092011585,0.00147395583488389,0.00226033087190724,0.00114856001559158,0.00136808634821522
"T+7",0.000501068369158924,0.00163292899764978,0.00155960442763202,0.00109424485900226,0.00120144449513636,0.0014804120581405,0.0014824298526393,-0.00047253207384205,0.00106038900500756,0.00114408981401939
"T+8",0.000501194074521818,0.00160576298741695,0.00160108445488547,0.00109375794188089,0.00166267315457925,0.001481569781296,0.00148745538468014,0.00221196500698255,0.000977704126092889,0.00130008346007688
"T+9",0.000501094028081486,0.00158872705509823,0.00163165026954278,0.00109449542732874,0.00125952740127292,0.0014822016703599,0.00149043578558725,-0.000425022181915759,0.000900215754092994,0.00119144874533721
"T+10",0.000501113550289636,0.00157804374210692,0.00165417047991195,0.00109418883455082,0.0016119047068779,0.00148254655748238,0.00149220331775401,0.00216529593915213,0.000827604619881195,0.00126710234572123
"T+11",0.000501114194737816,0.00157134418646569,0.00167076329423349,0.00109427768458027,0.00130390253812866,0.00148273479800496,0.00149325155591306,-0.000379179057382039,0.00075956477804835,0.00121441692764534
"T+12",0.00050111286985356,0.00156714286372747,0.00168298876553368,0.00109425863738091,0.00157311776423869,0.00148283754029957,0.00149387321545554,0.00212026414047446,0.000695808585766278,0.00125110722510803
"T+13",0.000501113188550999,0.00156450819455,0.00169199641642444,0.00109426105201521,0.00133780501216679,0.00148289361738094,0.00149424189177533,-0.000334944225817391,0.000636066373948429,0.00122555598226468
"T+14",0.000501113180885117,0.00156285598116216,0.00169863319627161,0.00109426130755754,0.00154348465402035,0.00148292422443587,0.00149446053593582,0.00207681217139904,0.000580085432208841,0.00124334995109209
"T+15",0.000501113164152982,0.00156181987040401,0.00170352313356786,0.00109426101491191,0.00136370640273334,0.00148294092986684,0.00149459020325198,-0.000292261264229257,0.000527628957668254,0.00123095817318796
"T+16",0.000501113169109979,0.00156117012049212,0.00170712600833267,0.00109426113207534,0.00152084504486899,0.00148295004774585,0.00149466710268913,0.00203488460750034,0.000478475055779032,0.0012395878477199
"T+17",0.000501113168762205,0.00156076265927751,0.00170978058359561,0.0010942610989022,0.00138349498903373,0.00148295502431412,0.00149471270803989,-0.000251075729086627,0.000432415802051849,0.00123357811424161
"T+18",0.000501113168563485,0.00156050713844037,0.0017117364578031,0.00109426110581931,0.00150354844998742,0.0014829577405414,0.00149473975437591,0.00199442796878212,0.000389256362570762,0.00123776331222866
"T+19",0.000501113168637499,0.00156034690012598,0.00171317753350702,0.00109426110500785,0.00139861341083282,0.00148295922306716,0.00149475579425457,-0.000211335086875513,0.000348814169839042,0.00123484872670601
"T+20",0.000501113168629292,0.0015602464139281,0.00171423930894046,0.00109426110488473,0.00149033390231141,0.00148296003223458,0.00149476530673372,0.00195539065146192,0.000310918150506695,0.00123687845356604
"T+21",0.000501113168627136,0.00156018339856252,0.0017150216183417,0.00109426110500033,0.00141016384067281,0.00148296047388082,0.00149477094812674,-0.000172988647090708,0.000275408001718173,0.00123546494516346
