"","VZ","T","AXP","HD","BA","RTX","MMM","DD","TRV","MDLZ"
"T+1",0.00149924314690297,0.00171420616332174,-0.000783017867205905,-0.00355929535814138,0.00518476853472026,0.00315118704174393,-0.00527470634124864,0.0040059713167888,-0.00562478550373575,0.00164150280602941
"T+2",0.00154067008352621,0.000943856234675876,0.00688117761820137,0.00192841917067912,0.00198201982157521,0.00168631970158263,-0.000529306868811786,0.00602552256867378,0.00212549633444077,0.00162158407750541
"T+3",-0.000388342412044798,-0.000299885204529542,0.00186824245120459,0.000252498571936741,-0.000350492767591036,-0.000362873901131867,-0.000741073641785047,-0.00306828285351296,-0.000665634427518238,0.000254499487937471
"T+4",0.00121899242628486,0.000783425875752613,0.00193313271384917,0.000507322907890473,0.00115905182500539,0.00140076717982643,-0.0005621281491499,0.00443920216649605,0.00123573826730625,0.00121409075107139
"T+5",-0.00024808821491255,-0.000282072271598399,0.00136133801563793,0.000559853108160422,-0.000283914934025279,-0.000364902517859567,-0.000441346200478922,-0.00255911293121451,-0.000321574511767238,0.000450991329957961
"T+6",0.00108063309832116,0.000756992396887015,0.00127470029072086,0.000505568667022536,0.00101923249115909,0.00138124451037107,-0.000336772117173232,0.00386006536624345,0.000994448521517161,0.00104956371290527
"T+7",-0.000123541812878299,-0.000256871637821879,0.0011939903890636,0.000527405036123464,-0.000166074293861154,-0.00034720740986734,-0.000248676541055519,-0.00203998429483335,-0.00012287886199594,0.000579371504429975
"T+8",0.000967704009057333,0.00073236527821518,0.00117063008002792,0.00052221726388075,0.000911060355249571,0.00136360671605885,-0.000174260555096766,0.00338149971377839,0.000826401406459595,0.000948662441618502
"T+9",-2.12075969850579e-05,-0.000232845179662229,0.0011574043505569,0.000522480079181004,-6.78889006498508e-05,-0.000329758825557159,-0.000111417170622808,-0.00160040260894978,1.98132951119118e-05,0.000658615187692982
"T+10",0.000874966116414368,0.000708922211080131,0.00115251162877308,0.000522909476603742,0.000821811606164719,0.0013463353918836,-5.83452479785962e-05,0.00297754041297526,0.000705168164564815,0.000886422753033212
"T+11",6.2833522470367e-05,-0.000209971509078098,0.00115016899534973,0.00052266317071657,1.32216709150599e-05,-0.000312663711428466,-1.35255548891624e-05,-0.00122920078040083,0.000122823485702642,0.000707499163122166
"T+12",0.000798806179020343,0.000686604096111356,0.0011492146366646,0.000522741526553989,0.000748095392125448,0.00132941463324917,2.43250701654984e-05,0.00263643716080531,0.000617640762370682,0.00084802851907011
"T+13",0.000131851354975735,-0.000188195457120335,0.00114878524419874,0.000522728498973998,8.02174237828573e-05,-0.000295915534306055,5.62902550749907e-05,-0.000915755887954454,0.000197195350504476,0.000737654588325877
"T+14",0.000736260680988578,0.000665356941475261,0.00114860362835681,0.000522726607795161,0.000687207394874632,0.00131283727708687,8.32851342262691e-05,0.00234840791457537,0.000554447115670659,0.000824343981465687
"T+15",0.000188531479246803,-0.000167464353936973,0.00114852382159557,0.000522728980103338,0.000135554484222207,-0.000279507256861196,0.0001060825465438,-0.000651081467063333,0.000250890886407642,0.000756256790654991
"T+16",0.000684895889140563,0.000645129355873123,0.00114848957397156,0.000522727981951281,0.000636915212248293,0.00129659635385988,0.000125335161288902,0.00210519459464181,0.000508822108369379,0.000809733523904295
"T+17",0.000235079398389835,-0.000147728056467772,0.00114847465998311,0.000522728230916809,0.000181261712094178,-0.000263431980943352,0.000141594163379119,-0.000427589076756356,0.000289658379047944,0.000767732070107075
"T+18",0.000642713127396728,0.000625872414117718,0.00114846822413458,0.00052272821290312,0.00059537494553369,0.00128068503575171,0.000155325033313916,0.00189982406419393,0.000475881434500099,0.000800720661853242
"T+19",0.000273306357211977,-0.000128938827821937,0.001148465431171,0.000522728195035456,0.000219014904292376,-0.00024768294837724,0.000166920873459589,-0.00023887099683275,0.000317648014721547,0.000774810911427715
"T+20",0.000608071005345454,0.000607539538753104,0.00114846422333549,0.00052272820605219,0.000561063574088993,0.00126509663351613,0.000176713662213871,0.00172640817237926,0.000452098687727768,0.000795160830341459
"T+21",0.000304699820286008,-0.000111051221818004,0.00114846369986749,0.000522728202402333,0.000250198233220834,-0.000232253538142787,0.000184983758246695,-7.9516516615226e-05,0.00033785617500748,0.000779177689130344
