"","VZ","AA","MCD","T","MMM","RTX","DD","HON","MO"
"T+1",0.000864182020110595,0.000278608851251414,0.000696712311333836,0.00311841093988454,-0.00091649233219441,-0.000645394170560955,-0.000879600939791016,0.000945566586618907,0.00156162700518471
"T+2",0.00147659087125521,0.000137238580961632,0.000979296719099889,0.00147931718903488,-0.00042884157150454,0.000902849283169329,-0.000310921931533963,0.00134399287187117,0.000619302823921005
"T+3",0.000969553516905962,9.67606662028203e-05,0.00105313869404938,0.0018027680199912,-0.000114306048160423,0.000483260343078409,-0.000279306092754486,0.000485594286702382,0.000738322790920736
"T+4",0.00125493997859154,0.000109649355265496,0.00107636324568795,0.00171751574271788,-4.22018150460877e-05,0.000421187416872834,-0.000219737432757865,0.000903823177893719,0.000709510362315295
"T+5",0.00110133843269285,0.000112156393223624,0.0010844420636503,0.00173902005873641,6.58146571089004e-06,0.000455399908536907,-0.000240907582308001,0.00077382574454302,0.000705977674467764
"T+6",0.00118346968196791,0.000111038538184875,0.00108737911717255,0.00173356314751078,1.72032158616721e-05,0.000456168194467962,-0.00022430018688056,0.000797417182269699,0.000701364015703415
"T+7",0.00113959732202985,0.000110898711389356,0.00108846565194736,0.00173494673790033,2.47790894628884e-05,0.00045380327288911,-0.000234049089854627,0.00079914390253213,0.000698622520676479
"T+8",0.00116302926524869,0.000110991912735439,0.0010888702637845,0.00173459589066616,2.63370108001279e-05,0.00045398582942484,-0.000227790000519328,0.000795593631543537,0.000696751310736201
"T+9",0.00115051470156415,0.000110998219853643,0.00108902130623625,0.00173468485617727,2.7515111771595e-05,0.00045412598968323,-0.000231691323190024,0.000797314636463177,0.00069551336826445
"T+10",0.00115719847339999,0.000110990707848247,0.00108907774188493,0.00173466229684435,2.77424515984054e-05,0.000454099910328957,-0.000229236189084546,0.000796781695435383,0.000694688839638205
"T+11",0.00115362880979755,0.000110990583268222,0.00108909883561647,0.00173466801730097,2.792591428425e-05,0.000454093113174749,-0.000230776404590274,0.000796877698298507,0.000694140470692386
"T+12",0.00115553529277326,0.000110991170181988,0.00108910672071113,0.00173466656674277,2.79588878879907e-05,0.000454095530389771,-0.000229809175774928,0.000796885161477563,0.00069377565055695
"T+13",0.00115451707993937,0.000110991151443445,0.00108910966838997,0.00173466693456639,2.79875003501353e-05,0.000454095746009004,-0.000230416377853149,0.000796870478867589,0.000693532959076577
"T+14",0.00115506088619749,0.000110991106964182,0.00108911077033694,0.00173466684129594,2.79922480184823e-05,0.000454095562959399,-0.000230035150507782,0.000796877560537178,0.000693371509527111
"T+15",0.00115477045060638,0.000110991110563384,0.00108911118228638,0.00173466686494689,2.79967172305931e-05,0.000454095566642581,-0.000230274492894088,0.000796875375762258,0.000693264106205472
"T+16",0.00115492556620375,0.000110991113828905,0.001089111336289,0.00173466685894963,2.79973947361657e-05,0.000454095578524769,-0.000230124227095571,0.00079687576638395,0.000693192656753862
"T+17",0.00115484272219536,0.000110991113392725,0.00108911139386118,0.00173466686047038,2.79980939336755e-05,0.000454095577102871,-0.00023021856778759,0.00079687579856246,0.000693145125418139
"T+18",0.00115488696745401,0.000110991113161293,0.00108911141538391,0.00173466686008475,2.79981895465257e-05,0.000454095576448584,-0.000230159338228929,0.000796875737844853,0.00069311350547003
"T+19",0.00115486333698331,0.00011099111320621,0.00108911142342995,0.00173466686018254,2.79982991149726e-05,0.00045409557660844,-0.000230196524083347,0.000796875766983858,0.000693092470481304
"T+20",0.00115487595752532,0.000110991113221935,0.00108911142643788,0.00173466686015774,2.79983124187151e-05,0.0004540955766364,-0.000230173177835678,0.000796875758027791,0.000693078477075943
"T+21",0.0011548692171568,0.000110991113217702,0.00108911142756236,0.00173466686016403,2.79983296179759e-05,0.000454095576622939,-0.000230187835217256,0.000796875759616958,0.00069306916804345
