"","MCD","AMGN","CAT","IBM","MMM","HON","AXP","DOW","WBA","TRV"
"T+1",0.000285362591447574,0.00396545900107437,0.00223107901263758,0.00229697309852817,-0.00333293135775863,0.000872029433297617,-9.20186606023559e-05,-0.00405852904257433,0.000111132769718373,2.51475688164329e-05
"T+2",0.00157663384989965,0.00107046126061157,0.000588623610372829,0.000206404570984193,0.00118756423925594,-0.000374124510151224,-0.000386559782040498,0.00351644515199636,-0.00095625360160447,0.0015141694556376
"T+3",0.000767785173136329,0.000892331839679415,0.00130826130790807,-8.12756480921422e-05,-0.0031297499936322,0.000323581680040819,0.000367984447211129,-0.00244755187813605,-0.000276504463446299,0.00128221154322123
"T+4",0.000758202555459197,0.00119610870006619,0.000671471986358127,-9.72000211509627e-05,0.000849862066683897,0.000507266776833631,0.000233229969069571,0.00224117590413643,-1.52804707278203e-05,0.00125995013078424
"T+5",0.000676659408763797,0.00141514664798962,0.0011579232553034,-7.28401049543319e-05,-0.0028099883041452,0.000482184548574611,0.000233292917676272,-0.00144507527799524,-1.61098102540913e-05,0.00122442608722588
"T+6",0.000661884330700362,0.00151080180412089,0.000777178594673028,-4.31692535217229e-05,0.000555275209433654,0.000465637550618044,0.000237888769368504,0.00145303290525085,-4.05659245039431e-05,0.00119872320477802
"T+7",0.00065132188822043,0.00154012818344258,0.00107393099489601,-1.34524594821053e-05,-0.00253908144980507,0.000465192924297247,0.000237004494531736,-0.000825442086081797,-4.63210412463291e-05,0.00117839686152967
"T+8",0.000648070837385235,0.00154501215903348,0.000842473720398385,1.55363025426416e-05,0.000306174665141745,0.000466317409346423,0.000237017065886798,0.000965881065719715,-4.54223877098843e-05,0.0011625352796281
"T+9",0.000646475897224719,0.00154389516900385,0.00102298022006813,4.37014235123529e-05,-0.00231003376925314,0.000466501492964009,0.000237044890764044,-0.000442446278841508,-4.46736388388576e-05,0.00115013377999321
"T+10",0.0006458842043744,0.00154248037227964,0.000882205628653953,7.10492344550177e-05,9.5565682925668e-05,0.000466445909377556,0.000237039120212288,0.000664772096270793,-4.45785348311768e-05,0.00114044030887725
"T+11",0.000645626276082748,0.00154174073762689,0.00099199342810193,9.76008734543008e-05,-0.00211637914802622,0.000466425204092825,0.000237039276332502,-0.000205716242197333,-4.46253869679676e-05,0.00113286322133462
"T+12",0.00064552407395029,0.00154147379221176,0.000906371665137149,0.000123379129435397,-8.24994301549055e-05,0.000466426380202832,0.000237039443691188,0.000478656384234325,-4.46453917071112e-05,0.00112694048111071
"T+13",0.000645481257738668,0.00154141044801908,0.000973146712203107,0.000148406470169779,-0.00195264856266488,0.000466428021842068,0.000237039406230025,-5.93932036937448e-05,-4.46458114222808e-05,0.00112231088138235
"T+14",0.000645463898811578,0.00154140859264851,0.000921069917214111,0.000172704760750443,-0.000233049440309662,0.000466428159909234,0.00023703940769744,0.000363618103142145,-4.46440537904852e-05,0.00111869208499708
"T+15",0.000645456724599972,0.00154141653942613,0.000961683779524597,0.000196295237169206,-0.00181421807023391,0.00046642806106946,0.000237039408696772,3.10491917894443e-05,-4.46435956655766e-05,0.00111586339822289
"T+16",0.00064545379283633,0.00154142186531875,0.000930009675673355,0.000219198517993285,-0.000360336055667446,0.000466428037802027,0.000237039408454783,0.000292512843022837,-4.46436496359212e-05,0.00111365231254885
"T+17",0.000645452586814969,0.00154142411040511,0.000954711804395077,0.000241434621345684,-0.00169717823193874,0.000466428041728169,0.000237039408467058,8.69517139376366e-05,-4.46437050497837e-05,0.00111192398408755
"T+18",0.000645452092622938,0.00154142477206469,0.000935447007946194,0.000263022982244273,-0.00046795399891823,0.000466428043925588,0.000237039408472977,0.000248562620813038,-4.46437132526066e-05,0.00111057301008188
"T+19",0.000645451889656085,0.00154142486973125,0.000950471315624157,0.000283982469564777,-0.00159822370604201,0.000466428043942016,0.000237039408471421,0.000121505110780271,-4.46437100628015e-05,0.0011095170008771
"T+20",0.000645451806407983,0.00154142483655678,0.000938754097547072,0.000304331402529151,-0.000558942526478451,0.000466428043786916,0.000237039408471517,0.000221396950804244,-4.46437085403698e-05,0.00110869155535712
"T+21",0.00064545177223649,0.00154142480136589,0.000947892169158008,0.000324087566716582,-0.00151455990115231,0.00046642804376474,0.000237039408471552,0.000142862594977488,-4.46437084735288e-05,0.00110804633341838
