"","AA","KO","MCD","VZ","MMM","RTX","DD","HON","MO"
"T+1",0.00317347392084826,0.00532518355264072,0.00553561282176346,0.0066228608392824,-0.0012630644139791,0.00226404257089122,-0.00283205210105873,0.00203059336520276,-0.00257419007170104
"T+2",0.00108438637235839,-0.00123921977843444,0.00665298568034423,-0.00353721063235575,-0.000184399409883656,0.00199041399098117,0.00209438165391559,-0.000617739635824779,0.00110807733166361
"T+3",0.000428704276189041,-0.00107069693942411,0.00436030369096403,0.000759852477379553,4.51938815036581e-05,0.00179034486767022,-0.00116081985442269,0.00173310647370522,0.00059768710866774
"T+4",0.000619924179900182,5.52989288848162e-05,0.00260265469145806,0.00131330978983618,0.000102709705639523,0.00162589256763206,0.00114175940304181,-0.000242330681428154,0.00073405704499193
"T+5",0.00063984755936956,2.41577904989476e-05,0.00167631403832808,0.000562060891798298,0.000114682101745326,0.00148498352247083,-0.000458933560966941,0.00141508428566213,0.000745272382874626
"T+6",0.000626393537899961,-0.000168980509991773,0.00126155884564665,0.000644727036637009,0.000117757339729727,0.0013626380102956,0.000658670819890052,2.45559770901188e-05,0.000764144224930309
"T+7",0.000626560060030562,-0.000163255493963865,0.00109449665486467,0.000736926955531018,0.000118379281729722,0.00125597711837318,-0.00012078947413186,0.00119117176160892,0.000773933701525348
"T+8",0.000627348291761627,-0.000130127886103838,0.00103277109008724,0.000704684800624157,0.000118544275313601,0.00116287493678509,0.000422985132038137,0.000212412588626226,0.000780325659135195
"T+9",0.000627258726649238,-0.000131175675582529,0.00101181297413091,0.000698189335808543,0.000118576420413018,0.00108157740966433,4.36579530157781e-05,0.00103356513118599,0.000784244329176294
"T+10",0.000627220606114783,-0.000136857683094353,0.00100536576791659,0.000704337216722618,0.000118585310876014,0.00101057974032191,0.000308274199018159,0.000344640299885489,0.000786686010301529
"T+11",0.000627229815089515,-0.000136666670311809,0.00100364587619254,0.000703949222779582,0.000118586960977403,0.000948574876544027,0.000123680376741382,0.00092262964849357,0.000788200945236487
"T+12",0.000627231166123804,-0.000135692121539094,0.00100330157626794,0.000703131765604864,0.000118587442586888,0.000894423196730438,0.000252451443729785,0.000437712177201748,0.000789141924702976
"T+13",0.000627230478649897,-0.000135726822164703,0.00100329005183352,0.000703367015764112,0.00011858752650393,0.000847129912625046,0.000162621876555797,0.000844544854188501,0.000789726231198315
"T+14",0.000627230467233789,-0.000135893967936536,0.00100332800869075,0.000703435646141128,0.000118587552764153,0.000805826358337979,0.000225286199229546,0.000503223213161048,0.000790089086989568
"T+15",0.000627230509523039,-0.000135887683558681,0.00100335617508652,0.000703386156385027,0.000118587556976655,0.000769753919736748,0.000181572114969891,0.000789582862283989,0.000790314416902643
"T+16",0.000627230505935492,-0.000135859016888896,0.00100337085705378,0.000703386881702054,0.000118587558419851,0.000738250070679498,0.000212066678533308,0.000549334841680988,0.000790454345303859
"T+17",0.000627230503767325,-0.000135860151836435,0.00100337738940925,0.000703393985235284,0.000118587558627412,0.000710736196652294,0.000190793937226665,0.000750896449890949,0.000790541239808587
"T+18",0.000627230504200949,-0.000135865068258017,0.00100338000829537,0.000703392329253849,0.000118587558707474,0.000686706965537307,0.000205633615842881,0.000581791698050682,0.000790595200673788
"T+19",0.000627230504286895,-0.000135864863803881,0.00100338097181979,0.000703391648168332,0.000118587558717421,0.000665721045895591,0.000195281585597079,0.00072366602297257,0.000790628709981612
"T+20",0.000627230504252269,-0.000135864020641922,0.00100338129749079,0.000703392039725487,0.000118587558721912,0.000647393001131206,0.000202503071518933,0.00060463729165073,0.000790649519020412
"T+21",0.000627230504250623,-0.000135864057389119,0.00100338139709144,0.000703392054249148,0.000118587558722368,0.000631386210354615,0.000197465425986506,0.000704499186238684,0.000790662441283544
