"","KO","AA","VZ","MCD","MMM","RTX","DD","HON","MO"
"T+1",-7.04307531403643e-05,-0.000529227847086548,-0.000112483637534211,-0.000730115916784145,-0.00396808603176634,0.00187661087977675,0.000613680027591917,0.000176599001514469,0.00100169413151113
"T+2",-8.85794226863262e-05,-0.000107202213186196,0.00163588691518902,-0.00119265584740287,-0.000368958301446138,-0.00139703251973916,-0.000196328398659509,0.000497194270892934,0.000748454827829813
"T+3",-5.83032523663359e-05,0.000309981570364956,0.00111584666915862,1.82928345085564e-05,-0.00013750509887212,-0.00196608291421035,-0.000261030826235012,0.000898799136759209,0.000832330528117243
"T+4",-2.7812995345175e-05,0.000308552176891536,0.00106338193010501,0.000620406793403665,0.000136543394006692,-0.0018742631110292,-0.000234205317863406,0.000585889583460779,0.000852762054255393
"T+5",1.36641652191357e-06,0.000278962870971595,0.00112432998469957,0.000772231495478945,0.000163381520926449,-0.00164101245786309,-0.000199569925911631,0.000794882806144695,0.000868590791248035
"T+6",2.9243687014279e-05,0.000277049266241183,0.00111597916471128,0.000780123288263134,0.000184576027927235,-0.00139604824210567,-0.000167459191334632,0.000657683050043936,0.00087753252742298
"T+7",5.58753592137597e-05,0.000279010731724732,0.00111200997993138,0.000768190724357806,0.000187311769960524,-0.00116971379638439,-0.00013880468367685,0.000747560853327476,0.000882903347568027
"T+8",8.13170368081142e-05,0.000279279560911725,0.00111367309573628,0.000761916134205167,0.000188974392517327,-0.000967250792683991,-0.000113371861196259,0.000688698604440109,0.000886087134747318
"T+9",0.000105621891149173,0.000279159202814075,0.00111368658459717,0.000760263661049345,0.000189235559524249,-0.000787770738478204,-9.08161019917437e-05,0.000727247058180638,0.000887979697750738
"T+10",0.000128840719425331,0.000279132003620957,0.00111352544371215,0.000760149207926288,0.000189367640889066,-0.000629076437990953,-7.08142062735228e-05,0.00070200206292829,0.000889104050152933
"T+11",0.000151022049085158,0.000279138660181845,0.00111355943314649,0.000760266000220196,0.000189391625935837,-0.00048886568128863,-5.30773060336471e-05,0.00071853474836438,0.00088977209902441
"T+12",0.000172212239202621,0.000279141036201578,0.00111356732014876,0.000760331224615074,0.000189402233798525,-0.00036501249034385,-3.73489529478512e-05,0.000707707664912806,0.000890169018749051
"T+13",0.000192455577365861,0.000279140727405692,0.00111356236082184,0.000760349144198838,0.000189404382413885,-0.000255615394091117,-2.34017016496987e-05,0.000714798209010487,0.000890404849004826
"T+14",0.000211794372238379,0.00027914053841263,0.0011135626962013,0.000760350673910411,0.000189405242268077,-0.000158988841252239,-1.10338581825626e-05,0.000710154685592907,0.000890544967626666
"T+15",0.000230269041984324,0.000279140547374337,0.00111356309449888,0.000760349539599928,0.000189405431529511,-7.36425039083362e-05,-6.65680953174607e-08,0.000713195680674513,0.00089062821917108
"T+16",0.000247918198742626,0.000279140561345005,0.00111356297541494,0.000760348863309107,0.000189405501764568,1.74035881220517e-06,9.65876939373876e-06,0.000711204164695246,0.000890677683112393
"T+17",0.000264778729326536,0.000279140561662699,0.00111356296359713,0.000760348669655035,0.000189405518239972,6.83228701715509e-05,1.82827948830809e-05,0.000712508387750278,0.000890707072134953
"T+18",0.000280885872317218,0.000279140560696701,0.00111356297751069,0.000760348650197029,0.000189405524013074,0.000127132393849191,2.59302226173722e-05,0.000711654265666908,0.000890724533635638
"T+19",0.000296273291712542,0.00027914056060847,0.00111356297558918,0.000760348661114612,0.000189405525435153,0.000179076363458849,3.27116440108145e-05,0.00071221362131584,0.000890734908393957
"T+20",0.000310973147284977,0.000279140560670752,0.00111356297468639,0.000760348668108687,0.000189405525912097,0.000224956278496489,3.87251269377868e-05,0.000711847305132142,0.000890741072561179
"T+21",0.000325016161795656,0.00027914056068123,0.00111356297506677,0.000760348670194704,0.000189405526034084,0.000265480070057015,4.40576339175115e-05,0.000712087201782324,0.000890744735003847
