"","HPQ","VZ","AXP","BA","RTX","AA","DD","MMM","MDLZ","TRV"
"T+1",-0.00129596860002671,0.000954696105249174,-0.000363190330286694,0.0025157417045035,0.00179184512675252,-0.00115819062845024,1.64386034571729e-05,0.000162778346115925,0.00088404643114236,0.000130121416596712
"T+2",-0.00220890067955946,0.000726309927055276,0.00184884235315181,0.00113559515039282,0.000426516673165439,-0.00114329035757035,-0.000122703316142091,0.000553379897954846,0.000611784750982311,0.000403582588944196
"T+3",-0.00175020107734419,0.000915070813752951,0.000562647193520529,0.000722636351255264,0.000286883153880533,-0.000789659952098154,8.67613490587674e-05,0.000864174935725882,0.00087222899033541,0.000419189767814945
"T+4",-0.00192683219766011,0.000799217420826024,0.0011936965925948,0.000562773498069717,0.000324867809225223,-0.00107172200660666,2.55799639070708e-05,0.000532339851870309,0.000735962433253007,0.000387151750208026
"T+5",-0.00186008511193717,0.000869605355806802,0.000881581175492088,0.000486571812857515,0.000364770254258358,-0.000855489622977597,5.79263147399558e-05,0.000830526481641438,0.000802991448626043,0.000413895046529177
"T+6",-0.0018852691766608,0.000826857717831714,0.0010358891547185,0.000445884728290225,0.000388534552557831,-0.00102099379812945,4.5074732362629e-05,0.000566628049587307,0.000770315013783912,0.000392857221745347
"T+7",-0.00187576830267671,0.000852818572676153,0.000959598621652398,0.000423079894346813,0.000400988973034622,-0.000894325160083663,5.0870078940634e-05,0.000799833433426425,0.000786222995169181,0.000409302609667661
"T+8",-0.00187935253911213,0.000837052425610461,0.000997316951249369,0.000410059161179762,0.000407235732303301,-0.000991270759728171,4.84054574804666e-05,0.000593781584861784,0.000778480065769754,0.000396456113456517
"T+9",-0.0018780003751494,0.000846627279301753,0.000978668864680613,0.000402574522152201,0.000410316329920457,-0.000917073638626259,4.94818879346281e-05,0.000775838909217947,0.000782248680669268,0.000406490520658583
"T+10",-0.00187851048302873,0.000840812426583953,0.000987888550054478,0.000398261776471935,0.000411825224489451,-0.000973860256850797,4.90174571698623e-05,0.000614982202107068,0.000780414440832835,0.000398652705260764
"T+11",-0.00187831804331422,0.000844343813403895,0.000983330302317282,0.000395774583670825,0.000412562235463515,-0.000930398732186383,4.92189576436614e-05,0.000757107088607704,0.000781307191454171,0.000404774770138636
"T+12",-0.00187839064176878,0.000842199185933991,0.000985583917445234,0.000394339764077668,0.000412921811998768,-0.000963661923149309,4.91317560812247e-05,0.000631532697316788,0.000780872677075939,0.000399992866952253
"T+13",-0.00187836325378591,0.000843501628067685,0.000984469721500268,0.00039351195145906,0.000413097160993163,-0.000938204006484419,4.91695375047193e-05,0.000742483904488017,0.000781084161377523,0.000403727978924008
"T+14",-0.0018783735859839,0.000842710648965054,0.000985020584240042,0.00039303433046053,0.000413182653942953,-0.000957688172078719,4.9153176834052e-05,0.000644453006272821,0.00078098122897312,0.000400810508435849
"T+15",-0.00187836968813148,0.000843191014214775,0.000984748235593071,0.000392758754914763,0.000413224333415341,-0.000942776004916601,4.91602632982712e-05,0.000731068170269349,0.000781031327631945,0.000403089324737053
"T+16",-0.0018783711586079,0.00084289928618761,0.000984882885806548,0.000392599753851163,0.000413244652287696,-0.000954189002224323,4.91571942072331e-05,0.000654539374035464,0.000781006943905261,0.000401309356865697
"T+17",-0.00187837060386629,0.000843076453961264,0.000984816314225632,0.000392508013558069,0.000413254557664143,-0.00094545408756504,4.91585234736509e-05,0.000722156363749199,0.00078101881181033,0.00040269967763064
"T+18",-0.00187837081314421,0.000842968859156862,0.000984849227470039,0.000392455081292875,0.000413259386471549,-0.000952139337026488,4.91579477630886e-05,0.000662413397402592,0.000781013035532874,0.000401613707563125
"T+19",-0.0018783707341935,0.000843034201976809,0.000984832955036028,0.000392424540456297,0.000413261740478579,-0.00094702279472412,4.91581971082686e-05,0.00071519927330453,0.000781015846928908,0.000402461951376549
"T+20",-0.00187837076397789,0.000842994518981497,0.000984841000189686,0.000392406919015646,0.00041326288803805,-0.000950938730140276,4.91580891152583e-05,0.000668560332101487,0.000781014478582647,0.000401799393918903
"T+21",-0.00187837075274164,0.000843018618647202,0.000984837022634925,0.000392396751803028,0.000413263447463825,-0.000947941676802829,4.91581358878335e-05,0.000709768151416294,0.000781015144576149,0.000402316913030431
