"","WMT","MCD","CAT","UNH","RTX","DD","AXP","MMM","NKE","TRV"
"T+1",0.000124014610504624,0.000814165545808626,0.0017019664379492,0.000402622304070838,6.63588835067945e-05,0.00108796494746137,0.000880805578621107,0.00207128979270623,0.00146195130155181,0.00127159860708174
"T+2",-0.000228474094940505,-2.17035604544017e-05,0.00108255279813104,0.00132042921606652,-0.000232015725928403,0.00196248491014401,0.0010339907159214,0.00202249856359085,0.00141300313790733,0.000391233924526198
"T+3",8.84325564674432e-05,0.000105517054255829,0.00166950904779137,0.000467021863488764,0.000742129608236475,0.00177117224365137,0.000863423294081601,0.00198948316847842,0.0010465166245716,0.00082133070681342
"T+4",0.000151967941789266,8.20351109684748e-05,0.0014375608702274,0.00107540749739623,-0.000168627381379672,0.00150786231485658,0.000851083442738213,0.00195756316459965,0.000884930371435265,0.000723947821573043
"T+5",0.000194649831051874,8.2826100045014e-05,0.00148754514040305,0.00062608819424884,0.00072940156329499,0.00143311174208972,0.0008434808786433,0.00192680219258061,0.000837965805977781,0.000734015531450769
"T+6",0.000211783506274594,8.02859841735416e-05,0.00148961788356742,0.000956214024624957,-0.000152745326889129,0.00145498857023348,0.000842222844656085,0.0018971574370094,0.000828192250876049,0.000735722347792516
"T+7",0.000219988522337921,7.86732242655736e-05,0.00148244471602808,0.000713480409493287,0.000714026586999598,0.00147989118826189,0.000841809271577923,0.00186858839934428,0.000827097242506747,0.000734631749352003
"T+8",0.000223662345601052,7.72509141565862e-05,0.00148594884500475,0.000891937191520179,-0.000137622907564005,0.00148618057656169,0.000841719161821633,0.00184105604501898,0.000827292167842004,0.000734905970283581
"T+9",0.000225348519037497,7.60787109458086e-05,0.00148498737361125,0.00076073440844369,0.000699169056025011,0.00148377319801406,0.000841694376782553,0.00181452275595369,0.000827457028335828,0.000734871363242663
"T+10",0.000226115311283572,7.51004383861525e-05,0.00148506411975047,0.00085719547134045,-0.000123024503493662,0.00148143214815366,0.00084168843297119,0.00178895227911382,0.00082751754450077,0.000734868638828126
"T+11",0.000226465209155269,7.42859499599504e-05,0.00148514102733936,0.000786276703260728,0.00068482533590156,0.00148091322813445,0.000841686890264827,0.00176430967697694,0.00082753318996379,0.000734871342122574
"T+12",0.000226624669035097,7.36075206475738e-05,0.00148509140394899,0.000838416616224165,-0.00010893101889149,0.00148117091365947,0.000841686507924622,0.00174056127979691,0.000827535975167016,0.00073487058419263
"T+13",0.000226697374534999,7.30424697769249e-05,0.00148510802489315,0.00080008303237286,0.000670977721654028,0.00148138968208451,0.000841686410595249,0.00171767463960006,0.000827536127993341,0.000734870695995002
"T+14",0.000226730518665186,7.25718421391855e-05,0.00148510536426521,0.000828266118340566,-9.53249856000883e-05,0.00148143142762269,0.000841686386202085,0.00169561848585086,0.000827536000745814,0.000734870698151795
"T+15",0.000226745629011345,7.21798602533443e-05,0.00148510473333481,0.000807545740672233,0.000657609054777931,0.00148140442096249,0.000841686380032944,0.00167436268272623,0.000827535932686842,0.000734870691629183
"T+16",0.00022675251762192,7.18533815812289e-05,0.00148510538779446,0.000822779489424984,-8.21895441221883e-05,0.00148138409943984,0.000841686378480936,0.0016538781879403,0.000827535910996995,0.000734870693687275
"T+17",0.000226755658078422,7.15814600569127e-05,0.00148510512189755,0.00081157954390385,0.000644702769924074,0.00148138085476044,0.000841686378089291,0.0016341370130633,0.000827535906020936,0.000734870693341216
"T+18",0.000226757089779892,7.13549787483305e-05,0.00148510518143933,0.000819813812547256,-6.95084181007163e-05,0.00148138363800317,0.000841686377990636,0.00161511218528028,0.000827535905307048,0.000734870693349489
"T+19",0.000226757742478523,7.11663442403786e-05,0.00148510518264151,0.000813759927734705,0.000632242874687499,0.0014813855142205,0.00084168637796576,0.00159677771053757,0.000827535905335872,0.000734870693364705
"T+20",0.000226758040037277,7.10092320361146e-05,0.00148510517476023,0.000818210780981154,-5.72658941289856e-05,0.00148138575402912,0.000841686377959491,0.00157910853802654,0.000827535905399106,0.000734870693359213
"T+21",0.000226758175691349,7.08783745117235e-05,0.00148510517874122,0.000814938486374499,0.000620213929792485,0.00148138547114229,0.00084168637795791,0.00156208052595607,0.000827535905425552,0.00073487069336025
