"","MRK","MCD","VZ","BA","T","RTX","MMM","DD","MDLZ","TRV"
"T+1",-9.56611372276784e-05,0.00150280010393665,-0.000687551117321053,0.000868280663413088,0.000861811534603852,0.00144577628319861,0.00052467549156278,0.00226501636184804,0.00157660613642986,0.00134307655900661
"T+2",0.000721678223721884,0.00136506418227328,-0.000255620381474415,0.00222479107928703,0.00044117367379831,0.00082311155727333,0.000121973419665892,0.00207902849575215,-0.000340084171448196,0.000638770086897047
"T+3",-0.000520006027659056,0.00135524454962018,-0.000212710717829019,0.00213701044428442,0.000581386111425941,0.00176063067985584,0.000470352473451395,0.00191365369902372,0.00165742503089694,0.000636386859308686
"T+4",0.00072260496307295,0.00133338713687376,-0.000144925510161896,0.00190101295173036,0.00059131536872361,0.000841849914802748,0.000313060936461334,0.00178182317877582,-0.000292470674700591,0.000563212137519948
"T+5",-0.000494548309883696,0.00131485422793359,-8.60714855965665e-05,0.00171589745083891,0.000584088174362318,0.0017217888951233,0.000393600652993323,0.00167678447105934,0.00160382743947146,0.000511502274865887
"T+6",0.000696027077888354,0.00129776684554252,-3.2669264275574e-05,0.00159080405752759,0.000584124610386045,0.000880357010910636,0.000353567022137095,0.00159309289205224,-0.00023993594172468,0.000467703385391973
"T+7",-0.000468446416852671,0.00128217662547572,1.55861397554455e-05,0.00150935588304422,0.000584459232952558,0.00168488150432256,0.000373601083302443,0.00152641004273466,0.00155272437238142,0.000431647760744095
"T+8",0.00067049079288487,0.00126793429437795,5.9207395383699e-05,0.00145687430751874,0.000584434400323982,0.000915651135746257,0.000363590912722604,0.00147327922066592,-0.000190247909395497,0.000401841504176363
"T+9",-0.000443469706047627,0.00125492533020973,9.86381495066585e-05,0.00142315901499022,0.000584420507227782,0.00165113535107308,0.000368594340186806,0.00143094623275992,0.00150441348770681,0.000377216848387464
"T+10",0.000646061790424461,0.00124304270141304,0.000134281080906516,0.00140151853847284,0.000584422626094341,0.000947916868436242,0.000366093657615459,0.00139721662355621,-0.000143276078460967,0.000356871117546839
"T+11",-0.000419576426579275,0.00123218891305201,0.000166500048208781,0.00138763194536901,0.000584423127713284,0.00162028511627237,0.000367343506699851,0.00137034191913987,0.00145874359971704,0.000340061013015834
"T+12",0.000622692487258482,0.00122227488168673,0.000195623968211722,0.00137872164856216,0.000584422994192647,0.00097741370178533,0.000366718830811662,0.00134892898983186,-9.887204702963e-05,0.000326172094608511
"T+13",-0.000396719609090278,0.00121321924034633,0.000221950160054336,0.00137300450425684,0.000584422980023089,0.00159208231067655,0.000367031044781403,0.00133186783319748,0.00141557033843964,0.000314696734942288
"T+14",0.000600336916710968,0.00120494766671471,0.000245747381617492,0.00136933621673926,0.000584422987231256,0.0010043792486926,0.000366874999793788,0.00131827403379172,-5.68954419961131e-05,0.000305215515339922
"T+15",-0.000374854293206473,0.00119739227359158,0.000267258573114505,0.00136698254023362,0.000584422987393941,0.00156629974384907,0.000366952991305246,0.00130744291687249,0.00137475722129252,0.000297381902524736
"T+16",0.000578951104271878,0.00119049105167288,0.000286703337218334,0.00136547235597219,0.000584422987046441,0.00102903073284379,0.000366914011034994,0.00129881301950413,-1.72135637228549e-05,0.000290909582256501
"T+17",-0.000353937468765868,0.00118418736062801,0.000304280180932731,0.00136450337993198,0.000584422987062875,0.00154272972171269,0.000366933493430508,0.00129193698546776,0.00133617522674363,0.000285561994797604
"T+18",0.000558492982985853,0.00117842946423556,0.000320168542103414,0.00136388165810186,0.000584422987077949,0.00105156673676559,0.000366923756101026,0.00128645837523044,2.02990331638213e-05,0.000281143688773482
"T+19",-0.000333927991335766,0.00117317010576918,0.000334530621256641,0.00136348274418372,0.00058442298707614,0.00152118237356746,0.000366928622832398,0.00128209318884921,0.00129970238645542,0.000277493177534017
"T+20",0.000538922310712086,0.00116836612014797,0.000347513037466069,0.00136322678998404,0.000584422987075562,0.00107216880151952,0.000366926190433013,0.00127861514399523,5.57609363401786e-05,0.000274477036905299
"T+21",-0.000314786501280108,0.00116397807966805,0.000359248325152252,0.00136306256269268,0.000584422987075687,0.00150148412256858,0.000366927406149747,0.00127584394594093,0.00126522339970933,0.000271985028609623
