"","KO","IBM","MRK","UNH","RTX","DD","CAT","AXP","MMM","TRV"
"T+1",0.000522531893428537,0.000211765823956222,0.000507831464947539,0.00117615237761327,-0.000390608196622679,0.00296160718797852,0.00034770490954879,-0.00105486177582805,0.000825797366759252,0.000962262400444168
"T+2",0.000449061794796471,0.00083822489406461,9.01565319774509e-05,0.00115299415142375,0.00106603630752334,0.000451219184870306,0.000259481571460227,-0.000398799530989798,0.00116333129899775,0.000375896081426515
"T+3",0.000323927118961472,0.000665275538107196,0.000374135558439042,0.00116173675450994,0.000107066189512847,0.00274112271361002,0.000557380012956129,-0.000562542145560571,0.00107508344468391,0.000433685516367546
"T+4",0.000304424700881998,0.000469100226545594,0.000469132139161405,0.00116947881887295,0.000748469706463181,0.000675363653361913,0.00035318318345252,-0.000570179840088673,0.00109788503699896,0.000438444253689334
"T+5",0.000314010976579722,0.000355926941726298,0.000456420916377809,0.00117589890075159,0.000319669226059693,0.0025419595763677,0.000518175488040156,-0.000564882215759606,0.00109192725392989,0.000440466400118194
"T+6",0.000318296033009939,0.000302568061815468,0.000444156978882044,0.00118121539585027,0.000606341109894803,0.000855731327096944,0.000388708420910866,-0.000565030417522391,0.00109346753121279,0.000441021398785902
"T+7",0.000318178627879811,0.000279969893689916,0.000443283163648255,0.00118561787451967,0.000414688488090726,0.00237907484549203,0.000490801253757361,-0.00056517417450422,0.00109306529761201,0.00044118472915024
"T+8",0.000317676776873284,0.000271071120061217,0.000444413547010892,0.00118926347288041,0.000542816602294994,0.0010028890911963,0.000410362121553709,-0.00056515981183553,0.00109316934233765,0.000441232179309185
"T+9",0.000317578877791251,0.000267763262106357,0.000444708862226703,0.00119228231481419,0.00045715738464677,0.00224613375330272,0.00047374927338991,-0.000565156633851702,0.00109314218521145,0.00044124599654627
"T+10",0.000317612971929161,0.000266595365983557,0.00044464335048036,0.00119478215317174,0.000514424297640438,0.00112298805278544,0.000423800523919334,-0.000565157273889253,0.00109314921318205,0.000441250018350457
"T+11",0.000317631381360644,0.000266203563546155,0.000444600544148999,0.00119685221578213,0.000476138875313896,0.00213763651606963,0.000463160042690795,-0.000565157321593406,0.00109314737960196,0.000441251189072979
"T+12",0.000317631664419436,0.000266079323848329,0.00044459971435505,0.00119856639029985,0.000501734345474541,0.0012210043275617,0.000432144838961039,-0.000565157299638012,0.00109314785431336,0.000441251529858377
"T+13",0.000317629682443249,0.000266042584246034,0.000444604059689418,0.00119998586150931,0.000484622660323029,0.00204908873287237,0.00045658474589947,-0.000565157299785272,0.00109314773051198,0.000441251629057784
"T+14",0.000317629212875498,0.000266032756599041,0.000444604929339532,0.0012011612952202,0.000496062566169131,0.00130099828734954,0.000437326157614859,-0.000565157300413704,0.00109314776257617,0.000441251657933781
"T+15",0.000317629329191847,0.000266030561678707,0.000444604629678145,0.00120213464670453,0.000488414491499167,0.00197682228680896,0.000452501879229165,-0.000565157300365481,0.00109314775421707,0.000441251666339307
"T+16",0.000317629407054603,0.000266030272223117,0.000444604484398979,0.00120294065822459,0.000493527562091201,0.00136628370691093,0.00044054344681561,-0.00056515730035057,0.00109314775638279,0.000441251668786075
"T+17",0.000317629411348697,0.000266030345299078,0.00044460448970186,0.00120360809910379,0.000490109251992609,0.00191784351810752,0.000449966663018309,-0.000565157300353016,0.00109314775581837,0.000441251669498306
"T+18",0.000317629403650514,0.000266030431252848,0.000444604505911473,0.00120416079260276,0.000492394540982818,0.001419565054889,0.000442541191139513,-0.000565157300353279,0.00109314775596465,0.00044125166970563
"T+19",0.00031762940147187,0.000266030481173795,0.00044460450827373,0.00120461846625345,0.000490866725887599,0.00186970921308787,0.000448392445258797,-0.000565157300353189,0.00109314775592654,0.00044125166976598
"T+20",0.000317629401845222,0.000266030504782219,0.000444604506997084,0.0012049974560026,0.000491888136735496,0.00146304952755435,0.000443781670977073,-0.000565157300353188,0.00109314775593642,0.000441251669783547
"T+21",0.000317629402169715,0.000266030514799516,0.00044460450651914,0.00120531128929789,0.000491205279154453,0.00183042539332124,0.000447414950107259,-0.00056515730035319,0.00109314775593384,0.000441251669788661
