"","VZ","T","HD","AXP","BA","RTX","MMM","DD","TRV","MDLZ"
"T+1",0.00108048941353272,0.000738963736859875,-0.00126154188959711,0.00274280915376521,0.000171648180643183,0.000864332768218571,2.00655997312118e-05,0.00356439178680725,0.00132142673835359,0.00134315753599898
"T+2",-0.000297955965936657,5.21263096271406e-05,0.00143268685718043,0.000440067611008042,-0.000424195864071957,0.000189379539517671,-0.000344130293377328,-0.00221388454307459,-4.52373511835148e-05,0.000142809444601331
"T+3",0.00107973297299022,0.000313220107820131,2.94649136099322e-06,0.00137812441723668,0.00129673648378941,0.000782351496054293,-0.000215637187937373,0.00253569370260409,0.00019494237824961,0.00139146453509943
"T+4",-0.000292169330353058,0.000108468398269258,0.000594921636203539,0.00121644394619187,-0.000167010219320358,0.000212411741060088,-0.000151790534032154,-0.00187422288875905,0.000202503219670083,0.000544510948808683
"T+5",0.00107395825160501,0.000246283636754648,0.000381655522671488,0.00130964201128362,0.00122147831098254,0.000760523805283905,-9.36632332540532e-05,0.00213631714204229,0.000240446652550949,0.00114064465124306
"T+6",-0.000286418885756027,0.000151143709780273,0.000450695882099501,0.00130167951307405,-7.56831412628739e-05,0.000233401677909526,-4.52764789095672e-05,-0.00152336422155677,0.000271393209344115,0.000722642847454886
"T+7",0.00106823201229454,0.000216533273290252,0.000430536872504386,0.00131194342089382,0.00113864234432698,0.000740337687858593,-4.57316611687523e-06,0.00181429967864111,0.000300863887052651,0.0010158533251162
"T+8",-0.000280716749920609,0.000171556695028564,0.000435737202223995,0.0013122548409525,2.17722479414187e-06,0.000252814768844232,2.9623230731951e-05,-0.0012299584777558,0.000328238436341275,0.000810186656723675
"T+9",0.00106255387847554,0.000202488607174928,0.000434633706662145,0.00131353255383973,0.00106581391865914,0.000721668020339108,5.83573372790513e-05,0.0015466450169901,0.000353762502036414,0.000954448026788121
"T+10",-0.000275062517086257,0.000181215197174896,0.000434774378384955,0.00131372858090106,7.03435752930106e-05,0.000270769482313981,8.25012125810719e-05,-0.000985842528798555,0.000377547334636293,0.000853258394329212
"T+11",0.00105692344601936,0.000195845917940232,0.000434801086239098,0.00131390713783377,0.00100201684602013,0.000704400881786997,0.000102788184867819,0.00132399054676378,0.000399713423277983,0.000924236107397342
"T+12",-0.000269455784825252,0.00018578367883596,0.000434770674871505,0.00131395294330703,0.000130052141452778,0.00028737537659796,0.000119834376821915,-0.000782763817314198,0.000420370653802112,0.000874450021517524
"T+13",0.00105134031419223,0.000192703956058982,0.000434786367046212,0.00131398017907419,0.000946134859825614,0.00068843090945264,0.000134157493428702,0.00113876633543189,0.000439621775366553,0.000909371608042603
"T+14",-0.000263896154090628,0.000187944554365078,0.000434779954987353,0.00131398908601073,0.000182352795451326,0.000302733779584191,0.00014619253733008,-0.00061382437824052,0.00045756249409034,0.000884876466803318
"T+15",0.00104580408562689,0.000191217819824314,0.000434782244160618,0.00131399347844051,0.000897186021125168,0.000673660655794779,0.000156305020929411,0.000984679920204042,0.000474282008488395,0.000902058158817918
"T+16",-0.000258383229187765,0.000188966640482375,0.000434781508952998,0.0013139950983634,0.000228164628314159,0.000316938407064871,0.000164802067170275,-0.00047328512111111,0.000489863444433097,0.000890006358928274
"T+17",0.00104031436629433,0.000190514882900271,0.000434781721790145,0.00131399582949817,0.000854310151444667,0.000659999993863122,0.000171941737075366,0.000856496765461736,0.000504384269655631,0.000898459884952172
"T+18",-0.000252916617746229,0.000189450083423853,0.000434781667522349,0.00131399611571919,0.000268292693185432,0.000330075934582918,0.000177940867232911,-0.000356371729837991,0.000517916678725905,0.000892530305728231
"T+19",0.00103487076547571,0.000190182396343245,0.000434781678787679,0.00131399623947482,0.000816753791601784,0.000647365567350635,0.000182981655270116,0.000749862308799389,0.000530527952014012,0.000896689506240963
"T+20",-0.000247495930691847,0.000189678750141509,0.00043478167747104,0.00131399628937371,0.000303442161996715,0.000342226526319463,0.000187217193317923,-0.000259112491834372,0.00054228079019092,0.000893772107172364
"T+21",0.0010294728957346,0.000190025131435361,0.000434781677126123,0.00131399631050122,0.000783856962332819,0.000635680281959779,0.000190776117522236,0.000661154027507145,0.000553233625963889,0.000895818466153954
