"","MCD","IBM","AMGN","HON","CAT","AXP","MMM","WBA","DOW","TRV"
"T+1",0.00188923981736168,0.00188968034958167,0.000713407901610134,-0.0014030930526457,0.00437782032281824,0.0020118653032196,-0.00125314953414272,-0.00188350746939129,0.00219652331699392,-0.000646026011879688
"T+2",-0.000671712302320037,2.04648359038704e-05,-0.000671318204428362,0.000290226125169506,0.00145843881001639,0.00252194774451718,0.00064850925173709,-0.000387260920264585,0.00108426513395368,-0.0012207572512954
"T+3",0.00092722722875908,0.000112611877070839,0.000490483903403643,0.000729391772188548,0.00338340903114221,0.0025630898401837,-0.000349803133113388,-0.000474194913970089,0.00270739612528087,0.00111584711309674
"T+4",0.0008505096238606,9.08116458709529e-05,-0.000183946638304731,0.000762123274723238,0.00267992113343302,0.00255226475483084,0.000469277381174698,-0.000352965250085571,0.00199991911503643,0.000623616200130781
"T+5",0.00100221439909266,7.76682725457709e-05,0.000219701150335441,0.000788722702700567,0.00296418887834253,0.00255850927571027,-0.000189188363842433,-0.000392781444314689,0.00234504690497389,0.00102940135246885
"T+6",0.00101160871026903,6.57001782774399e-05,-2.11736735556815e-05,0.000785314486537654,0.00285167603434435,0.00255515708988238,0.000340556704218843,-0.000373714367088316,0.0021794068285482,0.000890411132107431
"T+7",0.00102788024733516,5.51529185861971e-05,0.000122607359892048,0.000788128368032829,0.00289639306357372,0.00255696500556463,-8.56187715823675e-05,-0.000381666389476408,0.00225908412568734,0.000970358926648588
"T+8",0.00103065513317577,4.58376829978544e-05,3.67850419278599e-05,0.000787237411158623,0.00287863552652684,0.00255599025534392,0.000257236192841986,-0.000378190862145447,0.00222076934821318,0.000937246817446956
"T+9",0.00103259944668605,3.76117530964581e-05,8.80121664608894e-05,0.000787653432450207,0.00288568838209763,0.00255651580953076,-1.85880361733449e-05,-0.00037968522757068,0.00223919476046811,0.000954012735789875
"T+10",0.0010330967241263,3.03476768910644e-05,5.74348327564735e-05,0.000787491827334085,0.00288288725574392,0.0025562324478894,0.000203310472866664,-0.000379039052210512,0.0022303341133693,0.000946528221418728
"T+11",0.00103334771778791,2.39329895148378e-05,7.56863619303854e-05,0.000787560001588803,0.00288399976422445,0.00255638522723962,2.47947982746127e-05,-0.000379317915435881,0.00223459513795703,0.000950139959041022
"T+12",0.00103342585765333,1.82683716376695e-05,6.47920727265145e-05,0.000787532314572456,0.00288355791573522,0.00255630285360006,0.00016840931021067,-0.000379197487391533,0.00223254604062246,0.0009484797126558
"T+13",0.00103345982953851,1.32661176355207e-05,7.12948449682988e-05,0.000787543755171751,0.00288373340216412,0.0025563472667782,5.28725200337654e-05,-0.00037924948238805,0.00223353143741392,0.00094926624626906
"T+14",0.00103347149215719,8.84877728714739e-06,6.74133575177307e-05,0.000787539065098408,0.00288366370522998,0.002556323320642,0.000145820995117714,-0.000379227031630717,0.00223305756688666,0.000948900556024073
"T+15",0.00103347621261,4.94795662815503e-06,6.97302070503251e-05,0.000787540994765407,0.00288369138636015,0.00255633623161714,7.10446489235437e-05,-0.000379236725298298,0.00223328544795815,0.000949072573202658
"T+16",0.00103347791387366,1.50325900162086e-06,6.83472857282695e-05,0.000787540202142941,0.00288368039240504,0.0025563292704407,0.000131201654674314,-0.000379232539777357,0.00223317586152102,0.000948992242597261
"T+17",0.00103347857888126,-1.53865006715304e-06,6.91727477861591e-05,0.000787540527963769,0.0028836847588109,0.00255633302367985,8.28057978949367e-05,-0.000379234346990746,0.00223322856088356,0.000949029925792484
"T+18",0.00103347882439405,-4.22486865174297e-06,6.86800316799365e-05,0.000787540394075919,0.00288368302463062,0.00255633100005579,0.000121739899155121,-0.000379233566675909,0.00223320321812323,0.000949012298034795
"T+19",0.001033478918737,-6.59698764710294e-06,6.89741326128756e-05,0.000787540449102447,0.00288368371338502,0.00255633209112784,9.04177087484364e-05,-0.000379233903598488,0.00223321540528205,0.00094902055847566
"T+20",0.00103347895398434,-8.69173472406376e-06,6.87985845484562e-05,0.000787540426488744,0.0028836834398364,0.0025563315028574,0.000115616174363871,-0.000379233758122797,0.00223320954456135,0.000949016691790702
"T+21",0.00103347896741551,-1.05415429862205e-05,6.89033687210647e-05,0.000787540435782379,0.00288368354848013,0.00255633182003363,9.5344199092412e-05,-0.000379233820935968,0.00223321236294155,0.0009490185029929
