"","MRK","MCD","NKE","DD","MMM","RTX","KO","WBA","AXP","TRV"
"T+1",8.94726856076981e-05,0.00159284910705449,0.00290361081973998,0.00297999468916058,0.000467117844497057,0.00115038063947102,0.000468359429109968,-0.000552766304568352,-0.00307303857021767,0.000214590598459634
"T+2",0.0011472512948672,0.000241219665356047,0.00265039499051692,0.000768793982004243,0.000200070415130899,0.00112186457185255,8.22472038047602e-05,0.00170848080778838,0.00441409710283587,0.000192666522451731
"T+3",0.000476170644333505,0.00113860665042838,0.00246135680804042,0.000148513429174026,0.000471823773045289,0.00111192666259956,0.000661380936864855,-0.000702023036260063,-0.00199683282437578,0.000349384263875917
"T+4",0.000905009298241523,0.000484294161413425,0.00233181465912408,0.000680391510905964,0.000260448345011976,0.00111181693525587,0.000772177044773992,2.18888899230753e-05,0.00244873852588173,0.000242454884265816
"T+5",0.00063095225497515,0.000959819056485246,0.00224325911289839,0.000462373663220738,0.000423311064996209,0.00111212221612001,0.000677926511084136,1.90112392736105e-05,-0.00055304113746541,0.000310791038537805
"T+6",0.000806093429423756,0.000614191339084363,0.00218272655536185,0.000525475156199823,0.00029787511824986,0.00111215698139822,0.00065141627327183,-6.94835936587469e-05,0.00146609829057959,0.00026733984456642
"T+7",0.000694166252602859,0.00086540444326124,0.00214134933178679,0.000513273292515264,0.000394483661996162,0.00111215081933504,0.000666132266924908,-3.22649814979917e-05,0.000108691353707094,0.000294956793043501
"T+8",0.000765695365908686,0.000682814829671579,0.00211306579990271,0.00051365139336318,0.000320077520839749,0.00111214908087629,0.000671899927986795,-3.68035936403478e-05,0.00102116014539535,0.000277404439258511
"T+9",0.000719983375348011,0.000815526723682906,0.00209373250237342,0.000514609043823589,0.000377383774332122,0.00111214909906323,0.000669721814716544,-3.95244860635567e-05,0.000407792709856546,0.000288560063665964
"T+10",0.000749196460544316,0.000719067530477991,0.00208051716579994,0.000514075074991443,0.000333247542634038,0.00111214915629572,0.000668542154940919,-3.78287731440755e-05,0.000820101541547024,0.000281469964483684
"T+11",0.000730527303147772,0.00078917711653293,0.00207148378075605,0.000514262263833202,0.000367240463645385,0.0011121491615789,0.000668840595651118,-3.81979920109295e-05,0.00054294543839079,0.000285976167248121
"T+12",0.000742458170276486,0.00073821925659776,0.00206530898188525,0.000514215398318763,0.00034105973560349,0.00111214916029722,0.000669071071720527,-3.8254296530707e-05,0.000729251179769983,0.000283112192738909
"T+13",0.000734833531016153,0.000775257037524573,0.00206108817861941,0.000514222070293363,0.000361223655043506,0.00111214915999767,0.000669035235919528,-3.81850965385421e-05,0.00060401551409416,0.000284932428182645
"T+14",0.000739706196449691,0.000748336809364916,0.00205820303521933,0.000514223033013604,0.000345693771896909,0.0011121491600078,0.000668991857072886,-3.82069452462953e-05,0.000688199564613213,0.000283775554383683
"T+15",0.000736592230317455,0.000767903280844404,0.00205623088633801,0.000514221900979168,0.000357654604772899,0.00111214916001838,0.000668995006764882,-3.82064182363517e-05,0.000631610618303976,0.000284510820247959
"T+16",0.000738582267434711,0.00075368175181846,0.00205488281774287,0.000514222398820261,0.000348442589348385,0.00111214916001914,0.000669002907238615,-3.82039306801213e-05,0.000669649995413867,0.00028404351267158
"T+17",0.000737310497749402,0.000764018407972728,0.00205396134119797,0.000514222246923657,0.000355537515685148,0.00111214916001888,0.000669002930626971,-3.82050321560148e-05,0.000644079732928374,0.000284340515948288
"T+18",0.000738123245470762,0.00075650540003549,0.00205333146299602,0.000514222278846921,0.000350073132767362,0.00111214916001883,0.00066900153558287,-3.82048815529109e-05,0.00066126819323591,0.000284151751736377
"T+19",0.000737603844146602,0.00076196609132894,0.00205290090776216,0.000514222276609557,0.000354281700870102,0.00111214916001884,0.000669001428991234,-3.82048078117555e-05,0.000649714022921415,0.000284271723233302
"T+20",0.000737935777080339,0.00075799708854717,0.00205260660037253,0.000514222274753421,0.000351040338443294,0.00111214916001884,0.00066900166779918,-3.82048571881492e-05,0.000657480794887478,0.000284195473821781
"T+21",0.000737723649256681,0.000760881885038156,0.00205240542562703,0.000514222275930704,0.000353536776691515,0.00111214916001884,0.000669001704182869,-3.82048457572783e-05,0.000652259931326453,0.000284243935105555
