"","DIS","HD","CAT","T","RTX","VZ","MMM","DD","MDLZ"
"T+1",-0.00999421486995787,0.00164718374949361,-0.00671458284819122,-0.00481754638862171,-0.00591690530098616,-0.00195365770255505,-0.00727921292002493,-0.0044600505898315,-0.00089603316408687
"T+2",0.001751248199578,0.000815823092713783,-0.0011441718359633,-0.00200096414490849,0.000655701156005201,-0.00373428481089559,-0.001303391653598,0.00311946507504769,-0.00073412752837285
"T+3",0.00161396771300281,-2.52382999103052e-05,0.000500097681638022,0.000392764966219318,0.000169656079757443,-0.00218150498661696,0.000473833608431596,-0.00154999729204351,0.00069064089955938
"T+4",-0.000644241645963828,0.000101093805704829,-0.000790654767403821,-0.000719291065032582,-0.000840422452871022,-0.00107375274991253,-0.000715756728125867,-0.0014287160055585,0.000109903169649279
"T+5",0.000136702198619486,0.00022856156334073,-0.000524589326211714,-0.000979225639221738,-0.000178251640977161,-0.000616150493368354,-0.000906244519064677,-0.000903655855288406,0.00013019307213339
"T+6",0.000318927033529915,0.000209364475621899,-0.00046124073357891,-0.000689362011038185,-0.000352965528305355,-0.00048206889932102,-0.000684956725941896,-0.00103227052203634,0.000206565567234742
"T+7",0.000104888566614591,0.000190046011352491,-0.000517358895106357,-0.000697960505879208,-0.000384105307592587,-0.000458456770357094,-0.000673453392563267,-0.00106628376470693,0.000173750380977288
"T+8",0.000140609723104799,0.000192963131550033,-0.000504780413335186,-0.000756888564768518,-0.000332509983316583,-0.000460602575797312,-0.000712342857522367,-0.00104369070798945,0.000175497252362474
"T+9",0.00017066928588935,0.000195890952114613,-0.000502394428730551,-0.000742252709713646,-0.000355408503514437,-0.000464625850236169,-0.00071061141512028,-0.00104459167038506,0.000179577952054864
"T+10",0.000153625186842253,0.00019544767973469,-0.000504825639867806,-0.000733079355545069,-0.000352620100335808,-0.000466699529573273,-0.000704133625900622,-0.00104706377730879,0.000177728372146547
"T+11",0.000153419567276442,0.000195003952669581,-0.000504236187704629,-0.000738146911317718,-0.00034971606820706,-0.00046742457867848,-0.000705045034530649,-0.00104641926331564,0.000177859339934581
"T+12",0.000156831676900479,0.000195071309928141,-0.000504149036690784,-0.000738967553023808,-0.00035189138618786,-0.000467599493214808,-0.000706064822131071,-0.00104626760276506,0.000178076628595612
"T+13",0.000155732711655425,0.000195138559107028,-0.000504253983565959,-0.000737725901154011,-0.000351236569483298,-0.000467615202240626,-0.000705812227799031,-0.00104637673177269,0.000177972632930184
"T+14",0.000155430319211032,0.000195128323925939,-0.00050422657157684,-0.000737824151277232,-0.000351179683740582,-0.000467603674613097,-0.000705662054876822,-0.00104637088832035,0.000177981761452338
"T+15",0.000155746866169008,0.000195118131967204,-0.00050422352633396,-0.000738063199436241,-0.000351339460818746,-0.000467595157404996,-0.000705719471276228,-0.00104635927223282,0.000177993288704016
"T+16",0.000155700490175303,0.000195119687231016,-0.000504228039698969,-0.000737990535404203,-0.000351260830296023,-0.000467591590560319,-0.000705739663835598,-0.00104636249084909,0.000177987455121482
"T+17",0.000155653879689341,0.000195121231873342,-0.000504226773543785,-0.000737956217187637,-0.000351273800935362,-0.00046759053161763,-0.000705727937879563,-0.00104636316209384,0.000177988063205324
"T+18",0.000155678540232665,0.000195120995548148,-0.000504226674373598,-0.00073797893205871,-0.000351281865921125,-0.000467590339575024,-0.000705725603458728,-0.00104636263586591,0.000177988672265011
"T+19",0.000155679449437432,0.000195120761450091,-0.00050422686772993,-0.000737981184063641,-0.00035127480436518,-0.000467590353306902,-0.000705727828135114,-0.00104636267113807,0.000177988345781156
"T+20",0.000155674308322514,0.000195120797359926,-0.000504226809601228,-0.000737975929094775,-0.000351277195948661,-0.000467590383877662,-0.00070572801541336,-0.00104636272560738,0.000177988385050865
"T+21",0.000155675846582499,0.000195120832838593,-0.000504226806768274,-0.000737976601055325,-0.000351277231271919,-0.000467590399937664,-0.000705727617637059,-0.00104636270958526,0.000177988417089245
