"","KO","MRK","IBM","UNH","DD","RTX","CAT","AXP","MMM","TRV"
"T+1",0.00120218174251303,0.00182240311669157,0.000575367229137138,0.00174291575797447,-0.00121340653702106,6.55042495967626e-05,-0.00131369467286333,-4.46821381336815e-05,0.00197056004267142,0.00118622925654372
"T+2",7.79639600600091e-05,0.0010575881217605,0.00087859674719004,0.00141994287945357,0.00319760757112575,0.00133728534432562,-0.000648253218927361,-0.000120963376865118,0.000802425816339657,0.000320137142151963
"T+3",0.000485619292200861,0.000894225682784166,0.000644873243239258,0.00131258742557183,-0.000263891021368314,0.000179369170416913,-0.000537911196111853,-0.000137638138866935,0.00120802365402411,0.00125317723902292
"T+4",0.000605354228645109,0.000980710647012391,0.000610684823550476,0.0012163747349741,0.00309859251243743,0.00129430700011601,-0.000497208584875512,-0.000151290819240153,0.000986370082443165,0.00048435704652126
"T+5",0.00055386361910417,0.00101314899965577,0.000623938690120482,0.00113394946146492,-0.000105580576530809,0.000221193587577632,-0.000465891662220219,-0.000163716692167266,0.0011222630193375,0.00108854428219224
"T+6",0.000541354838675843,0.00100497612299871,0.000626992958484935,0.00106324730939176,0.00295256163229619,0.00125405456717026,-0.000436463992203944,-0.00017506751830109,0.00103723564069499,0.000618490383279452
"T+7",0.000547779674938885,0.000999570469930867,0.000626309533911431,0.00100260308861344,3.41770748004408e-05,0.00025993617455129,-0.000407975471418982,-0.000185437550445774,0.00109061396827881,0.000983380925545465
"T+8",0.000549054925317276,0.00100007355513968,0.00062606726942375,0.00095058592763607,0.00281922114497025,0.00121676521371333,-0.000380288772585015,-0.000194911573426186,0.00105708625970018,0.000700264808991033
"T+9",0.000548261870830303,0.00100087555517266,0.000626097329234053,0.000905968568818846,0.000161427647327572,0.000295826805390694,-0.000353367948666199,-0.000203567006857082,0.00107814731866922,0.000919908794283574
"T+10",0.00054813602667287,0.00100089857801603,0.000626115069908546,0.000867698338917051,0.00269778492723024,0.00118222083944573,-0.000327190152908158,-0.000211474579843149,0.00106491723624751,0.000749511166419122
"T+11",0.000548232965435578,0.00100079082737188,0.000626114180703322,0.000834872314797104,0.000277315384610928,0.000329075421133349,-0.000301734671266189,-0.000218698910206003,0.00107322809425004,0.000881703248903188
"T+12",0.000548244820369722,0.00100077526075918,0.000626112961756109,0.000806716020406161,0.00258719217372331,0.00115021937836153,-0.000276981547626002,-0.000225299032555029,0.00106800738713391,0.000779150613188802
"T+13",0.000548233077532384,0.00100078830217057,0.000626112945640863,0.000782565154284434,0.000382855086762802,0.000359876508295887,-0.000252911399619082,-0.000231328880697923,0.00107128692630437,0.00085870938942468
"T+14",0.000548232039539479,0.00100079194549477,0.000626113024675417,0.000761849916464743,0.00248647464598345,0.00112057363912799,-0.000229505382534497,-0.000236837728368261,0.00106922678827504,0.000796988903545713
"T+15",0.000548233450016003,0.00100079056946274,0.000626113030563019,0.000744081564979399,0.000478970768236614,0.000388410236669342,-0.000206745171970689,-0.000241870591872583,0.00107052092397081,0.000844870715052871
"T+16",0.000548233529364978,0.00100078990961857,0.000626113025734479,0.000728840884797266,0.00239475054956825,0.00109311021011796,-0.000184612949167525,-0.000246468597947343,0.00106970797494718,0.000807724736146199
"T+17",0.000548233361315054,0.00100079002311743,0.000626113025052915,0.000715768297134552,0.000566503933836469,0.000414843513215512,-0.000163091387016209,-0.000250669319831689,0.00107021865255016,0.000836542019883296
"T+18",0.000548233357066529,0.00100079012700726,0.000626113025328241,0.000704555375784778,0.00231121682855727,0.00106766844504518,-0.0001421636364891,-0.000254507084302355,0.00106989785554247,0.000814186010799452
"T+19",0.000548233376931613,0.00100079012333672,0.000626113025389808,0.000694937570309673,0.000646220947360667,0.000439330958382908,-0.000121813313448151,-0.000258013252179641,0.00107009937352474,0.000831529461580612
"T+20",0.000548233376831179,0.00100079010861341,0.000626113025375496,0.000686687964406676,0.00223514213478921,0.00104409952326987,-0.000102024485817843,-0.00026121647459667,0.0010699727841358,0.000818074677058549
"T+21",0.000548233374501123,0.00100079010742467,0.00062611302537058,0.000679611922191959,0.000718819741219753,0.000462015810553196,-8.27816611121098e-05,-0.000264142927126062,0.00107005230494686,0.000828512693622791
