"","CAT","IBM","MCD","HON","AMGN","AXP","MMM","DOW","WBA","TRV"
"T+1",0.00114283296598009,-0.000530879662862502,0.00137818368462248,-0.00459175743846011,-0.00210754562518505,0.000495573257556495,-0.00452752495098116,0.00160529253776067,0.00258119831230336,-0.00203061561954894
"T+2",0.000260704744617346,0.00212695911900747,0.000431995114552831,-0.00186767231445887,-0.00100582832540626,0.000451949307213138,0.00615742361991665,-0.00108585894766697,-0.00119780862388832,-0.00209749549294993
"T+3",-0.000176908234291903,-0.000744958460520217,0.000681890989603467,-8.37843093595843e-06,-0.000388786703608792,0.000486974339170252,-0.00674432642904321,0.000898671199696041,0.000729533951637609,-0.00188390839193715
"T+4",-0.000382432522755865,0.00123145093192635,0.000707956394888619,1.33367644264149e-05,-0.000105466714537028,0.000522129311062602,0.00550809262177052,-0.000736945473968343,-0.000406501697320023,-0.00169798747723888
"T+5",-0.000475204870127313,-5.83787847826512e-05,0.000721536633828329,-0.000210939609664148,1.71266762360763e-05,0.00055579479973217,-0.00567485847397111,0.000616786003642056,0.000226267914743352,-0.00152599348493357
"T+6",-0.000515796623596558,0.000776493065123988,0.000725367428595441,-0.000256598804830355,6.90726482633515e-05,0.000588000740158368,0.00445359194276462,-0.00050380876124704,-0.000133857650049204,-0.00136731909822532
"T+7",-0.000533099226378987,0.000236814604160271,0.000726642083296432,-0.0002377958174063,9.09120198877992e-05,0.000618809698213217,-0.00470567493066923,0.000423804529689385,6.94076814415525e-05,-0.00122091521017585
"T+8",-0.000540306239638611,0.000585599837946233,0.000727044777276904,-0.000228581663464682,0.00010006654941805,0.000648282254864814,0.00357458646840779,-0.000344061435055605,-4.56860430406486e-05,-0.00108583364007705
"T+9",-0.000543244616210126,0.000360193457743001,0.000727174005028639,-0.000229125612906583,0.000103899528978535,0.000676476378921464,-0.0039105609219228,0.000291567818573757,1.94034338215749e-05,-0.000961198734194511
"T+10",-0.000544418082728005,0.000505864059941316,0.000727215277307883,-0.000230361962828335,0.000105503684687501,0.00070344752501206,0.00285573876669223,-0.000234597640915018,-1.74241205620311e-05,-0.000846202590789956
"T+11",-0.000544877034001422,0.000411723399998571,0.000727228477915042,-0.000230532125447349,0.000106174933053278,0.000729248742314445,-0.00326073346808065,0.000200955142693669,3.40913388907806e-06,-0.00074009978668237
"T+12",-0.000545052632810463,0.000472562460472513,0.000727232698148152,-0.000230412841665196,0.000106455794249166,0.000753930778889705,0.00226831717527233,-0.000159589670517089,-8.37699599384667e-06,-0.000642202546775224
"T+13",-0.000545118214212807,0.000433244792682191,0.000727234047539028,-0.00023036906960354,0.000106573308185189,0.000777542181497681,-0.00272972691416812,0.000138864540373619,-1.70932947259328e-06,-0.000551876285730061
"T+14",-0.000545142032593167,0.000458654110028956,0.000727234478979794,-0.000230375334599515,0.000106622476216549,0.000800129391082921,0.00178830806492302,-0.000108191894040613,-5.48140963350639e-06,-0.000468535494486743
"T+15",-0.000545150392617831,0.000442233161281942,0.000727234616926091,-0.000230381913505651,0.000106643048128427,0.000821736834118735,-0.00229581756958777,9.63181432053517e-05,-3.34744965424301e-06,-0.00039163994490134
"T+16",-0.000545153198225199,0.000452845314062189,0.000727234661032048,-0.000230382404868217,0.000106651655407217,0.000842407009989023,0.0013960711080832,-7.29725511799654e-05,-4.55468592153972e-06,-0.000320691187902164
"T+17",-0.000545154080804098,0.000445987136233091,0.000727234675134186,-0.000230381690750834,0.000106655256686857,0.000862180574579729,-0.00194125081239504,6.71640386490911e-05,-3.87172157973445e-06,-0.000255229322464328
"T+18",-0.000545154330172742,0.000450419281539457,0.000727234679643106,-0.000230381493492353,0.00010665676345951,0.000881096420244342,0.00107555672784661,-4.88391703886083e-05,-4.25809200862613e-06,-0.000194830014458818
"T+19",-0.000545154386174153,0.000447554976689649,0.000727234681084757,-0.000230381543418973,0.000106657393891986,0.000899191752300741,-0.00165151843950589,4.71867463506187e-05,-4.03951237475891e-06,-0.00013910174605179
"T+20",-0.000545154390519785,0.000449406053697628,0.000727234681545701,-0.000230381577225153,0.000106657657664423,0.000916502162209821,0.000813650076940097,-3.23022329810847e-05,-4.16316846826169e-06,-8.76832778242659e-05
"T+21",-0.000545154384961155,0.000448209782256863,0.00072723468169308,-0.00023038157757126,0.000106657768026596,0.00093306169757985,-0.00141476514506297,3.34976890582415e-05,-4.09321305201019e-06,-4.02413071612856e-05
