"","CAT","MCD","AMGN","IBM","AXP","HON","MMM","DOW","WBA","TRV"
"T+1",-0.0024805784176863,0.00134820974945382,0.00035281435907641,-2.59576043835832e-05,-0.00140040024703769,0.00107483377224626,0.002355653185673,-0.00130867366674252,1.28687029290475e-05,0.000928072010363825
"T+2",0.00151347159976853,0.000233736159532607,-6.92776157297624e-05,0.000340331736355519,-0.00102353813060679,-0.000211151509043435,-0.00532553885792061,-0.000623825366536058,-0.00664420555708299,0.00305869409989304
"T+3",0.00102244267848974,0.000504640700500355,0.000141198810176057,2.25266868270668e-05,-0.000815144435844426,-0.000668404276815725,0.00211009792485577,-0.000712099444520906,0.00294235324100803,0.0026857453070063
"T+4",0.00019332555677993,0.00044190179609964,5.150488472128e-05,0.000317835517635683,-0.000703843113669009,-0.000798990280229337,-0.004689053923127,-0.000605930084270493,-0.00356689828561614,0.00261685839772254
"T+5",-0.000273046740278778,0.000457111948278614,8.98415897019558e-05,4.32614168966573e-05,-0.000644226962639242,-0.000829396080980553,0.00146751363533924,-0.000685109683449114,0.0012152391779737,0.00251754856964884
"T+6",-0.000464029385750081,0.00045358060590651,7.34568264837523e-05,0.000298558013745056,-0.000612302557577414,-0.000834629716895981,-0.00409745661853001,-0.000623397827015665,-0.00225987196959268,0.00242733383065944
"T+7",-0.000525870255860774,0.00045443470630516,8.04595357122879e-05,6.11854603776713e-05,-0.000595206716539489,-0.000834923700588788,0.000931181713806289,-0.000671260124769863,0.000269157960860786,0.00234123187238648
"T+8",-0.000540736878090662,0.000454235966234987,7.74666370874747e-05,0.000281892394235614,-0.0005860517366766,-0.000834670352714951,-0.00361255699498522,-0.000634119305800784,-0.00157099075505992,0.00225957117884739
"T+9",-0.000542255432897759,0.000454283932546518,7.87457766162883e-05,7.66810083271831e-05,-0.000581149160195448,-0.000834520960107899,0.000492997906886157,-0.000662938635466879,-0.000232043292184059,0.00218206159194727
"T+10",-0.000541307271512964,0.000454272748989079,7.81990832132471e-05,0.000267484768636614,-0.000578523785128848,-0.000834465527703546,-0.00321662343069725,-0.000640576201488952,-0.00120629813932109,0.00210849937003309
"T+11",-0.000540505523671701,0.000454275443068039,7.84327353443841e-05,9.00770931947468e-05,-0.000577117872488075,-0.00083444919885071,0.000135246472482101,-0.00065792837818106,-0.000497403280811083,0.00203868261819749
"T+12",-0.000540115626321807,0.000454274813809747,7.83328744020695e-05,0.000255029205535958,-0.000576364993260088,-0.000834445263347144,-0.00289337293507822,-0.000644463919905573,-0.00101321481475876,0.00197242073634941
"T+13",-0.000539969972869219,0.000454274965140097,7.83755541232064e-05,0.000101658167343512,-0.000575961819467136,-0.000834444542066968,-0.000156830144858536,-0.00065491169474866,-0.000637896052408208,0.00190953270837811
"T+14",-0.000539927225140005,0.000454274929737325,7.83573131717984e-05,0.000244261223602476,-0.000575745916170458,-0.000834444482039965,-0.00262946385034042,-0.000646804721780288,-0.000910988381546529,0.00184984674934571
"T+15",-0.000539918708120156,0.000454274938238502,7.83651091999683e-05,0.000111670143212966,-0.000575630297957341,-0.000834444507183103,-0.000395288137391725,-0.00065309534458661,-0.000712278837213368,0.0017931998193741
"T+16",-0.000539918782638831,0.000454274936246869,7.83617772435441e-05,0.000234952175590533,-0.000575568383334406,-0.000834444524370742,-0.00241400247625639,-0.000648214122526756,-0.000856865406645066,0.00173943718028787
"T+17",-0.000539919929285264,0.000454274936724471,7.83632012935053e-05,0.000120325615021788,-0.000575535227480931,-0.000834444531054763,-0.000589970660731369,-0.00065200171709905,-0.000751660213154012,0.00168841197268871
"T+18",-0.000539920652277956,0.000454274936612437,7.83625926666106e-05,0.000226904393246173,-0.000575517472214605,-0.00083444453308692,-0.00223809491486031,-0.00064906272508677,-0.000828210426503629,0.00163998481481901
"T+19",-0.00053992096624504,0.000454274936639271,7.83628527885916e-05,0.00012780837299186,-0.000575507964105198,-0.00083444453359313,-0.000748913896235791,-0.000651343242149348,-0.000772510370551823,0.00159402342181965
"T+20",-0.000539921073548131,0.000454274936632969,7.83627416146596e-05,0.000219946990020933,-0.000575502872424633,-0.000834444533691124,-0.00209447998488211,-0.000649573670115474,-0.000813039274355979,0.00155040224437774
"T+21",-0.000539921101591308,0.000454274936634477,7.83627891294567e-05,0.000134277305948421,-0.000575500145782577,-0.000834444533701458,-0.000878678765103439,-0.000650946773274601,-0.000783549321150407,0.00150900212577286
