"","NKE","GS","CAT","MMM","IBM","RTX","AXP","WBA","DOW","TRV"
"T+1",-0.000199819987880368,0.000507252103129848,-0.00180392380898956,-0.00247911653525539,-0.00302385955511597,0.00145837375708016,0.00456230410515618,-0.00316580245817668,-0.00406902164641747,0.00368190841482043
"T+2",-0.000160621371105871,0.00385827619039432,-0.00434973319818621,-0.000225421625122917,-0.00171718959255351,0.00152476912298867,0.000557024082667675,-0.000168760561645345,0.00319653895925529,-0.000301687396572255
"T+3",0.000598946228308327,-0.00201994073317288,-0.00320403967157486,-0.000864310263399741,0.00255301470573829,0.00150898667468917,0.00108926135634842,-0.000453347169966563,0.000552881514546498,0.000447003777165514
"T+4",0.000659812884823515,0.00331324156247876,-0.002669329055183,-0.00076503428524498,-0.0010395167693754,0.00149350940575874,0.00101660121686492,-0.000905266208658264,-0.000216489975613828,0.000309006141756375
"T+5",0.000694438669315081,-0.00124675610025916,-0.00217966735011703,-0.000777630378599678,0.00143950505413759,0.0014785762951181,0.00102460958157539,-0.00111203774260778,-0.00010087827534738,0.000334551523914877
"T+6",0.000699536804263273,0.00262198606965998,-0.0017841863102607,-0.000776210758429006,-0.000205778995630585,0.00146416896686366,0.00102188912721693,-0.00117405971778641,-3.50055917145056e-05,0.000329827234570484
"T+7",0.000701296732136679,-0.000656824420205367,-0.00145882535516618,-0.000776356956612431,0.000876582153557209,0.00145026891100725,0.00102062419215114,-0.0011854502509203,-3.70025608685907e-05,0.00033070111739852
"T+8",0.000701634685835093,0.00212161011715356,-0.00119190936376694,-0.000776343100754257,0.000166005201017297,0.00143685826683423,0.00101919002465798,-0.00118510646929775,-4.18924937118012e-05,0.000330539477219435
"T+9",0.000701730294792208,-0.00023276387174705,-0.00097284508618679,-0.000776344299678859,0.000632278637098736,0.00142391980248612,0.00101780285195592,-0.00118377355034064,-4.22141463665563e-05,0.000330569375762155
"T+10",0.000701751053073174,0.00176226672711436,-0.000793065721425758,-0.000776344207757034,0.000326349364264912,0.00141143689282662,0.00101643347502377,-0.00118311348834035,-4.18957533944811e-05,0.0003305638454493
"T+11",0.000701756434430886,7.17342798480993e-05,-0.000645524796397436,-0.000776344213465575,0.000527068986178815,0.0013993934980794,0.00101508541977047,-0.00118290438797934,-4.18425801464124e-05,0.000330564868387993
"T+12",0.000701757671105713,0.00150424354192044,-0.000524441428281123,-0.000776344213282296,0.000395378043219059,0.00138777414321793,0.00101375785493858,-0.00118286223382534,-4.18602521053922e-05,0.000330564679175651
"T+13",0.000701757979329824,0.000290375819314113,-0.000425071131641751,-0.000776344213261149,0.000481779555786255,0.00137656389808103,0.0010124505356569,-0.00118286143673352,-4.18657237171376e-05,0.000330564714174143
"T+14",0.000701758052038571,0.00131897290109672,-0.000343520249364011,-0.000776344213266963,0.000425092143399998,0.00136574835818854,0.00101116314430177,-0.00118286529080133,-4.18649820844199e-05,0.000330564707700493
"T+15",0.00070175806983907,0.000447368906022708,-0.000276593344023764,-0.000776344213266065,0.000462284344858004,0.00135531362623239,0.00100989537828817,-0.00118286738075189,-4.18645212594412e-05,0.00033056470889792
"T+16",0.000701758074088807,0.00118594141188572,-0.000221667995216275,-0.000776344213266179,0.000437882810820479,0.00134524629421948,0.00100864693828432,-0.00118286807993075,-4.18645304380182e-05,0.000330564708676433
"T+17",0.000701758075120776,0.00056009601707528,-0.000176592043673706,-0.000776344213266166,0.000453892480519114,0.00133553342624318,0.00100741752970275,-0.00118286823274723,-4.1864564191666e-05,0.000330564708717401
"T+18",0.000701758075368508,0.00109041965503366,-0.000139599262534531,-0.000776344213266168,0.000443388652227239,0.00132616254186149,0.00100620686242257,-0.00118286824159728,-4.18645667405859e-05,0.000330564708709823
"T+19",0.000701758075428441,0.000641038444738775,-0.000109240150644844,-0.000776344213266167,0.000450280137862772,0.00131712160006045,0.00100501465074874,-0.00118286823073291,-4.18645645740162e-05,0.000330564708711225
"T+20",0.000701758075442865,0.00102183133744016,-8.43251362461546e-05,-0.000776344213266167,0.000445758684070661,0.00130839898378214,0.00100384061334099,-0.00118286822417268,-4.18645641864879e-05,0.000330564708710965
"T+21",0.000701758075446349,0.000699158239833926,-6.38779655666387e-05,-0.000776344213266167,0.000448725177142708,0.0012999834849975,0.0010026844731479,-0.00118286822185307,-4.1864564304301e-05,0.000330564708711013
