"","GS","KO","AXP","UNH","CAT","DD","RTX","NKE","MMM","TRV"
"T+1",0.000587645345103518,-0.00186945521363937,-0.000370456067478808,0.00170602852857695,-0.000559221015299771,0.000620462081451454,-0.000627479215278828,0.000571377745100587,0.000923770962182464,0.000200436492245021
"T+2",0.000556322030556261,-0.000983289087643492,-0.000150731592941598,0.00313346138574511,0.000320383577777518,0.000495639759617836,-0.000185813198650356,0.0013957440842276,4.54587988924102e-05,0.00126925806413852
"T+3",0.000534810746007835,-0.000845256531396597,-0.000269921619749455,0.00263233254374667,-0.00182301881428141,0.000487217864996026,-0.000160392555305295,0.00138782999737232,6.47919445006675e-05,0.000174448043205991
"T+4",0.000518179626721865,-0.000770144124012719,-0.000409583834895121,0.00205673684091179,-0.000235777677295588,0.000487451553846484,-0.000160777972563032,0.00135397941559549,5.25760583983352e-05,0.000950659091211271
"T+5",0.000505304100361859,-0.000704592373899363,-0.00052533139998246,0.00162325443004787,-0.0015220445865822,0.00048829638009657,-0.000162743728479271,0.00133184744039281,5.0735617551903e-05,0.000431156961051022
"T+6",0.000495335944163693,-0.000644132708778388,-0.000616059955723036,0.00131787444234695,-0.00049080745787138,0.000489153055841283,-0.000164786889447009,0.00131837254325336,5.01883471069813e-05,0.000774872570940089
"T+7",0.000487618655504908,-0.00058810242670197,-0.000686379524902093,0.00110571628977265,-0.00131860020195141,0.000489978208501982,-0.00016681442119806,0.00131022128247212,5.00575932909748e-05,0.000548005141202097
"T+8",0.000481643975417708,-0.000536156255485464,-0.00074075156241469,0.000958771861676213,-0.000654210528030579,0.000490769922643949,-0.000168820768446506,0.00130529341802132,5.00244341810555e-05,0.000697672508033318
"T+9",0.000477018412772155,-0.000487994892896308,-0.000782771510972181,0.000857064361568233,-0.00118746101792367,0.00049152932463683,-0.000170805801484147,0.00130231443844362,5.00161684180551e-05,0.000598945427049361
"T+10",0.00047343732901944,-0.000443342452744105,-0.000815241989865451,0.000786678133192723,-0.00075946588561774,0.000492257716160716,-0.000172769724962188,0.00130051360351362,5.00140978740981e-05,0.000664068644826332
"T+11",0.000470664874763246,-0.000401943273668263,-0.000840332640233575,0.000737969275456882,-0.00110298150683614,0.000492956362265032,-0.000174712762016063,0.00129942497411433,5.00135799326007e-05,0.000621111700328509
"T+12",0.000468518456769848,-0.00036356033075415,-0.000859720640794026,0.000704261896456719,-0.000827270476173053,0.000493626477572151,-0.000176635134690091,0.00129876688275328,5.00134503193426e-05,0.000649447174783155
"T+13",0.000466856712417498,-0.000327973868848024,-0.000874702084853941,0.000680935840662878,-0.00104856047859187,0.000494269227194734,-0.000178537062746671,0.0012983690575267,5.0013417887697e-05,0.000630756391332505
"T+14",0.000465570199584926,-0.000294980143640438,-0.000886278503769158,0.000664793835659356,-0.000870949648019278,0.000494885728672296,-0.000180418763615947,0.00129812856673741,5.00134097724348e-05,0.000643085296269082
"T+15",0.000464574188817067,-0.000264390255104804,-0.000895223800900945,0.00065362331001473,-0.00101350288943595,0.000495477053907591,-0.000182280452415973,0.00129798318676686,5.00134077417986e-05,0.000634952844467153
"T+16",0.000463803083061588,-0.000236029065977599,-0.000902135985105581,0.000645893127741456,-0.000899087419541483,0.000496044231029822,-0.000184122341977026,0.00129789530258675,5.00134072336826e-05,0.000640317211580411
"T+17",0.000463206097461312,-0.000209734199039062,-0.000907477148140488,0.000640543718086042,-0.000990919072200403,0.000496588246182198,-0.000185944642865911,0.00129784217539817,5.00134071065394e-05,0.000636778741852572
"T+18",0.000462743914674574,-0.000185355107449701,-0.000911604356228103,0.000636841841128367,-0.000917213545859899,0.000497110045236522,-0.000187747563410035,0.00129781005928621,5.0013407074725e-05,0.000639112804333648
"T+19",0.000462386095443662,-0.000162752212819668,-0.000914793520551583,0.000634280083123313,-0.000976370758605575,0.000497610535437768,-0.000189531309721225,0.00129779064465739,5.00134070667643e-05,0.000637573198774044
"T+20",0.000462109073871926,-0.000141796106076162,-0.000917257842404526,0.000632507305650911,-0.000928890250784902,0.000498090586981494,-0.000191296085719286,0.00129777890824879,5.00134070647723e-05,0.000638588760824492
"T+21",0.000461894605378964,-0.000122366806553538,-0.000919162066075333,0.000631280515313797,-0.000966998851888218,0.000498551034526841,-0.000193042093155319,0.00129777181342931,5.00134070642738e-05,0.000637918870882958
