"","NKE","CAT","GS","IBM","MMM","RTX","AXP","WBA","DOW","TRV"
"T+1",0.00039852781789588,0.000128177809688566,0.00118637138138671,-0.000751771524262201,9.20795976390178e-05,0.00153490891842196,0.00157440151223631,-0.000342680272625013,0.00159048327385376,0.000502299255094248
"T+2",0.000177314698261128,0.000307424339258626,0.00121026281964285,0.000732257299198415,-0.000215210260234853,0.00137374126878731,0.00114884244855878,-0.000471781445689362,0.000573564484457826,0.00126571010496543
"T+3",0.000193026006967465,0.00031221263426888,0.00121139919154468,0.000606119713667137,-0.000190495556518703,0.00148469083577975,0.00128147065536545,-0.000435129046017938,0.00066823958791821,0.00104269578811795
"T+4",0.000220610504583657,0.000335659903772612,0.0012114178839268,0.000669624277578216,-0.000176726757156773,0.00142498022926307,0.00126626426630148,-0.000402343049047849,0.000698705131575648,0.00109816461335584
"T+5",0.000248005369307806,0.0003510687879714,0.00121142285104786,0.000689145886968361,-0.000174478093608467,0.00145739410376063,0.00126267620017128,-0.000387077647991494,0.000697709660926228,0.00107996072555534
"T+6",0.00027458821701833,0.000363506817418476,0.00121142239532948,0.000703627913101625,-0.000174380212373846,0.00143980421860772,0.00126478679667132,-0.000381423022220797,0.000696883226945912,0.0010835778908959
"T+7",0.000300350425739375,0.000373146193180335,0.00121142247902503,0.000712083681256877,-0.000174421599293556,0.00144934976575833,0.00126434231378362,-0.000379616887969053,0.000696869975199169,0.00108190385383891
"T+8",0.000325315575675802,0.000380673146818218,0.00121142246651541,0.000717276539185243,-0.000174433123490898,0.00144416966240406,0.00126434975122595,-0.000379111972949128,0.000696890507135059,0.00108203913175013
"T+9",0.00034950823288548,0.000386542301450447,0.00121142246848283,0.000720429264626536,-0.000174434432638145,0.00144698076069762,0.0012643756476846,-0.000378991650699347,0.000696891808561231,0.00108184441366391
"T+10",0.000372952295429756,0.000391119995544125,0.00121142246817751,0.000722348273181977,-0.000174434392530189,0.00144545525568945,0.00126436692127393,-0.000378969864705937,0.000696891344028267,0.0010818221796061
"T+11",0.000395670926840941,0.000394690227806677,0.00121142246822505,0.000723515670307292,-0.000174434347754824,0.00144628310490957,0.00126436805557497,-0.000378968591365461,0.000696891288947012,0.00108179168650608
"T+12",0.000417686574166578,0.00039747474690086,0.00121142246821766,0.000724225928271181,-0.000174434339327961,0.00144583385411879,0.00126436824901837,-0.000378969880623862,0.000696891298255548,0.00108178242944484
"T+13",0.000439020989888046,0.000399646463628297,0.00121142246821881,0.000724658045027649,-0.00017443433877231,0.00144607765005181,0.00126436811523053,-0.000378970731830162,0.00069689130010163,0.00108177646107079
"T+14",0.000459695253399047,0.000401340240872241,0.00121142246821863,0.00072492094400854,-0.000174434338887185,0.0014459453487667,0.00126436814556787,-0.000378971096946671,0.000696891299949891,0.00108177399674953
"T+15",0.000479729791832277,0.000402661260847501,0.00121142246821866,0.000725080890998127,-0.000174434338927031,0.00144601714500146,0.00126436814440732,-0.000378971225997483,0.000696891299895528,0.00108177269377574
"T+16",0.000499144400242342,0.000403691557954841,0.00121142246821865,0.000725178202321537,-0.000174434338932339,0.00144597818317791,0.0012643681428479,-0.000378971265671279,0.000696891299896864,0.00108177209680725
"T+17",0.000517958261164188,0.000404495112894969,0.00121142246821865,0.000725237406267808,-0.000174434338932367,0.00144599932667798,0.00126436814341871,-0.000378971276314897,0.000696891299898318,0.00108177180016723
"T+18",0.000536189963566336,0.00040512182584744,0.00121142246821865,0.000725273425789361,-0.000174434338932226,0.00144598785268743,0.00126436814333596,-0.00037897127870336,0.000696891299898352,0.00108177165947977
"T+19",0.000553857521217649,0.000405610615232149,0.00121142246821865,0.000725295339969241,-0.000174434338932195,0.00144599407930359,0.00126436814332603,-0.000378971279078445,0.000696891299898317,0.00108177159095819
"T+20",0.000570978390485771,0.000405991834515499,0.00121142246821865,0.000725308672497257,-0.000174434338932192,0.00144599070029185,0.00126436814333446,-0.000378971279071076,0.000696891299898314,0.00108177155808906
"T+21",0.000587569487584827,0.000406289157138584,0.00121142246821865,0.00072531678397139,-0.000174434338932192,0.00144599253398772,0.0012643681433324,-0.000378971279032214,0.000696891299898315,0.00108177154218436
