"","VZ","MCD","HPQ","AXP","UNH","RTX","MMM","DD","AA","TRV"
"T+1",-0.00223974113060067,0.000567947114836094,-0.000386441515200578,0.00129237076360285,0.00166029500110128,0.000941381471321602,0.00138086803735989,3.41527977458377e-05,0.00168340729532253,0.00132826101095636
"T+2",0.00428921273140301,0.00055783233689196,-0.000963073948127984,0.000928955107831671,0.000896561341355409,0.00136391688850726,0.00118748545271485,0.000164134270534553,0.00223091365718767,0.00085776454671891
"T+3",-0.0014960575175768,0.000306749906971194,-0.000476705504960387,0.000840312641131935,0.00107526903573819,0.00113775037471729,0.00109745806690532,0.000230483825853024,0.00206731293189697,0.000953199645212605
"T+4",0.002388616905422,0.00036612709216483,-0.000208226741349213,0.000911087093249958,0.00111688276738741,0.00107107482391527,0.00104460680550564,0.000291564542633604,0.00188469280405639,0.00095915637044816
"T+5",-8.32392510369445e-05,0.000363061674217561,3.30758806475033e-05,0.000874835855195337,0.00114225477384998,0.00107453801509051,0.00101246615847494,0.000348747521990275,0.00171475367095623,0.000964136891337772
"T+6",0.00146979154067819,0.000361209998478047,0.000230439507181095,0.000892047280579256,0.00115476218014119,0.00107952761395241,0.000992830396783869,0.000402299984143436,0.00155794470852993,0.000965574469565805
"T+7",0.000497084332327911,0.000361777405492294,0.000394377026379835,0.000884017259107014,0.00116114151048903,0.00108015582195659,0.000980827263632975,0.000452452781754998,0.00141331397401763,0.000966109841917907
"T+8",0.00110584682787954,0.00036172439661916,0.000530194243864557,0.000887747725722893,0.00116437618747807,0.00107993475310636,0.000973489331511736,0.00049942174205879,0.00127991863867974,0.000966293813730166
"T+9",0.000724930179484929,0.000361712269105956,0.000642764147697246,0.000886016510329878,0.00116601799337515,0.00107985539506777,0.000969003356605157,0.000543408983918213,0.0011568860399296,0.000966358560402766
"T+10",0.000963267022426736,0.000361717411404079,0.000736058979328649,0.000886819713194475,0.00116685117250648,0.00107985634520542,0.000966260895305501,0.000584603795001959,0.00104341116147495,0.000966381183031815
"T+11",0.000814143133483527,0.000361716729465654,0.000813380127636705,0.000886447088937923,0.00116727400431167,0.00107986173942814,0.000964584315459569,0.000623183446475697,0.000938751517347345,0.000966389104655658
"T+12",0.000907447499717323,0.000361716666863479,0.000877462427843656,0.000886619955093,0.00116748858703046,0.00107986260274782,0.000963559352943575,0.000659313955845175,0.000842222300868951,0.000966391876700093
"T+13",0.000849068534626609,0.000361716711089207,0.00093057264081524,0.000886539760132639,0.00116759748560876,0.00107986239536529,0.000962932751016862,0.000693150801369467,0.000753191904181404,0.000966392846924333
"T+14",0.00088559525972689,0.000361716703418551,0.000974589390285006,0.000886576963628272,0.00116765275053735,0.0010798623028585,0.000962549683374333,0.000724839591121266,0.000671077785539273,0.000966393186485595
"T+15",0.000862741110408627,0.000361716703304025,0.00101106964794063,0.000886559704442187,0.00116768079693111,0.0010798623006494,0.000962315498300043,0.000754516689573391,0.000595342657636413,0.000966393305328146
"T+16",0.000877040561937579,0.000361716703663077,0.00104130380226597,0.000886567711202866,0.00116769503019297,0.00107986230636806,0.000962172331290011,0.000782309804407861,0.000525490972039441,0.000966393346921452
"T+17",0.000868093638969741,0.000361716703583752,0.00106636130313831,0.00088656399676261,0.00116770225342976,0.00107986230749532,0.00096208480738259,0.000808338536072721,0.000461065676726063,0.000966393361478578
"T+18",0.000873691576091562,0.000361716703586825,0.00108712849057741,0.000886565719939674,0.00116770591914955,0.00107986230731186,0.000962031300402397,0.000832714892451498,0.000401645225512271,0.000966393366573383
"T+19",0.000870189042301234,0.000361716703589538,0.00110433994659338,0.00088656492053546,0.00116770777946536,0.00107986230720606,0.000961998589375046,0.00085554377086002,0.000346840819800569,0.000966393368356499
"T+20",0.0008723805179618,0.000361716703588768,0.00111860447899855,0.000886565291389455,0.00116770872355686,0.00107986230719999,0.000961978591772744,0.00087692340944476,0.000296293864601486,0.000966393368980567
"T+21",0.000871009349014319,0.000361716703588832,0.00113042665630588,0.000886565119345472,0.00116770920267377,0.00107986230720592,0.000961966366412361,0.000896945809925174,0.00024967362218268,0.000966393369198983
