"","T","DIS","MCD","VZ","RTX","MMM","HON","DD","MO"
"T+1",-0.00191505444696843,-0.00871190967406764,0.00297612094561826,-0.00152593044700259,-0.000274092636400144,0.00124970764899778,-0.00117116081523707,-0.00158506816665706,0.000325511031418575
"T+2",-0.0017459195685461,0.00358118718617425,0.00379126505485292,0.00173892298078966,0.00114533883018312,0.00214358103386359,0.0032317380222948,-0.00164474597609578,-0.000109746640354303
"T+3",0.00232484332664779,-0.00251799082964872,0.00180598878311708,0.000337541325488095,0.000423469445353732,0.0016121171855438,0.00133897540914046,0.00138568428793663,0.000957621903001768
"T+4",-0.000811954652931919,0.00032044188772862,0.00137407520707312,0.000504373687137682,0.000734773842156573,0.00132681206413646,0.00163763667110502,-5.30632686499383e-05,0.000455505782258417
"T+5",0.00105340973342293,-0.000908224363736258,0.00117808995807935,0.000373405079046359,0.000597909806581624,0.00110707933078969,0.00136814401347998,0.000255953320838328,0.000770263814419523
"T+6",3.8170642478378e-05,-0.000424756101742069,0.00111128063122563,0.000373824383892799,0.000657937199127627,0.000946011657255355,0.00134974517930931,0.000287748215469661,0.000588158806143255
"T+7",0.000569953413265567,-0.000587725334949036,0.00108620628815721,0.000359512621657217,0.000631601870165616,0.000827248694401951,0.00129468357039512,0.000234072438450031,0.000695725442997647
"T+8",0.000296417092951847,-0.000549700776092313,0.00107711383389806,0.00035760427861103,0.000643155329196616,0.000739741693803126,0.00127618315533254,0.000255726061006799,0.000632535126491219
"T+9",0.000435860998312015,-0.000546333131802896,0.00107377672833501,0.000355773491223475,0.000638086737720679,0.000675259136924081,0.00126089449787698,0.000252080361698065,0.000669710045512117
"T+10",0.00036509585156653,-0.000558834067533914,0.00107255715024409,0.000355314116634351,0.000640310366591231,0.0006277434366889,0.00125327193813161,0.000251122183036017,0.000647848315398868
"T+11",0.000400925165002836,-0.000547690481783586,0.00107211077456213,0.000355050524579146,0.000639334843958807,0.000592730174856088,0.00124834581906384,0.00025203368941995,0.000660705990934791
"T+12",0.000382805710524456,-0.000555306452969452,0.00107194748370224,0.000354964130116665,0.000639762813037076,0.000566929685573596,0.00124558136439521,0.000251718086332095,0.000653144125230963
"T+13",0.000391963458137854,-0.000550735754615048,0.00107188773835068,0.00035492341289907,0.000639575059799926,0.000547917881907056,0.00124390963644498,0.000251755127425997,0.000657591446144698
"T+14",0.000387336484997021,-0.000553252375069542,0.00107186587997649,0.00035490837411246,0.000639657428550019,0.000533908508911203,0.00124293851487266,0.000251776773922008,0.000654975871101618
"T+15",0.000389673899382109,-0.000551958797829761,0.00107185788270871,0.000354901853259769,0.000639621292762988,0.000523585315213575,0.00124236216264725,0.000251761828554992,0.000656514153637462
"T+16",0.000388493201885943,-0.000552582914431083,0.00107185495679253,0.000354899312845553,0.000639637145803163,0.000515978384614559,0.00124202400683212,0.000251766263696601,0.000655609452827201
"T+17",0.000389089581985404,-0.000552301161412796,0.00107185388630067,0.000354898250513246,0.00063963019095581,0.000510373007554571,0.00124182438394328,0.00025176600930737,0.000656141529064349
"T+18",0.000388788352030061,-0.000552418562994063,0.001071853494645,0.00035489782672852,0.000639633242099387,0.000506242530540797,0.0012417069272152,0.000251765578100857,0.000655828602275244
"T+19",0.000388940500744845,-0.00055237493702805,0.00107185335135178,0.000354897652306322,0.000639631903539868,0.000503198874390864,0.00124163769503464,0.000251765815577603,0.000656012642021297
"T+20",0.000388863652154612,-0.000552388048799686,0.00107185329892578,0.00035489758199316,0.000639632490775945,0.000500956072233116,0.00124159692602311,0.000251765755975974,0.000655904403834968
"T+21",0.000388902467390281,-0.000552386143166997,0.00107185327974492,0.000354897553255063,0.000639632233151084,0.000499303401474328,0.00124157290615893,0.00025176575483015,0.000655968061306971
