"","KO","IBM","MRK","RTX","UNH","DD","AXP","CAT","MMM","TRV"
"T+1",0.00031613152102469,-0.00127978018034682,-0.000347376271073869,0.00134891505455037,5.51148218188571e-05,-4.26825183802715e-05,-0.00463889124996087,0.000459689178458765,0.00107935056035328,0.00293605738404937
"T+2",0.00091179829994245,-0.00174897095543026,0.000989380800679409,-0.00194897059274944,0.000293694412814288,0.00109888495622142,0.00334988537456596,-0.00045865359155078,0.000310345843667025,-0.00174857339961449
"T+3",0.000413108071315432,-0.00109078523417026,-0.000250415286682525,0.000950166380251444,0.00040709511917771,0.00114733385729951,-0.00471277014022667,-0.000788090840169708,0.000655655809155822,0.00283058567016365
"T+4",0.000434061734196675,-0.000604981127032549,0.000231757571297399,-0.00163300654135066,0.00049400804957225,0.00112237441124659,0.00340534684255551,-0.000708000733366511,0.000606401475491572,-0.00154041614817512
"T+5",0.000477561047446122,-0.000381212421542608,0.000147955813988173,0.000666121023327456,0.000563009663126844,0.00109873285742224,-0.00476955660816701,-0.000793961785795324,0.000633629401086214,0.00262422015495894
"T+6",0.00046890183610394,-0.000302650316929457,0.000124096365414949,-0.00138037554720242,0.000617898453759209,0.00108040216989256,0.00346248381938428,-0.000734601379765997,0.00063072158722072,-0.00134322014592875
"T+7",0.000466159103665157,-0.000282208879342617,0.000149155740118223,0.000441236438472753,0.000661565549960072,0.00106643524292543,-0.0048270952459787,-0.000779280524420553,0.000632915671972492,0.0024363184484866
"T+8",0.000467392623863561,-0.00027961954353164,0.000138954581878166,-0.00118020392292155,0.00069630536303504,0.00105581143743017,0.0035204245145444,-0.000746294068176581,0.000632772343117466,-0.00116421442297601
"T+9",0.000467459725216833,-0.000280699276555976,0.000140896192036025,0.000263061022540927,0.000723942991757252,0.00104773191307728,-0.00488544092806457,-0.000770750538368705,0.000632953542621376,0.00226579051636635
"T+10",0.000467333821505672,-0.000281740415856869,0.000141309191053988,-0.00102160769561214,0.000745930402363117,0.0010415874465161,0.00357917800833642,-0.00075263501232729,0.000632950006710502,-0.00100176299276286
"T+11",0.000467346915121535,-0.000282264378718991,0.000140804676599962,0.000121892477442293,0.000763422721637665,0.0010369145963805,-0.00494460508428904,-0.000766056355584442,0.000632965372153216,0.00211103308747505
"T+12",0.000467356696132072,-0.000282461270129128,0.000141019758646113,-0.000895951755339754,0.000777338923008671,0.0010333609071272,0.00363875569733801,-0.000756113256681128,0.000632965811244122,-0.000854335164258795
"T+13",0.000467353963710658,-0.000282517444562847,0.000140975386915506,1.00445065045385e-05,0.000788410105597973,0.00103065833658975,-0.0050045991964901,-0.000763479596609909,0.00063296714990612,0.00197058771591115
"T+14",0.000467353467887721,-0.000282527110331495,0.000140968548546654,-0.000796394435761129,0.000797217903118141,0.00102860303941055,0.003699169143363,-0.000758022258925487,0.000632967252221504,-0.000720541547457735
"T+15",0.00046735380022512,-0.000282525781419567,0.000140978663222742,-7.85727459909232e-05,0.000804225040479532,0.00102703999177292,-0.00506543490730758,-0.000762065318137626,0.000632967371942505,0.00184313081436071
"T+16",0.000467353795523701,-0.000282523630554912,0.000140974143490442,-0.000717515077888888,0.000809799643425269,0.00102585129850645,0.00376043007042776,-0.000759070024999271,0.000632967386498548,-0.000599121242504102
"T+17",0.000467353765109061,-0.000282522427108412,0.000140975146108969,-0.000148784278431017,0.000814234578320918,0.00102494730067061,-0.00512712402270386,-0.000761289082577999,0.000632967397466728,0.00172746120152928
"T+18",0.000467353770231362,-0.000282521942618206,0.00014097525160835,-0.000655018888511044,0.000817762838130645,0.00102425981289706,0.00382255036701341,-0.000759645097737102,0.000632967399244624,-0.000488929958289482
"T+19",0.000467353772292572,-0.000282521792866633,0.000140975049737496,-0.000204412941572416,0.000820569782894853,0.00102373698040781,-0.00518967851425558,-0.000760863040969364,0.000632967400270934,0.00162248878206971
"T+20",0.000467353771495351,-0.000282521761679174,0.000140975144407037,-0.000605503098929219,0.000822802877772841,0.00102333936779224,0.00388554208837293,-0.000759960729901914,0.000632967400472951,-0.000388929228415645
"T+21",0.000467353771424944,-0.000282521761739753,0.000140975121967135,-0.000248487583662582,0.000824579440246631,0.00102303698453315,-0.00525311052147691,-0.000760629205444057,0.000632967400570707,0.00152722427328937
