"","CAT","VZ","MCD","AXP","UNH","RTX","NKE","MMM","DD","TRV"
"T+1",4.69290485590706e-05,0.00116411549266915,0.000988611121372057,0.00172224722693951,0.00120483873283297,0.00131171438282374,0.00180725698880768,0.00110935057606091,0.000782444238332453,0.00145829875326749
"T+2",8.07673438837865e-05,0.00077426317186386,0.000248569713211293,0.00175958322188047,0.00151877619501039,0.00185529774084044,0.00270928896682264,0.0019687760784542,0.00168805483192821,0.00143328230300096
"T+3",0.000138961621083281,0.000513302338924056,0.00057653179021648,0.00176122292162495,0.00121580864487787,0.0013568823991808,0.00242016378905363,0.00196708987857013,0.00116763632150037,0.00101183006953197
"T+4",0.000105128844772101,0.000693767670598229,0.00062511110450553,0.00176204553526014,0.00151005975886733,0.00138552199810191,0.00205188965001749,0.00189260746389542,0.00130682750481786,0.00122099829110717
"T+5",0.000131898376695471,0.000604268564190903,0.000582830412019859,0.00176227317026643,0.00122422863062614,0.00141203678069192,0.00187743243984372,0.00188514706467482,0.00129248729425155,0.00116188592726065
"T+6",0.000111831026214985,0.000645258052453739,0.000581862177504773,0.00176234015584302,0.00150188181925234,0.00140704380149246,0.00184217985930596,0.00189082532482031,0.00128692443485869,0.00116931289183866
"T+7",0.000127002515159746,0.000626941009596065,0.000586746396706103,0.00176235971123845,0.00123217256359137,0.0014060606989687,0.00185555236183507,0.00189205025608815,0.00129038844570397,0.00117176223804057
"T+8",0.000115548045236177,0.000635060185411201,0.000586333202712467,0.00176236542588186,0.00149416517073678,0.00140648278269377,0.00187126051229011,0.00189168437621401,0.00128942369982739,0.00116979644606528
"T+9",0.000124198049249339,0.00063147115104174,0.000585825169073193,0.00176236709565012,0.0012396684311462,0.00140649004035775,0.00187848856865967,0.00189154109863273,0.00128953486211126,0.00117050771424383
"T+10",0.000117666104436432,0.000633056183479887,0.000585926253973895,0.00176236758354953,0.00148688376736517,0.00140646370406194,0.00187985696138957,0.00189155810282574,0.00128956858610718,0.00117036158151218
"T+11",0.000122598650179795,0.000632356405084058,0.000585972879168961,0.00176236772611144,0.00124674150636732,0.00140646651125489,0.00187924442147511,0.00189157222780072,0.00128954559291101,0.0011703599367921
"T+12",0.000118873881132032,0.000632665317774531,0.000585956460209445,0.00176236776776737,0.00148001305982013,0.00140646775289045,0.00187857537378227,0.00189157219998568,0.00128955225997224,0.0011703757981065
"T+13",0.000121686608505489,0.000632528955301197,0.000585952945405113,0.00176236777993904,0.0012534156361756,0.0014064674307088,0.001878276317806,0.00189157097582934,0.00128955141397634,0.00117036819252089
"T+14",0.000119562601621853,0.000632589148648197,0.000585955177995741,0.00176236778349555,0.0014735298834652,0.00140646739555935,0.00187822362151225,0.00189157085322267,0.00128955121286162,0.0011703702866031
"T+15",0.00012116652715716,0.000632562578116915,0.000585955336494473,0.00176236778453474,0.00125971332244431,0.0014064674193101,0.00187825145244356,0.00189157094654865,0.00128955136504422,0.0011703700436619
"T+16",0.000119955336580927,0.000632574306856484,0.000585955067097943,0.00176236778483839,0.00146741238022792,0.0014064674185027,0.00187827990918759,0.00189157096668035,0.00128955131910025,0.00117036994700934
"T+17",0.00012086995672993,0.000632569129569621,0.000585955078005452,0.00176236778492711,0.00126565579786484,0.00140646741717054,0.00187829226479726,0.00189157096066679,0.00128955132544582,0.00117037001941592
"T+18",0.000120179289188946,0.000632571414921298,0.000585955107298427,0.00176236778495304,0.00146163992490522,0.00140646741738333,0.00187829427503229,0.00189157095831199,0.00128955132662,0.00117036999388054
"T+19",0.000120700840843685,0.000632570406124196,0.00058595510293043,0.00176236778496061,0.00127126309753284,0.00140646741743741,0.00187829301925827,0.00189157095859148,0.00128955132561581,0.00117036999893811
"T+20",0.000120306995596269,0.000632570851426153,0.000585955100085751,0.00176236778496283,0.00145619305562534,0.00140646741741792,0.00187829181053969,0.00189157095882363,0.00128955132593155,0.00117036999908969
"T+21",0.000120604404448302,0.000632570654861521,0.000585955100884048,0.00176236778496348,0.00127655412649663,0.00140646741741706,0.00187829130081383,0.00189157095882317,0.00128955132588452,0.00117036999849434
