"","KO","MRK","IBM","UNH","RTX","DD","CAT","AXP","MMM","TRV"
"T+1",7.98063757807171e-05,0.00424973958818627,0.000211495249639079,0.0012149695573291,-0.00059255048180826,-0.000950355260030323,0.000494163396859273,0.000745217120670134,-0.000988743029340463,0.000445235434026224
"T+2",-0.000382374230810387,-3.11242770434166e-05,-0.000206915468080468,-0.000171717069778416,-7.50227303446389e-05,0.00174278064303293,-6.52504051687883e-05,-0.000786533013418769,0.00142914653795746,0.000215511737752196
"T+3",0.000392527965741864,0.000432566819160738,4.9352771844278e-05,0.000722866261723138,-7.3940418552724e-05,0.000560958227495978,0.000500284154461799,-0.000450697040900443,0.000677658844178318,0.000988647365540935
"T+4",0.000406515792823311,0.00120218374269301,0.000280080557864197,0.000840416650679874,-3.53625322080805e-05,0.00129912646729171,0.000913442525418397,-0.000381600155340058,0.000987876148317935,0.000323453740662031
"T+5",0.000320023282431952,0.00115698411326717,0.000409876658907184,0.000766719423330219,-3.06979301058479e-06,0.000914957654076669,0.0011512042365574,-0.000392671488556702,0.000891848799668128,0.000836395330745675
"T+6",0.000322626176745981,0.00102039827021333,0.000472235225581037,0.00075676117059341,2.67041575363093e-05,0.00113381258344495,0.0012822610819029,-0.000395671909028281,0.000931651921519865,0.000447979074103565
"T+7",0.00033208033878531,0.00102193841700852,0.000499861638077318,0.000762831624046208,5.39172915333306e-05,0.00101472154414001,0.00135384172514099,-0.000395327570907836,0.000919382084904931,0.000741147742995334
"T+8",0.000331338220873066,0.00104587693728235,0.000511502974876356,0.000763674703408913,7.88086911839888e-05,0.00108103283933161,0.00139285897790715,-0.000395201180292682,0.000924489372840312,0.000519999857263763
"T+9",0.000330326790231418,0.00104672213555944,0.000516242293072259,0.00076317474929788,0.000101574939425932,0.0010445356382952,0.0014141170696069,-0.000395210944857527,0.000922921710853312,0.000686802072356484
"T+10",0.000330457533916612,0.00104257849393995,0.000518123171584356,0.00076310341604784,0.000122397594531374,0.00106474090478817,0.0014256981479367,-0.00039521613352678,0.000923577080286676,0.00056099285694302
"T+11",0.000330563274328398,0.00104223792148838,0.00051885494627604,0.000763144585733035,0.000141442574835298,0.00105358784943636,0.00143200720161874,-0.000395215902474502,0.000923376801535569,0.000655883103264174
"T+12",0.000330543718313357,0.00104294612247152,0.000519135094991231,0.000763150617783601,0.000158861645010759,0.00105975330553115,0.00143544418427985,-0.000395215694317796,0.000923460903319135,0.000584313201962949
"T+13",0.000330532946262573,0.0010430385999093,0.000519240903912194,0.000763147228072531,0.00017479361237378,0.00105634755141412,0.00143731654703308,-0.000395215697345472,0.000923435318339522,0.000638293989040219
"T+14",0.000330535629216939,0.00104291915457724,0.000519280403031367,0.000763146718274961,0.000189365434037223,0.0010582295708362,0.00143833655259921,-0.000395215705517871,0.000923446111483724,0.000597579592909504
"T+15",0.000330536693435295,0.00104289743509633,0.00051929499713361,0.000763146997326785,0.000202693228511492,0.00105718976323392,0.00143889222018992,-0.000395215705633767,0.000923442843334003,0.000628287964086742
"T+16",0.000330536345208383,0.00104291729578715,0.000519300339493374,0.000763147040389371,0.000214883201024978,0.00105776430699966,0.00143919493076133,-0.00039521570531962,0.000923444228542277,0.000605126523679191
"T+17",0.000330536244061933,0.00104292201552154,0.000519302278518598,0.000763147017420302,0.000226032489841399,0.00105744685908147,0.00143935983814721,-0.000395215705306142,0.000923443811111608,0.000622595777212355
"T+18",0.000330536287483854,0.00104291876479134,0.00051930297670512,0.00076314701378466,0.000236229940325758,0.00105762226017705,0.00143944967460643,-0.00039521570531796,0.000923443988901508,0.000609419791020254
"T+19",0.000330536296601441,0.00104291778875204,0.000519303226205969,0.00076314701567499,0.000245556812926618,0.00105752534610125,0.00143949861473946,-0.000395215705318821,0.000923443935588751,0.000619357629051177
"T+20",0.000330536291354741,0.00104291831134634,0.000519303314718223,0.000763147015981785,0.000254087430716436,0.00105757889420105,0.00143952527581496,-0.000395215705318387,0.000923443958409222,0.000611862127516119
"T+21",0.000330536290596828,0.00104291850622454,0.000519303345895232,0.000763147015826237,0.000261889771650016,0.00105754930726886,0.00143953979994684,-0.000395215705318341,0.000923443951600885,0.000617515524470993
