"","MCD","BA","HPQ","UNH","AXP","RTX","MMM","DD","AA","TRV"
"T+1",-0.00070082815784098,-0.00177383455925006,0.00230784828357341,0.00210665963998959,-0.000249678596769492,0.000521370910785614,0.000862083522965271,0.000357279615637114,-0.00294002207442011,0.00177118721309105
"T+2",0.00135010651619637,0.000265401577454282,0.0018550549960186,0.000825417541139476,0.000491216101680041,0.00129776238431073,0.00159236126659934,0.000177697344632891,0.00191644650429051,0.00171683553478118
"T+3",0.000597270194785267,0.00101972048604448,0.00164338018438733,0.000870761780393575,0.00070839649840494,0.00124087969888075,0.00141132667274255,0.000235464234111273,-0.00233644860962486,0.00163637225430117
"T+4",0.000546572469590263,0.00128306673660994,0.00146723045358784,0.000809922221878387,0.000817401078285296,0.00113050802851661,0.00122425446296288,0.000244764459339364,0.00114527938600028,0.00156551017224183
"T+5",0.000612602445712471,0.00137027694931596,0.00133384183884809,0.000778699124293681,0.000883921004289157,0.00105817457112261,0.0011044271537932,0.000247658701736057,-0.00169656801766578,0.00150325436200804
"T+6",0.000606979794798933,0.00139764652917515,0.00123156625164386,0.000757004077661543,0.000926311163845413,0.00101740084048598,0.00103325781311435,0.000248419553896007,0.000622675518434361,0.00144856037452684
"T+7",0.000602648443373409,0.00140572697260038,0.00115328034696222,0.000742674599790617,0.000953549262329282,0.000995334935760758,0.000991672784913417,0.000248626812273602,-0.00127005664274587,0.0014005097267872
"T+8",0.000603714731818587,0.00140793162642181,0.00109334317590829,0.000733137742664355,0.000971078223772977,0.000983541043985475,0.000967464742339279,0.000248682826095284,0.00027459958272368,0.0013582954934989
"T+9",0.0006038977238521,0.00140846475362295,0.00104745559917698,0.000726797952858617,0.000982362111254165,0.000977262150454133,0.000953384597355967,0.000248697990704396,-0.000985992312358532,0.001321208761562
"T+10",0.00060378807980909,0.00140856571026942,0.00101232416447228,0.000722582720771132,0.000989626247855828,0.000973923563463887,0.000945196792208483,0.000248702094649179,4.27750591307019e-05,0.00128862672515817
"T+11",0.000603789714900804,0.00140857192688641,0.000985427625932887,0.000719780151403021,0.000994302667100393,0.00097214910016564,0.000940435688425953,0.000248703205378553,-0.000796800626496321,0.00126000222683282
"T+12",0.000603798023885632,0.00140856470896562,0.000964835701643458,0.000717916807387484,0.000997313201859783,0.000971206092825669,0.000937667197522567,0.000248703505991018,-0.000111624024448056,0.00123485456895709
"T+13",0.000603796691653197,0.0014085593185336,0.000949070574816175,0.000716677926818207,0.000999251292100354,0.00097070496900167,0.000936057376989687,0.000248703587350369,-0.000670795739436161,0.00121276144126463
"T+14",0.000603796237190801,0.00140855661611626,0.000937000832291925,0.000715854232857494,0.00100049897542139,0.000970438670194802,0.000935121299998144,0.000248703609369875,-0.000214456445438039,0.00119335182890043
"T+15",0.000603796406926215,0.00140855545897132,0.000927760266949956,0.000715306583836434,0.00100130219585677,0.000970297158762784,0.000934576990867131,0.000248703615329347,-0.000586874337232037,0.00117629978188506
"T+16",0.00060379641773741,0.00140855500748421,0.000920685712735561,0.000714942468685365,0.00100181928465507,0.000970221959560821,0.000934260486537407,0.000248703616942249,-0.000282944590325656,0.00116131894136344
"T+17",0.000603796402939989,0.00140855484278747,0.000915269451340287,0.000714700379613544,0.00100215217063961,0.00097018199870827,0.000934076445917301,0.000248703617378773,-0.000530981253144404,0.0011481577307163
"T+18",0.000603796404242922,0.00140855478598546,0.000911122774869526,0.000714539421964497,0.00100236647247533,0.000970160763516041,0.000933969430162347,0.000248703617496916,-0.000328558862021195,0.00113659513077751
"T+19",0.000603796405207366,0.0014085547673974,0.000907948089510329,0.000714432406126932,0.00100250443345575,0.000970149479137966,0.000933907202748653,0.00024870361752889,-0.000493755506591355,0.00112643696820958
"T+20",0.000603796404965968,0.00140855476163882,0.000905517558167706,0.000714361254556579,0.00100259324852378,0.000970143482621179,0.000933871018814649,0.000248703617537544,-0.000358938744345773,0.00111751265470717
"T+21",0.000603796404925798,0.00140855475996535,0.000903656749319246,0.000714313948044957,0.00100265042495355,0.000970140296073089,0.000933849978617053,0.000248703617539886,-0.000468962524972035,0.00110967232226944
