"","MCD","DIS","VZ","T","BA","RTX","MMM","DD","MDLZ","TRV"
"T+1",0.00385049785107977,0.00307739909841624,-0.00160946384608203,0.000803911611381185,0.00681264187279396,-0.000631638667446124,0.000607271565667285,-0.00230541992750955,0.0003652523852657,0.00287021910369631
"T+2",0.00269965375740629,0.00337426600940007,-0.000692365287177624,0.000433098103066227,0.00686394861468506,0.00138372680404189,0.00146568087250715,-0.000306306031310822,-0.000439210947811897,0.00166608028878454
"T+3",0.00271876369403895,0.00102202860199353,1.66803817929785e-05,0.000188797540446311,0.00586516997083096,0.00145725486236205,0.00103017657300233,0.00122062575770904,0.000536458802922447,0.00136343460780604
"T+4",0.00264285788628969,0.00215179641318998,-0.00028419741849723,0.000239149958440199,0.00500390783431185,0.00159012771754609,0.00116497455234457,0.00152389348283602,0.000284894232850019,0.00115000733740322
"T+5",0.00257785653837028,0.00178234944121902,-9.09463593940248e-05,0.000237023522628111,0.00435644285929995,0.00159849884206209,0.00111613236095437,0.00167899570791224,0.000388347792613763,0.00101670234953186
"T+6",0.00251476417698729,0.00187490508757102,-0.000205842145365242,0.000236083304203909,0.00387978237053793,0.00160735449370542,0.00113286532518176,0.00171821433406583,0.000353321741261172,0.000932673057748746
"T+7",0.00245422320598008,0.00185848987878009,-0.000136673964522973,0.000236295083084852,0.00353009128078638,0.0016081378020677,0.00112702115666411,0.00173471539327105,0.000366098772921937,0.000879743594779277
"T+8",0.00239607251254381,0.00185928261942041,-0.000178227604035453,0.000236283893577363,0.00327370016597322,0.00160873410961625,0.00112904864053363,0.00173947172257361,0.000361574133966487,0.000846401763049725
"T+9",0.00234022258505804,0.00186018052069622,-0.000153255195732471,0.000236280314269734,0.00308573484005861,0.00160880111790684,0.00112834361800796,0.00174127902679139,0.000363195174022575,0.000825398855285277
"T+10",0.00228658198489817,0.0018596782534457,-0.000168261965015108,0.000236281200100563,0.00294793614566327,0.00160884165711304,0.00112858857933085,0.0017418386658193,0.000362617066212847,0.000812168559507168
"T+11",0.00223506334902432,0.00185985408756157,-0.000159243802684809,0.000236281144203566,0.00284691525231354,0.00160884710594007,0.00112850344320236,0.00174204004521904,0.000362823608623641,0.000803834441047439
"T+12",0.00218558273195453,0.00185980725979489,-0.000164663165402942,0.000236281130751124,0.002772856380319,0.00160884988612361,0.00112853302931955,0.00174210489383919,0.000362749869119853,0.000798584556099644
"T+13",0.00213805951221643,0.00185981643365101,-0.000161406459800462,0.000236281134436559,0.0027185634921786,0.00160885031522615,0.00112852274734004,0.00174212755348042,0.000362776202891546,0.000795277512638091
"T+14",0.002092416257362,0.00185981560673776,-0.000163363540638959,0.000236281134166981,0.00267876113519728,0.00160885050739136,0.00112852632056531,0.00174213500797285,0.000362766799643244,0.000793194317184188
"T+15",0.00204857859810599,0.00185981529310622,-0.000162187454770993,0.000236281134117198,0.002649581850917,0.00160885054045906,0.00112852507878197,0.0017421375716596,0.000362770157496074,0.000791882056444464
"T+16",0.0020064751071262,0.0018598155116508,-0.000162894210434848,0.00023628113413245,0.00262819038831693,0.00160885055383369,0.0011285255103315,0.00174213842492607,0.000362768958444234,0.000791055428176917
"T+17",0.00196603718268475,0.00185981542910321,-0.000162469493514007,0.000236281134131183,0.00261250821229976,0.00160885055634315,0.00112852536035761,0.00174213871585436,0.000362769386615183,0.000790534712840382
"T+18",0.00192719893685098,0.00185981545243912,-0.000162724722402954,0.000236281134131002,0.00260101153957436,0.00160885055727965,0.00112852541247715,0.00174213881329865,0.000362769233719481,0.000790206700271313
"T+19",0.00188989708814635,0.0018598154474696,-0.000162571345453374,0.000236281134131065,0.00259258327785801,0.00160885055746797,0.00112852539436435,0.00174213884636789,0.000362769288317114,0.00079000007634857
"T+20",0.00185407085843611,0.00185981544807671,-0.000162663515617808,0.000236281134131059,0.00258640448184841,0.00160885055753388,0.00112852540065899,0.0017421388574824,0.000362769268820815,0.000789869918392822
"T+21",0.00181966187389989,0.00185981544816858,-0.00016260812698715,0.000236281134131059,0.00258187477911575,0.0016088505575479,0.00112852539847145,0.0017421388612447,0.00036276927578276,0.000789787928402411
