"","MCD","DIS","CAT","T","RTX","VZ","MMM","DD","MDLZ"
"T+1",0.00433988096377592,0.00800012411602113,0.00130867677846431,0.00694448391121015,-0.00395163577128518,-0.00136488915079175,0.0017086166526483,0.0102581729814302,0.000888337170456006
"T+2",-0.000807862671887661,-0.00743568794377519,-0.000717251552989068,-0.000655672541726488,0.00322193939531212,-0.00108454220416301,-0.0049188990233366,-0.0041632997585927,-0.00336156792730324
"T+3",2.41279454995636e-05,-0.000112020551935787,-0.000980545874158167,-0.00193001699072411,0.0020905244722998,-0.00104077760239815,-0.00164399870909326,-0.00192802867557268,0.000388115692801671
"T+4",0.000750977461870941,0.000523094488195433,-0.000961216877431191,-0.00139588114046943,0.00197537133201184,-0.00100699576694985,-0.000685682702216294,-0.000128630122544736,0.000109865943993662
"T+5",0.000847951431526565,-0.000754277789361327,-0.000954831005872417,-0.00118889100623434,0.00175669273945169,-0.000981515050544291,-0.00106408707875333,-0.000439750828668862,-0.000244155649872675
"T+6",0.000798715055536825,-0.000548616845261275,-0.000954735171597746,-0.00120798967393649,0.0015674870917154,-0.000962292981046224,-0.00119914359771681,-0.00066378188913833,-0.000143754520084021
"T+7",0.000776666056211827,-0.000400969878419549,-0.000954849204899305,-0.00123098600563295,0.001390547007533,-0.000947792303753583,-0.00115631836652813,-0.000620874663988491,-0.000124997181601964
"T+8",0.000776147112974195,-0.000467668914316063,-0.000954859269899413,-0.00123275204140799,0.00122677799485535,-0.000936853333678811,-0.00113767253445466,-0.000593044696958216,-0.000139661777168994
"T+9",0.000778243914667716,-0.000474540326099064,-0.00095485783793123,-0.00123080769805505,0.00107499744652021,-0.00092860123180259,-0.00114239510176669,-0.000598916064834525,-0.000138806649258471
"T+10",0.000778818363099685,-0.000462648683211023,-0.000954857543677499,-0.0012303317586722,0.000934352050324034,-0.000922376040133715,-0.00114492540208391,-0.000602365078799878,-0.000137375994754845
"T+11",0.000778749700671833,-0.000464415784880727,-0.000954857549515494,-0.00123044486341472,0.000804021979322449,-0.000917679901877607,-0.00114442212551311,-0.000601567042182119,-0.000137752348997423
"T+12",0.0007786746104892,-0.000465825324616181,-0.00095485755551183,-0.00123050860475425,0.00068325102835183,-0.000914137245571817,-0.00114408383580014,-0.00060114065707523,-0.000137833963588141
"T+13",0.000778662846663729,-0.000465218761775293,-0.000954857555835041,-0.00123050768715295,0.000571338037346772,-0.000911464748933835,-0.0011441349348014,-0.000601248489520484,-0.000137776756978814
"T+14",0.00077866749863184,-0.000465145992385365,-0.000954857555744836,-0.00123050138503422,0.000467633323196379,-0.000909448680293941,-0.00114417956493857,-0.000601301063705789,-0.000137779171826698
"T+15",0.000778669844513079,-0.000465256576784618,-0.000954857555732188,-0.00123050048405155,0.000371534847872081,-0.000907927805504802,-0.00114417475639129,-0.000601286568827509,-0.000137784935038744
"T+16",0.000778669958935649,-0.000465241508284057,-0.000954857555732981,-0.00123050095141407,0.00028248473064451,-0.000906780493315888,-0.00114416893976137,-0.000601280104321493,-0.000137783531303753
"T+17",0.000778669750590543,-0.00046522807648123,-0.000954857555733278,-0.00123050111184834,0.000199966008549091,-0.000905914987971049,-0.00114416933255993,-0.000601282043681175,-0.000137783180298377
"T+18",0.000778669687165419,-0.000465233584191719,-0.000954857555733285,-0.00123050109188988,0.00012349963536323,-0.000905262071084797,-0.00114417008200299,-0.000601282836196352,-0.000137783402888502
"T+19",0.00077866969240792,-0.000465234342306748,-0.00095485755573328,-0.00123050107325627,5.26417005851262e-05,-0.000904769525934272,-0.00114417006004413,-0.000601282577804679,-0.000137783397140978
"T+20",0.000778669700116415,-0.000465233315058369,-0.000954857555733279,-0.00123050107225839,-1.30191475999067e-05,-0.000904397961451237,-0.00114416996454012,-0.000601282480956257,-0.0001377833739945
"T+21",0.000778669701506391,-0.000465233442398714,-0.000954857555733279,-0.00123050107390188,-7.38640903417368e-05,-0.0009041176619398,-0.00114416996378834,-0.00060128251525194,-0.000137783379201197
