"","AXP","VZ","T","HD","BA","RTX","MMM","DD","TRV","MDLZ"
"1",0.00376858908509127,0.00212249535705743,0.000845266969130237,0.00150187764383651,0.00148838959365647,0.00101398471121037,0.000983869275207823,0.00188914355499474,-0.000199772769765777,0.000374268177853222
"2",0.00297104485262185,0.00144927509518082,0.000530910925018362,-0.000392770344076043,0.000166489034097222,-0.000326090360372767,0.00086972728474041,0.00177184266912611,0.00247304034830857,0.00134366244155145
"3",0.00194110761281555,0.00172101339887234,0.000924502066964592,0.00251510685493506,0.00107480446603278,0.00197440049419931,0.000852582911186555,0.00175288920259954,-0.000635967568923874,0.000889485423662743
"4",0.00156996089194401,0.0014841859888201,0.00120248553987899,-0.000342977364394051,0.000464678141399011,0.00145928021518644,0.000837501180447561,0.00173829729764128,0.00195207490203864,0.0011471032456983
"5",0.00138523711711859,0.00168314908289852,0.00130843381761692,0.00229480475361307,0.000874482761394645,0.00140127715343036,0.000823820534338204,0.00172548965217746,-5.61256419579235e-05,0.000999957536649736
"6",0.00130301013813305,0.00151579494784225,0.00133002495827341,-0.000111084708900632,0.000599228616486499,0.00146183088871588,0.000811408479661428,0.00171420301438544,0.0014731111598565,0.00108402314189017
"7",0.00126506837610913,0.00165655612480674,0.00132718703480256,0.00207822497434561,0.000784109021831076,0.00145024147619338,0.000800147368543228,0.00170425562014277,0.000314789826501289,0.00103599538304384
"8",0.00124776763604741,0.00153816206449186,0.00132234544950854,8.69099402056653e-05,0.000659930095145912,0.00144817425557829,0.000789930476353644,0.00169548852989366,0.00119081776952426,0.00106343426455088
"9",0.00123984807725101,0.00163774316484572,0.00131991036542209,0.00189797221602643,0.00074333755957644,0.00144974577705682,0.000780660974887739,0.00168776169444144,0.000528578975318577,0.00104775807556299
"10",0.00123622746143146,0.00155398562214335,0.00131918691592786,0.000250875892625147,0.000687315130421712,0.00144949369396709,0.000772251014614883,0.00168095168284527,0.00102913842508619,0.00105671408571176
"11",0.00123457151607714,0.00162443398969764,0.00131911831556892,0.00174884572125398,0.000724943807780807,0.00144942668372355,0.000764620892104934,0.00167494970982148,0.000650799855750469,0.0010515974009201
"12",0.00123381424777909,0.00156517995321393,0.00131918412619858,0.000386501580281273,0.00069966969201756,0.00144946691540578,0.000757698294657626,0.00166965989795117,0.000936756974242971,0.00105452062932453
"13",0.00123346793128609,0.00161501845141485,0.00131923296132623,0.0016254993649967,0.000716645599023752,0.00144946168279957,0.000751417614975879,0.00166499774610338,0.000720624582730185,0.00105285055101164
"14",0.0012333095550083,0.00157309935104088,0.00131925206343873,0.000498680214178785,0.000705243363575344,0.00144945963231321,0.000745719329387998,0.00166088877958723,0.000883981833424613,0.00105380468841909
"15",0.00123323712655627,0.00160835745551022,0.00131925614481513,0.0015234773585745,0.00071290192185877,0.00144946064839146,0.000740549433725999,0.00165726736046959,0.0007605131380167,0.0010532595773394
"16",0.0012332040037152,0.00157870190661532,0.00131925574421562,0.000591465167213937,0.000707757885389253,0.00144946054726953,0.000735858931513757,0.00165407563905401,0.000853833254103572,0.0010535710063714
"17",0.00123318885603296,0.00160364515281344,0.00131925490902935,0.00143909313866967,0.000711212988846125,0.00144946048696832,0.000731603369614361,0.00165126262977123,0.000783300040417295,0.00105339308292499
"18",0.00123318192872146,0.00158266541869673,0.00131925447591128,0.000668209254721012,0.000708892293810537,0.00144946051227748,0.00072774241693592,0.00164878339671964,0.00083661045632932,0.00105349473289827
"19",0.00123317876073533,0.00160031144761021,0.00131925434342206,0.00136929744734655,0.000710451038871409,0.00144946051055818,0.000724239482203077,0.0016465983358449,0.000796317376076828,0.00105343665894975
"20",0.00123317731195741,0.0015854693940988,0.0013192543289749,0.000731685656423633,0.000709404074006343,0.00144946050883677,0.000721061367171759,0.00164467254229222,0.000826771693260463,0.00105346983734998
"21",0.00123317664940481,0.00159795302730123,0.00131925433991746,0.00131156818789416,0.000710107290623478,0.00144946050945811,0.000718177952000592,0.00164297525282518,0.000803753710292474,0.00105345088209948
