"","WMT","CAT","MCD","UNH","AXP","RTX","DD","MMM","NKE","TRV"
"T+1",0.000543198176064846,-0.000167978194704336,-0.000823905632830881,-0.000439203327095076,0.000769425658919463,0.00241538060995848,0.000254690219544607,0.00222882909683054,0.000896608242411746,-0.000414984186180381
"T+2",1.88207138083829e-05,-2.10437309184705e-05,0.000305976905296112,0.00170719378100466,0.00114832069660088,0.00201021251473722,-0.00330975516438632,0.000826448263326938,0.000148687624084181,0.000798280116308278
"T+3",0.000266027864938767,0.000116486336442893,0.000211860490672367,0.000312306841072955,0.000871902627538535,0.0019144220966525,-0.000324245675857498,0.000957016060227323,0.000344533878065085,0.00053295768844184
"T+4",0.000162183216850371,0.000235019299737521,0.000115008153370905,0.00142303974511441,0.000998207615303727,0.00184897885738303,0.00173715365475698,0.00114750424948983,0.000524994399424656,0.000486767581173626
"T+5",0.000205128637232427,0.000337086144998808,0.000128792409233879,0.000558354051956146,0.000942470910013357,0.00179061263759151,0.00211380478088368,0.00122775588317693,0.000598291381869587,0.000504951221924384
"T+6",0.000187408848595192,0.000424973355266634,0.000136782329624327,0.00123305961646007,0.000966984007703854,0.0017370502039002,0.00189131554086864,0.00124926215288198,0.000617459242950611,0.000506082847999345
"T+7",0.00019471778323604,0.000500650826962145,0.000135101771936746,0.000706720016403061,0.0009562066946026,0.00168776863320652,0.00171635955098845,0.0012523734782923,0.000619729030974581,0.000504994400611837
"T+8",0.000191703194737076,0.000565814799021079,0.0001344723093117,0.00111732912738194,0.000960944841183814,0.00164241530122874,0.00167845455096015,0.00125192489811069,0.000618895822915739,0.00050501654382182
"T+9",0.000192946560228675,0.000621925860335526,0.000134658380621868,0.000797004741444748,0.000958861765414224,0.00160067622794773,0.00169460027382895,0.00125142544490817,0.00061822391148838,0.000505074725717407
"T+10",0.000192433735320726,0.000670241687353953,0.000134705040168763,0.00104689627264412,0.00095977756723377,0.00156226331849413,0.0017093281886039,0.00125122467554039,0.000617961931938046,0.000505068994615084
"T+11",0.000192645249429706,0.000711845233709858,0.000134685696156207,0.00085195084109966,0.000959374944843308,0.00152691150692213,0.0017130155415862,0.00125117295184957,0.000617896248730014,0.00050506623725408
"T+12",0.000192558010653769,0.000747669003604715,0.00013468254059827,0.0010040317107696,0.000959551953433298,0.00149437685600944,0.00171188527969353,0.00125116617365757,0.000617889606564697,0.000505066766505075
"T+13",0.000192593992196736,0.000778515953009007,0.00013468445904084,0.000885390351854245,0.000959474133516516,0.00146443486819286,0.00171065559349605,0.00125116759327037,0.000617893052583818,0.000505066877199722
"T+14",0.000192579151646537,0.000805077487161992,0.000134684639128474,0.000977944872855197,0.000959508346203302,0.00143687893599867,0.00171030586828018,0.00125116889525372,0.000617895543058406,0.000505066839488701
"T+15",0.000192585272616124,0.000827948957767187,0.000134684456121991,0.00090574122114382,0.00095949330496469,0.00141151891635835,0.00171038094132736,0.00125116939589741,0.000617896476517304,0.00050506683632179
"T+16",0.000192582748028546,0.000847643007238555,0.000134684449859,0.000962068748573905,0.00095949991768296,0.00138817981856897,0.00171048275909862,0.00125116951974297,0.000617896700425697,0.00050506683864272
"T+17",0.000192583789292082,0.000864601059096075,0.000134684466720509,0.000918126506440922,0.00095949701047272,0.00136670059681173,0.00171051527379868,0.00125116953416276,0.000617896718824221,0.000505066838636993
"T+18",0.000192583359824013,0.000879203212057074,0.000134684466365132,0.000952406737293775,0.000959498288596335,0.0013469330388941,0.00171051069790407,0.00125116952988862,0.000617896704869318,0.000505066838509712
"T+19",0.000192583536957674,0.000891776759590001,0.000134684464862493,0.000925664036642121,0.000959497726683078,0.00132874074354732,0.00171050233992518,0.00125116952651241,0.00061789669567698,0.000505066838519899
"T+20",0.000192583463899079,0.00090260352588844,0.000134684464976623,0.000946526557703133,0.000959497973722179,0.00131199817922229,0.00171049936596038,0.00125116952526802,0.000617896692361412,0.000505066838526113
"T+21",0.000192583494032021,0.000911926182694249,0.00013468446510603,0.000930251283538022,0.000959497865114103,0.00129658981788941,0.00171049960101066,0.0012511695249729,0.000617896691602502,0.000505066838525071
