"","WMT","MCD","CAT","DD","UNH","RTX","AXP","MMM","NKE","TRV"
"T+1",-0.00227975458054189,0.00182871735944707,0.00401185311077777,0.0050782744961195,0.000130465550704551,0.00125562719635776,-0.000400160240022706,0.00128888780984004,-0.00139382831049245,-0.000869826738141809
"T+2",-0.00196579957895928,3.88971417417125e-06,0.00184284088350908,0.00997462926404786,-0.000784025698527936,0.00288701714546553,-0.000696620841594852,0.00301654682683204,0.00268422082058393,-0.00115768304785607
"T+3",-0.00104141862468651,-0.00026053573510777,-0.00015346194739915,0.0048501602498525,0.00160058480493673,0.00286712733570573,0.000420942262612937,0.00302454636630053,0.00180464680948621,-0.000929445231146792
"T+4",-0.000636540873789541,8.81714738404525e-05,0.00130071085532794,0.00121786891198481,-0.000642904503131703,0.00262755315163369,0.000556187307433716,0.00289072515787117,0.00101929535312375,-0.000752737699934508
"T+5",-0.00041430801569447,-0.000125816906406104,0.000639411072095431,0.000640316463835346,0.0015690416308746,0.00237940525213845,0.00061405974840393,0.00275377306642552,0.000733799426315922,-0.000601451036634739
"T+6",-0.00029817556125082,-1.16627088868417e-05,0.000879347968350559,0.0012031228197401,-0.00060465938775482,0.00215173858072439,0.000626482430010852,0.00262528619593034,0.000672830628102675,-0.000472528171206965
"T+7",-0.000236880128330284,-6.99849205281281e-05,0.000807169306059112,0.00161129475267677,0.00153193908700917,0.00194666374709054,0.000630186859542668,0.00250567829323261,0.000670641539946749,-0.000362640712109324
"T+8",-0.000204594399694366,-4.06319241343609e-05,0.000824319615077757,0.00167922742108872,-0.000568157614761416,0.00176249444673819,0.000631117540286404,0.00239441785484207,0.000675226931213129,-0.000268978936374762
"T+9",-0.000187581580111318,-5.53249563556763e-05,0.000821932375906427,0.00161745876457088,0.00149606311005698,0.00159718224533099,0.000631372353330407,0.00229092955382262,0.000677567406968887,-0.000189146971849414
"T+10",-0.000178617528669243,-4.79848039510169e-05,0.000821474204687969,0.00157160524476733,-0.000532894359067192,0.0014488087114645,0.000631439112206866,0.00219467110474524,0.000678237612925298,-0.000121102752128005
"T+11",-0.00017389428747535,-5.16490087642054e-05,0.000822018206824515,0.00156363540356103,0.00146140226954838,0.0013156400739098,0.00063145699766609,0.00210513747556852,0.000678335048034417,-6.31057346597459e-05
"T+12",-0.000171405577341097,-4.98203334539796e-05,0.000821738696550861,0.00157040969535636,-0.000498825631753538,0.00119611845384888,0.000631461735104082,0.00202185886107207,0.000678318871703702,-1.36723801607232e-05
"T+13",-0.000170094256885475,-5.0732869284948e-05,0.000821847969912712,0.00157555925508242,0.00142791554104847,0.00108884535680512,0.000631462997230513,0.00194439827272433,0.000678302365096003,2.84617957624981e-05
"T+14",-0.000169403312187794,-5.02775173800357e-05,0.000821812687323556,0.00157649208718399,-0.000465910959685849,0.000992565565681411,0.000631463332490015,0.00187234925053285,0.000678296152023427,6.43745675887342e-05
"T+15",-0.000169039248172484,-5.05047331339814e-05,0.0008218219625072,0.00157574969604459,0.00139556315293102,0.000906152491614286,0.000631463421678996,0.00180533373065093,0.000678294771445482,9.49845688996296e-05
"T+16",-0.000168847420075645,-5.03913554653925e-05,0.000821820253827744,0.00157517155191596,-0.000434111249977148,0.000828594997259956,0.000631463445387792,0.00174300006159591,0.000678294698729679,0.000121074790639866
"T+17",-0.000168746344393241,-5.04479293228026e-05,0.000821820259755357,0.00157506260221819,0.00136430668018205,0.000758985566121364,0.00063146345169267,0.00168502115902671,0.000678294791763247,0.000143312609695836
"T+18",-0.00016869308684787,-5.04196997854836e-05,0.000821820446295491,0.00157514389654894,-0.0004033887340279,0.000696509683635222,0.000631463453368993,0.00163109278942981,0.000678294841851997,0.000162266860115388
"T+19",-0.000168665025042384,-5.04337859130656e-05,0.000821820332307893,0.00157520878559262,0.00133410899940622,0.000640436306385248,0.000631463453814735,0.00158093197371054,0.000678294856664024,0.000178422383643251
"T+20",-0.000168650239063765,-5.04267571414198e-05,0.000821820380800191,0.00157522148525833,-0.000373706922624648,0.000590109308012539,0.000631463453933253,0.00153427550231284,0.000678294858967986,0.000192192431768715
"T+21",-0.000168642448219237,-5.04302643955486e-05,0.000821820364024365,0.00157521259057285,0.00130493424473819,0.000544939801743729,0.000631463453964767,0.00149087855407604,0.000678294858680724,0.000203929236524721
