"","MRK","KO","IBM","UNH","CAT","RTX","DD","AXP","MMM","TRV"
"T+1",0.000469194368042184,0.000334683409326017,0.000752732307900494,0.00175170790704103,0.000109815429463592,0.000728240442471258,0.002227218595398,-0.000927101513943748,0.0019092194925846,0.000108785337028129
"T+2",0.000890961356150781,-0.000241225241711985,0.00208838127651264,0.00136991172231896,0.00233267570091041,0.000681768755793303,-8.37318252561886e-05,0.000760009504512485,0.000106111186983159,0.000460100944397152
"T+3",0.000889697301497309,-0.000130153890575001,0.00205915057390099,0.0013369055650176,0.00268338971841621,0.00110327331362736,0.0026867029981221,0.00103148728482877,0.00115594206235566,0.000427749620689685
"T+4",0.000905186050163833,-4.12016749539995e-05,0.00184745655901053,0.00136461479681031,0.00267569362107415,0.000808368114394484,0.000232546002585445,0.00108225522352793,0.000372949917466504,0.000445435088638302
"T+5",0.000917448812333452,-1.52463453604072e-05,0.00167679532492031,0.00136182043553136,0.00260445983248525,0.000975359674611054,0.0024647769896871,0.00109815958796125,0.000995798468421997,0.000451426430097418
"T+6",0.000927802331512963,-1.21468022266333e-05,0.00156563203183879,0.00136069069003715,0.00252670277415699,0.000886485992754928,0.000439698234101278,0.00110813381206997,0.000493471437380115,0.000456264907047744
"T+7",0.000936512015312038,-1.29898694220334e-05,0.00149782569316097,0.00136104431375696,0.00245305541430229,0.000932769468486811,0.00227731734401239,0.00111670934669847,0.000899735741057838,0.000459359383596712
"T+8",0.000943840331845654,-1.3564414889403e-05,0.00145745793853572,0.00136104967291074,0.00238513938640423,0.000908859011037084,0.000609846523345439,0.00112462110453947,0.000570977651261622,0.000461437183378903
"T+9",0.000950006299193791,-1.3722118925868e-05,0.00143365384774003,0.00136102828947179,0.00232285567377046,0.000921173894859716,0.00212292706750536,0.00113201171685046,0.000837046286036452,0.000462817197449471
"T+10",0.000955194281525312,-1.37382556012658e-05,0.00141967090800317,0.00136103161030574,0.00226580444011939,0.000914838551021725,0.000749942210216964,0.00113892991439493,0.000621708192682446,0.000463735972587784
"T+11",0.000959559397043945,-1.37320800789816e-05,0.00141146991454142,0.00136103228441305,0.0022135592105716,0.0009180963035543,0.00199580282855356,0.00114540813962468,0.000795989194319782,0.000464347341351008
"T+12",0.000963232160810114,-1.37283911643487e-05,0.00140666309946157,0.00136103197768028,0.00216571768430922,0.000916421389289636,0.000865296058184191,0.00115147472246729,0.000654937069156485,0.000464754204683307
"T+13",0.000966322386858682,-1.37274389493763e-05,0.00140384643479461,0.00136103199073824,0.002121909176344,0.000917282460337724,0.00189112955779561,0.00115715587401059,0.000769095844569074,0.000465024963433281
"T+14",0.000968922471601203,-1.37273589093307e-05,0.00140219612082157,0.00136103200627948,0.0020817938025537,0.000916839795886226,0.000960277663332201,0.00116247609050401,0.000676702862345532,0.000465205148570035
"T+15",0.000971110156437858,-1.37274029905895e-05,0.00140122922636867,0.00136103200288443,0.00204506024425811,0.00091706736126747,0.00180494226997275,0.00116745830419481,0.000751479971663336,0.00046532505842295
"T+16",0.000972950852191447,-1.37274265414741e-05,0.0014006627473713,0.00136103200256117,0.00201142341057941,0.000916950374653928,0.00103848489694205,0.00117212398920555,0.00069096004956696,0.000465404856219628
"T+17",0.000974499594862473,-1.3727432252284e-05,0.00140033086408104,0.00136103200281262,0.00198062224113622,0.00091701051494723,0.00173397621983481,0.00117649325518424,0.000739941094770304,0.000465457960178976
"T+18",0.000975802691181555,-1.3727432619404e-05,0.00140013642405771,0.00136103200278864,0.00195241768290187,0.00091697959813675,0.00110288022253692,0.00118058493414918,0.000700298895866959,0.000465493299883267
"T+19",0.000976899103160495,-1.3727432310929e-05,0.00140002250787815,0.00136103200277815,0.0019265908354566,0.000916995491790135,0.00167554323743816,0.00118441666168356,0.000732382815827992,0.000465516817803792
"T+20",0.000977821613039434,-1.37274321613933e-05,0.00139995576807193,0.00136103200278132,0.00190294125217765,0.000916987321212563,0.00115590291324042,0.00118800495295077,0.000706416094794722,0.000465532468545565
"T+21",0.000978597803461544,-1.37274321273942e-05,0.00139991666738543,0.00136103200278139,0.0018812853845606,0.000916991521526629,0.00162742990120017,0.00119136527387728,0.000727431937062091,0.00046554288382517
