"","NKE","IBM","KO","MCD","CAT","DD","RTX","MMM","AXP","TRV"
"T+1",0.00127858822291787,-0.000354433911761254,0.00265654594966364,0.000708492551874709,0.00142841610378692,0.000695046247289325,0.000771777123307377,0.000679251413792544,-0.000336871462923796,0.000513569118730433
"T+2",0.00138485840232881,4.54729997684435e-05,0.00234577412097919,0.00148848674187615,0.00154494270517035,0.000731731217760777,0.000757998414352519,0.000786597655504761,-5.58214977738557e-05,0.000179772717770453
"T+3",0.000815106733853393,-0.00040200550127228,0.00201321758619098,0.00150518987699292,0.0015610077904299,0.000773544909670703,0.000822901346131319,0.000794205038004225,0.000754531771825777,0.00039616128674897
"T+4",0.00046213567379188,-0.000129515186096981,0.00173486242006953,0.00147180940174205,0.00155951636637667,0.000811751490412298,0.000762808678290859,0.000800916480810931,0.00130504449484995,0.000341814044190783
"T+5",0.000268354541158377,-0.000285028677710322,0.00150913511927244,0.00145729387668501,0.00155980715744308,0.000846623829241189,0.00081635752097493,0.000803808183365175,0.00158258901987628,0.000363164360735315
"T+6",0.000163542093584473,-0.000197149216259525,0.00132695491812849,0.0014530772010072,0.00155975975834641,0.000878452707799581,0.000768730389222879,0.000805173535433271,0.00170041007423535,0.000356558136537479
"T+7",0.000106963313036305,-0.000246730991368469,0.00118002821630072,0.00145210071096669,0.00155976775464943,0.000907503741086845,0.000811086594058491,0.000805808561950789,0.00174359974872962,0.000358865649384238
"T+8",7.64296621251754e-05,-0.00021876392163615,0.00106154649255167,0.00145191866724482,0.00155976641505443,0.000934019363789406,0.000773418162491974,0.000806104623555427,0.00175692785210318,0.000358109106211632
"T+9",5.99522747692701e-05,-0.000234538371940792,0.000966004463933322,0.00145189454506749,0.00155976663978802,0.00095822085226493,0.000806917631863152,0.000806242600074321,0.00175997727084562,0.000358365372796567
"T+10",5.10603480014885e-05,-0.000225641062949698,0.000888960895392552,0.00145189406316004,0.00155976660209686,0.000980310171116732,0.000777125724224635,0.000806306906598635,0.00176013834079926,0.000358280024235506
"T+11",4.62618742639845e-05,-0.000230659432714029,0.000826834215743463,0.00145189510966379,0.00155976660841859,0.00100047165861491,0.000803620405389438,0.000806336877555316,0.00175978165853435,0.000358308699209342
"T+12",4.36724075704786e-05,-0.000227828910486925,0.000776736275683005,0.00145189556258436,0.0015597666073583,0.00101887356502345,0.000780058029373796,0.000806350845961678,0.00175949500637165,0.000358299108742765
"T+13",4.22750178909398e-05,-0.000229425416172687,0.000736338115216713,0.00145189569389998,0.00155976660753613,0.00103566945667078,0.000801012633811125,0.000806357356141818,0.00175934032628393,0.000358302323854862
"T+14",4.15209251975267e-05,-0.000228524935558465,0.00070376169860906,0.00145189572426452,0.0015597666075063,0.00105099949748102,0.000782377185211484,0.000806360390306637,0.00175927152410298,0.000358301247328997
"T+15",4.11139837419934e-05,-0.000229032835619991,0.000677492608469828,0.00145189572991519,0.00155976660751131,0.00106499161866031,0.000798950151098218,0.000806361804423588,0.0017592451521091,0.00035830160801242
"T+16",4.08943803037513e-05,-0.00022874636363115,0.000656309643350325,0.00145189573066116,0.00155976660751047,0.00107776258629954,0.000784211402158838,0.000806362463493505,0.0017592365248852,0.000358301487207018
"T+17",4.0775872667255e-05,-0.000228907943057115,0.000639228046352739,0.00145189573067498,0.00155976660751061,0.00108941897580279,0.000797318936548441,0.000806362770662692,0.00175923430429909,0.00035830152767577
"T+18",4.07119207545694e-05,-0.000228816807058092,0.000625453725602948,0.00145189573064217,0.00155976660751058,0.00110005806127302,0.000785662081649747,0.000806362913823391,0.00175923401911393,0.000358301514120277
"T+19",4.06774095006361e-05,-0.000228868210696076,0.000614346338387049,0.00145189573062804,0.00155976660751059,0.00110976862727731,0.000796028811355754,0.000806362980545531,0.0017592341557247,0.000358301518661057
"T+20",4.06587857160138e-05,-0.000228839217389081,0.000605389522802095,0.00145189573062395,0.00155976660751059,0.0011186317097657,0.000786809421929413,0.000806363011642361,0.00175923430031239,0.000358301517140035
"T+21",4.06487355058902e-05,-0.000228855570547797,0.000598166893045561,0.00145189573062301,0.00155976660751059,0.00112672127232685,0.000795008453234847,0.000806363026135495,0.00175923438507518,0.000358301517649537
