"","UNH","MCD","KO","IBM","CAT","DD","RTX","AXP","MMM","TRV"
"T+1",0.00114080367354538,0.000630739978886388,-0.000482013137129066,0.000601828209241664,-0.000761812910562964,0.00140810511881978,-1.38352757853295e-05,0.00236718753283828,0.00124496574491152,0.000617599055334653
"T+2",0.00114586491851449,0.00102554692441768,-0.000431428679882986,0.00045255878739737,-0.000546077861073418,0.00179093966552851,0.000352074483623112,-0.0014835083298706,0.000712652346706626,0.000332219698898655
"T+3",0.00113806375832915,0.00102097247531967,-0.000336409577922548,0.000513868287861047,-0.000435168690302906,0.00171292378703076,0.000554774970703372,0.00208707495990161,0.000810473654508244,0.000443905473990403
"T+4",0.00114341780478962,0.00100163565733339,-0.000262068537125251,0.000483284595532522,-0.000334140084839505,0.00161736072971303,0.000654578355961115,-0.00059749364190883,0.000789373078208465,0.000450969892494279
"T+5",0.00113967790592455,0.000987540816548143,-0.000204723315651148,0.000498947562117542,-0.000239599889216279,0.0015318691477589,0.000703510315118498,0.0014597422438788,0.000792626235387876,0.000455635524245147
"T+6",0.00114228885582692,0.00097791375992691,-0.000160503751056716,0.00049090082085132,-0.000151050480117912,0.00145687476948914,0.000727496947521281,-0.000113788476135596,0.000791665026008129,0.000456548026833784
"T+7",0.00114046603231056,0.000971374159215271,-0.000126405827273381,0.000495036299519545,-6.81096984959937e-05,0.00139118461770555,0.000739255212411826,0.00108999033085299,0.000791721352911762,0.000456833282287559
"T+8",0.0011417386280866,0.000966933971264746,-0.000100112756147148,0.000492910852763012,9.57777976567909e-06,0.0013336506690345,0.00074501912114667,0.000169095003454983,0.000791659205979601,0.000456904700173063
"T+9",0.00114085017123867,0.000963919346393277,-7.9838044115843e-05,0.000494003240619031,8.23446908938339e-05,0.00128326065099582,0.000747844592753768,0.000873584659289931,0.000791651086887453,0.000456924427618103
"T+10",0.00114147044327249,0.000961872602015454,-6.42041173704807e-05,0.000493441800099332,0.000150502693697808,0.00123912753654531,0.000749229640672973,0.000334646548281078,0.00079164471826539,0.000456929636958069
"T+11",0.00114103740322463,0.000960482989252003,-5.21487222013086e-05,0.000493730356473493,0.000214343707070256,0.00120047441086814,0.000749908592014635,0.000746936906404365,0.000791642825414647,0.000456931040805537
"T+12",0.00114133972812858,0.000959539528212748,-4.28527497273426e-05,0.00049358205085817,0.000274141160351689,0.00116662082636665,0.000750241414379806,0.00043153271501068,0.00079164196076212,0.00045693141564609
"T+13",0.00114112866139699,0.000958898976575775,-3.56845811999671e-05,0.000493658273591496,0.000330151164423592,0.00113697082618637,0.000750404564107866,0.00067281850306076,0.000791641643403345,0.00045693151615169
"T+14",0.00114127601665818,0.000958464081670245,-3.01571724021511e-05,0.000493619098371706,0.000382613608624518,0.00111100245315825,0.000750484540204881,0.000488233665247586,0.000791641513945899,0.000456931543049045
"T+15",0.001141173141265,0.000958168814953346,-2.58949612248477e-05,0.000493639232756536,0.00043175318818966,0.00108825856129903,0.000750523744536816,0.000629441991796428,0.000791641463837109,0.000456931550253525
"T+16",0.00114124496324432,0.000957968347132271,-2.2608349941979e-05,0.000493628884545227,0.000477780366614495,0.00106833876823599,0.000750542962524437,0.000521416913881291,0.000791641443936213,0.000456931552182499
"T+17",0.00114119482106207,0.000957832241892546,-2.00740283714757e-05,0.000493634203082555,0.000520892277064262,0.00105089240689509,0.000750552383193786,0.000604056640190457,0.000791641436132211,0.000456931552699066
"T+18",0.00114122982759439,0.000957739834860927,-1.81198009712971e-05,0.000493631469582198,0.000561273566689998,0.00103561235237475,0.000750557001211694,0.000540836835157602,0.00079164143305275,0.000456931552837388
"T+19",0.00114120538794597,0.000957677096207295,-1.66128869411055e-05,0.000493632874484287,0.000599097187467314,0.00102222961533391,0.000750559264966912,0.000589200303030666,0.000791641431841329,0.000456931552874428
"T+20",0.00114122245037333,0.000957634500545574,-1.54508983750968e-05,0.000493632152424794,0.000634525136945045,0.00101050860671671,0.000750560374661112,0.000552202007583641,0.000791641431364048,0.000456931552884347
"T+21",0.00114121053831869,0.000957605580728324,-1.45548834727979e-05,0.000493632523532443,0.00066770915207639,0.00100024299045412,0.000750560918633891,0.000580505889132792,0.000791641431176147,0.000456931552887003
