"","KO","CAT","T","DIS","MCD","VZ","RTX","MMM","DD"
"T+1",0.00105641995536901,0.0003205936190598,-0.00115303512447902,-0.00478797191916473,-0.00141508620972418,-0.00114668672002076,-0.00182735009687923,-0.000368465454125143,-0.00148718699375561
"T+2",-0.000562295888885078,-0.000423026157876087,-0.000986993918379532,0.00703038768812478,0.00229848243370612,0.00213839523626823,2.95990552517421e-05,-0.000867378923178351,-0.000840122046440834
"T+3",0.000897371059500841,-0.000175291060809802,-0.000697014528607422,-0.00703643007001288,-0.000664442720275342,-0.000857273163931944,-0.00077963020313735,-0.000860865005132587,-0.000827398632016082
"T+4",-0.000132877993971248,-0.000327905596303823,-0.000576278868490507,0.00474108567473976,0.0012129485932551,0.000208201915811649,-0.000440035582435259,-0.00084305983149339,-0.000883800472067407
"T+5",0.000565006067606603,-0.000249363503639146,-0.000527677430575902,-0.00409172807913402,6.87046916465117e-05,-0.000283200689623428,-0.000582684747885571,-0.000841647513719706,-0.000860026088223153
"T+6",9.60929479999407e-05,-0.000291632470479446,-0.000508143461690474,0.00223010354194082,0.000760789945769936,-7.60175931267013e-05,-0.000522765445569949,-0.000842131725130292,-0.000866039403543555
"T+7",0.000410637116394228,-0.000269148709422159,-0.000500292904883992,-0.00219516504507485,0.000342836726523366,-0.000165964960043691,-0.000547934363518484,-0.000842224949783698,-0.000865265134282962
"T+8",0.000199714421465007,-0.000281144399866191,-0.000497137835161893,0.000868292162102058,0.000595160821793887,-0.000127293673846285,-0.000537362237418551,-0.00084221682138322,-0.000865132999718571
"T+9",0.000341142191215592,-0.000274749369211168,-0.000495869840595038,-0.00124038479085675,0.000442839100228404,-0.000143973411703444,-0.000541803026273719,-0.000842212858987636,-0.000865251840070302
"T+10",0.000246313478624056,-0.000278159316665051,-0.000495360244817036,0.000206798130017529,0.000534790693344547,-0.00013678677652301,-0.000539937686656167,-0.00084221277502263,-0.000865210017868831
"T+11",0.00030989687745892,-0.000276341165216417,-0.000495155442790547,-0.000784867143985918,0.000479282701606945,-0.000139884308157366,-0.00054072121679063,-0.000842212903956362,-0.000865219055150425
"T+12",0.000267263733381627,-0.000277310599324898,-0.000495073134671321,-0.000105891145622557,0.000512790935252528,-0.000138549389039552,-0.000540392097382113,-0.00084221291870598,-0.000865218369931185
"T+13",0.000295849571539215,-0.000276793701128803,-0.000495040055767724,-0.000570576051631094,0.000492563188544052,-0.000139124711109743,-0.000540530342971272,-0.000842212915615419,-0.000865217961214182
"T+14",0.000276682556296528,-0.000277069309325953,-0.000495026761649557,-0.00025262131104919,0.000504773970286525,-0.000138876762587668,-0.000540472273339317,-0.000842212914822602,-0.00086521819454562
"T+15",0.000289534181264395,-0.000276922356093913,-0.000495021418861295,-0.000470152122996594,0.000497402749348198,-0.000138983622266897,-0.000540496665308536,-0.000842212914856298,-0.00086521812415489
"T+16",0.000280917072025099,-0.000277000710997499,-0.000495019271642047,-0.000321336244718454,0.00050185249705611,-0.000138937568453751,-0.000540486419537341,-0.000842212914886738,-0.000865218136749548
"T+17",0.000286694907264709,-0.000276958932462012,-0.000495018408693663,-0.000423139942999528,0.000499166340335816,-0.000138957416489172,-0.000540490723241828,-0.000842212914888375,-0.000865218136745267
"T+18",0.000282820826163087,-0.000276981208617743,-0.000495018061882356,-0.000353498083636978,0.000500787878993585,-0.000138948862486321,-0.000540488915484075,-0.000842212914887475,-0.000865218135758103
"T+19",0.000285418426087522,-0.000276969331056506,-0.000495017922501965,-0.000401138244743374,0.000499809012943532,-0.000138952549046073,-0.000540489674827126,-0.000842212914887336,-0.000865218136192034
"T+20",0.000283676716198025,-0.000276975664126838,-0.000495017866486222,-0.0003685490213653,0.000500399920067056,-0.000138950960231712,-0.000540489355867427,-0.000842212914887354,-0.000865218136078958
"T+21",0.000284844545512553,-0.000276972287357902,-0.000495017843973991,-0.000390842287905657,0.000500043210148868,-0.000138951644970671,-0.000540489489845461,-0.000842212914887361,-0.000865218136094548
