"","MCD","DD","IBM","KO","NKE","RTX","MMM","WBA","AXP","TRV"
"T+1",-0.000708306561808176,-0.000691755555723943,-0.000181213873084282,0.00033850275684133,0.00605990979727826,3.92695489646409e-05,-0.00254351230686003,0.00231423523461054,0.00120084640589725,-0.000807642515254208
"T+2",-0.000716248191964599,0.000418312108317207,0.00135617674921894,0.000121226349424773,0.00467441953918432,0.00144794182786592,-0.00222449026181986,0.000700065712329516,0.0011649435001629,-0.000758678585759073
"T+3",-0.000643678391367575,-0.000442227205605534,0.000385129829790772,0.000347356339260153,0.00378924786021759,0.00117688721073038,-0.00203841492952443,0.000325909578195615,0.00116045342541622,-0.000448609321729474
"T+4",-0.00057294652918634,-0.000301724947308582,0.000624766610408319,0.000459068507327478,0.00325186813585924,0.00112080204455065,-0.00188419583969661,0.000219430169810756,0.00115817563593151,-0.000209848006009361
"T+5",-0.000505903860372486,-0.000369082595268386,0.00050866504109517,0.00049529136744087,0.00292594238042371,0.00104935855301392,-0.0017444081149042,0.000186540572972223,0.0011579333447012,-5.33427057658303e-05
"T+6",-0.000442403978120758,-0.000354579325360836,0.000542691259635819,0.000504853436775547,0.00272826906017926,0.00098911390670154,-0.00161549387213532,0.000176105561782881,0.00115778777876737,4.56788676223408e-05
"T+7",-0.000382260815414235,-0.000360128341791642,0.000528302698861137,0.000506994692028826,0.00260838062868966,0.000935743764577288,-0.00149623512176463,0.000172767676644281,0.00115777526628702,0.000107784034927416
"T+8",-0.000325296958558284,-0.000358742054855377,0.000532936278439267,0.000507391689724825,0.00253566856067577,0.000888787741452368,-0.00138584700236021,0.000171697379192999,0.00115776588994232,0.000146648987126151
"T+9",-0.000271344342850448,-0.000359214303572008,0.000531113778911864,0.000507444342806403,0.00249156885256828,0.00084743606482098,-0.0012836595146245,0.000171353940455833,0.00115776528988211,0.00017095650909788
"T+10",-0.000220243787140824,-0.000359086385642231,0.000531731849452588,0.000507444899196075,0.00246482247733399,0.00081102454328197,-0.00118906175880268,0.000171243713962156,0.00115776468081557,0.000186157070589692
"T+11",-0.000171844524944735,-0.000359127360697894,0.000531498065455874,0.000507442149189263,0.00244860086002919,0.000778962423720573,-0.00110148974790913,0.000171208334615962,0.00115776465599268,0.000195662292140968
"T+12",-0.000126003759641981,-0.000359115762519326,0.000531579630372398,0.00050744090926914,0.00243876248508386,0.000750730233260376,-0.00102042163627155,0.000171196978714939,0.00115776461607793,0.000201606043920605
"T+13",-8.2586243171823e-05,-0.000359119357159172,0.0005315494261572,0.000507440520879865,0.00243279553248313,0.00072587046556592,-0.000945374377217582,0.000171193333729921,0.00115776461541619,0.000205322748201665
"T+14",-4.14638769986913e-05,-0.000359118315077286,0.000531560128938267,0.000507440420748645,0.00242917658895462,0.000703980275273817,-0.000875900806425572,0.000171192163771063,0.00115776461277647,0.000207646849616205
"T+15",-2.51533417175594e-06,-0.00035911863236785,0.000531556211089594,0.000507440398842093,0.00242698170772482,0.00068470493690691,-0.0008115869711847,0.000171191788240199,0.00115776461279792,0.000209100138899836
"T+16",3.43742986366982e-05,-0.000359118539186647,0.000531557611194969,0.000507440394911587,0.0024256505171232,0.000667732098211545,-0.000752049662844245,0.000171191667703098,0.00115776461262172,0.000210008898577898
"T+17",6.93138601702162e-05,-0.000359118567287786,0.000531557101887235,0.000507440394430494,0.00242484315297347,0.000652786718372843,-0.00069693413332385,0.000171191629013352,0.00115776461262752,0.000210577157184681
"T+18",0.000102406435704737,-0.000359118558977025,0.000531557284741599,0.000507440394442649,0.00242435348840593,0.000639626611066784,-0.000645911981348184,0.000171191616594799,0.00115776461261565,0.000210932496281568
"T+19",0.00013374966119019,-0.000359118561470413,0.00053155721845349,0.00050744039447535,0.0024240565079309,0.000628038519885661,-0.000598679195690683,0.000171191612608718,0.00115776461261633,0.000211154694189667
"T+20",0.000163436011314472,-0.000359118560730203,0.000531557242312866,0.000507440394489027,0.00242387638993095,0.000617834662569077,-0.000554954343747304,0.000171191611329274,0.00115776461261552,0.000211293637274701
"T+21",0.000191553072339682,-0.00035911856095166,0.00053155723367956,0.000507440394493176,0.00242376714876316,0.000608849688037048,-0.000514476894643746,0.000171191610918601,0.00115776461261559,0.00021138052009481
