"","MCD","IBM","AMGN","CAT","HON","AXP","MMM","WBA","DOW","TRV"
"T+1",0.00244501378751914,-0.00150869429791447,-0.000778324220400468,0.00302272481709479,0.00137277392351556,0.00294152382477196,-0.000923708759797726,0.0011721463488392,0.00256447106985899,0.00233501543324319
"T+2",0.000868059035567714,-0.00244348823628789,0.00147668768661566,0.00513834729001157,0.00088682431111842,0.00401573547533571,0.000196646844447899,-0.00175467214735925,0.00426174831626694,-0.000139751289101548
"T+3",0.00140727069573316,-0.00211073380724144,0.000533736605838263,0.00167718693666051,0.00138251421112654,0.00170827700745532,0.000928145687456644,-0.00163588865080541,0.00162204264560429,0.00170475773986819
"T+4",0.00116117420271845,-0.00195007369148963,0.0012197069153521,0.00524299841525959,0.00124390574942107,0.00401352539089707,0.000969539303663474,-0.00128628130495779,0.00406053153050208,0.00112887517817783
"T+5",0.0012941982602606,-0.00178157818791203,0.00077870362412469,0.001741881865591,0.0013058475035164,0.00181321050559085,0.00103154455955182,-0.000973134974688432,0.00188951091768384,0.0013589224527387
"T+6",0.00121709014970597,-0.00162670369980075,0.00106885453770031,0.00515693741340089,0.00128350866510377,0.00390481062825644,0.00103026909106721,-0.000712582557134584,0.00381567741454995,0.00127457062868423
"T+7",0.00126289055349002,-0.00148193441270777,0.00087881290484984,0.00182891751948848,0.00129233520180163,0.00191730001791028,0.00103590857500414,-0.000497615059191702,0.00210732452528304,0.00130638549797604
"T+8",0.00123546767296322,-0.00134691563010163,0.00100339397943266,0.00507169350004498,0.00128898525801103,0.00380583584893581,0.0010353424599226,-0.000320436895576629,0.0036224451517284,0.00129449913086896
"T+9",0.00125192925477335,-0.00122095284224772,0.000921739110217671,0.00191203689842227,0.00129027910425588,0.0020113517372807,0.00103589147348128,-0.000174422899371946,0.00227870446735251,0.0012989540725598
"T+10",0.00124203950715727,-0.00110344334362381,0.000975260366029381,0.00499069651366204,0.00128978319241431,0.00371646753520783,0.00103579689442752,-5.40933280386139e-05,0.00347045015729846,0.00129728615175792
"T+11",0.00124798258954706,-0.000993819254811871,0.000940179706100909,0.00199095867200893,0.0012899739034783,0.00209626940323316,0.00103585350657006,4.50696311695184e-05,0.00241350683176691,0.00129791083864317
"T+12",0.00124441089626498,-0.000891551502362284,0.00096317345297896,0.00491379775300831,0.00128990066922941,0.00363577890956045,0.00103584052089521,0.000126789280431073,0.00335089573916555,0.00129767690212688
"T+13",0.00124655748058578,-0.000796146429500576,0.00094810212104981,0.00206588614205592,0.0012899288095409,0.00217293959827339,0.00103584661776754,0.000194133992161138,0.00251953804737137,0.00129776451154719
"T+14",0.00124526737467254,-0.000707143517096694,0.000957980678805352,0.00484079105825844,0.00128991799960974,0.00356292702076512,0.00103584496922827,0.000249632397070931,0.00325685807135682,0.00129773170217957
"T+15",0.00124604273562775,-0.000624113147829428,0.000951505743284024,0.00213702129827502,0.00128992215268328,0.00224216333894861,0.00103584564588391,0.000295368325954447,0.00260293879793884,0.00129774398920706
"T+16",0.00124557673891413,-0.000546654534027762,0.000955749762615087,0.00477147946372745,0.00128992055719608,0.00349715074025768,0.00103584544440673,0.000333059052276089,0.0031828910605073,0.00129773938775227
"T+17",0.00124585680588625,-0.000474393782868851,0.000952968005172546,0.00220455607837957,0.00128992117014892,0.00230466384867515,0.00103584552098942,0.000364119771612591,0.00266853915113442,0.00129774111098408
"T+18",0.00124568848385044,-0.000406982091621709,0.000954791317901825,0.0047056759491183,0.00128992093466763,0.00343776286234879,0.00103584549685613,0.000389716738820578,0.00312471098414679,0.00129774046563875
"T+19",0.00124578964646982,-0.000344094063972943,0.000953596221141098,0.0022686727087758,0.00128992102513411,0.00236109410913145,0.00103584550563031,0.000410811058084353,0.00272013828315773,0.00129774070731872
"T+20",0.00124572884708845,-0.000285426139338735,0.000954379551529006,0.00464320295937337,0.00128992099037904,0.00338414292495935,0.00103584550277158,0.000428194770052514,0.00307894840368778,0.00129774061681027
"T+21",0.00124576538790567,-0.000230695127577507,0.000953866114862801,0.00232954419287516,0.00128992100373112,0.00241204368232851,0.00103584550378437,0.000442520591047882,0.00276072450405232,0.00129774065070542
