"","WMT","CAT","MCD","UNH","AXP","RTX","DD","MMM","NKE","TRV"
"T+1",0.000115647122188436,-0.000774653906533968,-0.00178560552834504,0.00187366658230078,0.00128704003882387,0.00120565938824841,0.00407212744826591,0.00165123773745128,0.00115173068680857,0.000217935440326063
"T+2",0.000250235365360046,-0.000591921030867325,-0.000673435348064037,0.00114563202227797,0.000974411310584303,0.000620222911482539,0.00227930365313707,0.000342416501241582,0.000831837339578204,-0.000631736505638748
"T+3",0.00022562133109138,-0.000395114270628968,0.000253968486120816,0.00153378962487453,0.00123146573476268,0.00102326037573999,0.00181010538121755,0.000655255046624113,0.000924317668539514,0.000348279303313108
"T+4",0.000210122666045847,-0.000226132239617501,0.000152511840578581,0.00125625964417182,0.00118624979841117,0.00100021815069243,0.00178927251315172,0.000949740366901607,0.000984841877063311,0.000128489308701485
"T+5",0.000197796453870331,-8.31841429717421e-05,6.54383248669192e-05,0.00145032594794629,0.00120140235523694,0.000993581663965058,0.00184134085661421,0.0010639782048741,0.00100324841159061,0.000132117214185931
"T+6",0.000188089027273497,3.76068608021012e-05,7.46866234744657e-05,0.00131442130068668,0.0011977826384144,0.000994664467632975,0.00187354864222543,0.00109003028417815,0.00100657015113902,0.000143834999315072
"T+7",0.00018044118289064,0.000139666634108192,8.28611315294469e-05,0.00140958583903145,0.00119880235615245,0.000994711542289902,0.00188463606680176,0.00109100495022916,0.00100664386111402,0.000140409533209542
"T+8",0.000174416032383928,0.000225899314435119,8.20187718069029e-05,0.00134294830810441,0.00119853820974626,0.000994684075160691,0.00188651002176505,0.0010887440043954,0.00100644083923684,0.000140671761521233
"T+9",0.000169669275520149,0.000298759280788399,8.12514177541765e-05,0.00138961021180298,0.00119860955790515,0.000994685491032271,0.00188605907401999,0.00108751073618658,0.0010063521259695,0.000140797940341004
"T+10",0.00016592966764674,0.00036032033268353,8.13280777028848e-05,0.00135693593212032,0.00119859068833267,0.000994685956970644,0.00188554977604725,0.00108713262512138,0.00100632988628035,0.000140748145984191
"T+11",0.000162983515682617,0.000412334673205536,8.14001036257395e-05,0.00137981559338527,0.00119859573184767,0.000994685885293624,0.0018853237970567,0.0010870736726385,0.00100632696762184,0.000140754512054452
"T+12",0.000160662467142428,0.000456282778965731,8.13931332899802e-05,0.0013637944628583,0.00119859439094811,0.000994685881604326,0.00188526558778226,0.00108708408445304,0.00100632732904034,0.000140755645331717
"T+13",0.000158833889936796,0.000493415538518126,8.13863733787296e-05,0.0013750130128354,0.00119859474840036,0.00099468588347322,0.00188526348736344,0.00108709550922825,0.00100632768278351,0.000140754966101643
"T+14",0.000157393293353374,0.00052478985620768,8.13870065631894e-05,0.00136715739594389,0.00119859465323965,0.000994685883387348,0.0018852702201413,0.00108710012314068,0.00100632780294486,0.000140755086944812
"T+15",0.000156258357125481,0.000551298734684542,8.1387640947622e-05,0.00137265817072068,0.00119859467859033,0.00099468588335472,0.00188527430410272,0.00108710122483404,0.00100632782753605,0.000140755093071661
"T+16",0.000155364227390478,0.000573696692308812,8.13875834866284e-05,0.00136880633787765,0.00119859467183923,0.000994685883359453,0.00188527569224374,0.00108710128894146,0.00100632782921304,0.000140755084400361
"T+17",0.000154659810733957,0.000592621238897099,8.13875239583079e-05,0.00137150352452002,0.00119859467363741,0.000994685883359737,0.00188527591984888,0.00108710120477539,0.00100632782817554,0.000140755086425559
"T+18",0.000154104854549681,0.000608611021071888,8.13875291673139e-05,0.00136961486110179,0.0011985946731585,0.00099468588335961,0.00188527585943391,0.00108710115593046,0.00100632782763084,0.000140755086371376
"T+19",0.000153667646877752,0.000622121153682169,8.13875347527174e-05,0.001370937368581,0.00119859467328606,0.000994685883359615,0.00188527579439194,0.00108710114038729,0.0010063278274796,0.000140755086269101
"T+20",0.000153323204282445,0.000633536173671319,8.13875342810399e-05,0.00137001130308108,0.00119859467325208,0.000994685883359618,0.00188527576591661,0.00108710113776859,0.00100632782745564,0.000140755086300302
"T+21",0.0001530518442193,0.000643180985096305,8.13875337570228e-05,0.00137065976618894,0.00119859467326113,0.000994685883359617,0.00188527575869952,0.00108710113809893,0.0010063278274564,0.000140755086297656
