"","MRK","MCD","DD","NKE","RTX","MMM","KO","WBA","AXP","TRV"
"T+1",0.00166393000951931,-0.00026894688070992,0.00229231477411819,0.00278441375487721,0.00205605329402817,0.00126721356186814,0.00130627729579464,0.000247351275880713,-7.00013724273104e-05,0.000983576666991902
"T+2",0.000724869019942041,-0.000127264087859014,0.000217623888808393,0.00225646153392889,0.00143531039909135,-0.00069063301684481,-0.000145817435441479,-0.00234838241523886,0.00208787478817355,2.94350784999492e-05
"T+3",0.00129920537605571,-1.63081780488941e-05,0.00153728909466878,0.00210390835220291,0.0010290948908425,0.000981820987603979,0.000656640870583578,-5.36901007649743e-05,0.000244128705819979,0.000730267804379454
"T+4",0.000979768733106335,7.729241173152e-05,0.000695818217285336,0.00200848044143914,0.00110036683538691,-0.000294044797594469,7.22446350350568e-05,-0.000576067855308308,0.00147535270292024,0.000215395343724858
"T+5",0.0011529247704605,0.000156229161253396,0.00123274307548706,0.00194464712090604,0.00111510710569884,0.000671918767758277,0.000506910330671143,-0.000666961772266919,0.000686872408776474,0.000593650867800691
"T+6",0.00105976511700552,0.00022279944032768,0.000890076482799263,0.00190179379781513,0.00110994262520497,-5.90198421394234e-05,0.000183168720720683,-0.000569280820257776,0.0011875925343204,0.000315762161670953
"T+7",0.00110977363854332,0.000278940617460552,0.00110877886106917,0.0018730196410874,0.00110965173066444,0.000494055302117444,0.000424314619038108,-0.000593931360598795,0.000870165225079794,0.000519915513255212
"T+8",0.00108294692280425,0.00032628654741224,0.000969192873640169,0.00185369885058601,0.00110995240893173,7.55642619307083e-05,0.000244690898952477,-0.000596914799427048,0.00107132280172221,0.00036993248032249
"T+9",0.00109733500480066,0.00036621512029707,0.00105828349392514,0.00184072564219364,0.00110993934082481,0.000392220537895482,0.000378488291796954,-0.000592784466909698,0.000943856391190586,0.000480118818156938
"T+10",0.00108961865748032,0.000399888361782579,0.00100142142489756,0.00183201460418971,0.00110992467453625,0.000152618763828621,0.000278825826623774,-0.000593932681262987,0.00102462605800885,0.000399169468034026
"T+11",0.00109375686854631,0.00042828625106883,0.00103771364016773,0.00182616545871146,0.00110992675360174,0.000333916323466494,0.000353062003936429,-0.000594019975688314,0.000973446161473265,0.000458639611194308
"T+12",0.00109153759365267,0.000452235240840462,0.00101455013179592,0.00182223797006858,0.00110992733256029,0.000196735347840551,0.000297765257935359,-0.000593846547370677,0.0010058764056902,0.000414949353988606
"T+13",0.00109272776320861,0.000472432309196505,0.00102933424266103,0.00181960080416163,0.00110992716781044,0.000300534980395856,0.000338954476305906,-0.000593899436337063,0.000985326919243273,0.00044704678092023
"T+14",0.00109208949038213,0.000489465243531876,0.00101989828278133,0.00181783004308422,0.00110992715277969,0.000221993741937318,0.000308273616532631,-0.000593901385660306,0.000998348140356278,0.000423466127439974
"T+15",0.00109243178794573,0.000503829746684446,0.00102592078490175,0.00181664104136651,0.00110992716291572,0.000281422913185242,0.000331127052302135,-0.000593894157392023,0.000990097218920239,0.000440789859331021
"T+16",0.00109224821814324,0.000515943863181197,0.00102207692245705,0.00181584266991891,0.00110992716275152,0.000236455117100901,0.000314104076729404,-0.000593896569725949,0.000995325430918564,0.000428062829230512
"T+17",0.00109234666427755,0.000526160145424874,0.00102453026796041,0.001815306592503,0.00110992716223096,0.000270480540007223,0.000326784082496261,-0.000593896574650147,0.000992012564482497,0.000437412852435556
"T+18",0.00109229386887662,0.00053477591388892,0.0010229644200026,0.00181494663599815,0.00110992716228891,0.000244734795168347,0.000317339050659107,-0.000593896275778162,0.000994111768574856,0.000430543776677547
"T+19",0.0010923221823739,0.000542041909919128,0.00102396382258314,0.00181470493828521,0.00110992716231095,0.000264215622170364,0.000324374428090718,-0.000593896384841562,0.000992781603925491,0.000435590202845112
"T+20",0.00109230699820797,0.000548169592961136,0.00102332595380858,0.00181454264705377,0.0011099271623058,0.000249475220482336,0.000319133944367782,-0.000593896381625586,0.000993624465275113,0.000431882802029945
"T+21",0.00109231514128167,0.000553337294582112,0.00102373307360343,0.00181443367438918,0.00110992716230512,0.000260628722430786,0.000323037454864172,-0.000593896369375143,0.000993090384584406,0.000434606476239753
