"","DIS","MCD","VZ","BA","T","RTX","MMM","DD","MDLZ","TRV"
"T+1",0.000808264261903804,0.00069436986502849,0.00113440686914961,0.00135043149674268,0.00235018150850011,0.00250161566579233,0.000236027025226944,0.000406711723108577,0.000906908772689491,0.000104119308010455
"T+2",0.0032622022709479,0.000263715257666016,0.00118757993460226,0.00122731793650814,0.00236057980451817,0.00104123615203462,0.000341614699440113,0.002639139967451,0.000214467757214629,-0.000496859178532913
"T+3",0.000648630746281195,0.00134402365253484,0.00121096981091849,0.00120859082373422,0.00230866353534232,0.00210874474355259,0.000517989193718264,0.00146861307075844,0.000951117004125117,0.00168994244517295
"T+4",0.00323378561825943,0.000372334759137061,0.00122946540091388,0.00119527145907258,0.00225544777994221,0.00122847594439089,0.000330396885512485,0.00203941877342287,0.00024098385123771,-0.000472696234859132
"T+5",0.000690102429340233,0.00114597984836266,0.00124435980893601,0.00118251939634153,0.00220400390910557,0.0019632405403825,0.000514201653459087,0.00176014055886942,0.000921019385518776,0.00135267075957146
"T+6",0.00319201012226558,0.000546169629234389,0.0012563591070457,0.00117009087684922,0.00215442312861179,0.00134922737491525,0.000334912680154741,0.00189676160617041,0.000270114570532464,-0.000125666143213419
"T+7",0.000731262482642728,0.00100826669888889,0.00126602612185342,0.00115796676624431,0.00210664567193902,0.00186238811567205,0.00050975208363528,0.00182992700164647,0.000893115387380671,0.00105707799136301
"T+8",0.00315152206033299,0.000652813388517144,0.00127381417689574,0.00114613907474372,0.00206060634628532,0.00143351040713192,0.000339254317600371,0.00186262227726455,0.000296823786775359,0.000114355544335085
"T+9",0.000771084747488,0.000926131262764984,0.00128008848213064,0.0011346005292036,0.00201624193933012,0.00179194830833833,0.000505518118966786,0.00184662785232482,0.000867551146050255,0.00086489651572194
"T+10",0.00311235499234177,0.000715989014493233,0.00128514326229987,0.0011233440597368,0.00197349151829003,0.00149238100156846,0.000343383148165524,0.00185445227417527,0.000321292043572396,0.000267573817388066
"T+11",0.000809607373195438,0.000877554609421251,0.00128921555422744,0.00111236277053241,0.00193229636609177,0.00174274674610261,0.000501491819255828,0.00185062459187179,0.000844131893325588,0.000742903776173236
"T+12",0.00307446620732549,0.000753337337854776,0.00129249632232974,0.00110164993441798,0.00189259990174754,0.00153350159595979,0.000347309462750832,0.0018524970818904,0.000343707264733648,0.000364664779334646
"T+13",0.000846872746425895,0.000848839784413855,0.00129513941362392,0.00109119898867928,0.00185434760269442,0.00170837988429274,0.000497663006887838,0.00185158106572401,0.000822677658858057,0.000665641385053667
"T+14",0.00303781398844237,0.000775414292543307,0.00129726877216787,0.001081003531037,0.00181748692991107,0.00156222397238948,0.00035104319417396,0.00185202917792154,0.000364241711984056,0.000426145683468664
"T+15",0.000882921899636346,0.000831866274782077,0.00129898425124294,0.00107105731572458,0.00178196725575618,0.00168437493113867,0.000494021995263365,0.00185180996285859,0.000803023565652591,0.000616719071257635
"T+16",0.00300235797822556,0.000788464097229643,0.0013003662958335,0.00106135424966202,0.00174773979443218,0.00158228630174937,0.000354593788511682,0.00185191720217073,0.000383053193735593,0.000465074577646021
"T+17",0.000917794526273522,0.000821833147037479,0.00130147971498157,0.00105188838872326,0.00171475753497852,0.00166760768078157,0.000490559572878793,0.00185186474104004,0.00078501857086657,0.000585742265817965
"T+18",0.00296805913633276,0.000796177902380733,0.00130237672091593,0.00104265393409476,0.00168297517670277,0.00159629966378198,0.000357970228518308,0.00185189040485845,0.000400286277313296,0.000489723675447954
"T+19",0.000951529024320569,0.000815902514918236,0.00130309937747134,0.00103364522872318,0.00165234906696073,0.00165589590268588,0.000487266980048656,0.00185187785020004,0.000768524305073911,0.000566128301630963
"T+20",0.00293487969657083,0.000800737571261215,0.00130368157261307,0.00102485675384978,0.00162283714120012,0.00160608787490815,0.000361181056349928,0.00185188399189904,0.000416073399960974,0.000505331044953298
"T+21",0.000984162538575934,0.000812396888557274,0.00130415060756545,0.00101628312562968,0.00159439886518543,0.00164771532786047,0.000484135886744333,0.00185188098739941,0.000753414008888205,0.000553709089591727
