"","KO","T","VZ","MCD","RTX","MMM","HON","DD","MO"
"T+1",0.0018324868062679,0.00103014709183384,-0.000346195966674017,0.00196266005185118,-0.00187059241636818,0.000438361077618782,0.00175732553292798,0.0025836945913902,0.000862683783281299
"T+2",-3.74595268222168e-05,0.000484015650917997,0.00159339573450716,0.00225132052555733,0.00242669485388788,0.000731827509859199,0.00253902070107671,-0.00240610181058724,0.000920464108705741
"T+3",0.00130294024480259,0.00168418360025621,0.000940927430726487,0.0014741490792103,-0.00055539572807793,0.000550876577996208,0.00186435253647207,0.00203322673388761,0.00090292581628529
"T+4",0.000463312441039421,0.000566674808642633,0.00136224278514281,0.00219739636142543,0.00206541893758546,0.000502918504816036,0.00178032017133261,0.000640728040145037,0.000900631900923208
"T+5",0.000966603534770285,0.00154994491399174,0.00105458982421909,0.00148991992516528,-0.000347076291834866,0.000478480540774515,0.00166432753078095,0.000529953429947127,0.000899840249162256
"T+6",0.000669765411868593,0.000689881593669511,0.00128251530749195,0.00217946722311779,0.00189073056482153,0.000468033383035775,0.00162002442247638,0.000853709817783303,0.000899640675311597
"T+7",0.000843755680927762,0.00144169698988575,0.00111339033759151,0.00150722160457051,-0.000187585675108933,0.00046338884489075,0.00159163542759632,0.000703932225520921,0.000899586183443964
"T+8",0.000742018162842857,0.000784550766541407,0.00123890551423161,0.00216258764908127,0.00174298455125709,0.000461342919006033,0.00157754788715335,0.000721306522979622,0.000899571629715784
"T+9",0.000801451004192558,0.00135894433357694,0.00114575340632026,0.00152367651128178,-5.03986832697665e-05,0.000460439756983763,0.00156968180466354,0.000740670730029315,0.000899567719392502
"T+10",0.000766744522150738,0.000856883010645967,0.00121488713597482,0.00214654583367038,0.00161555437874915,0.000460041259845673,0.00156553073159458,0.000727140103742521,0.000899566670468644
"T+11",0.000787008809882788,0.00129572070711479,0.00116357886505534,0.0015393155439049,6.79756215898487e-05,0.000459865412800215,0.00156328110990561,0.000730592565312411,0.000899566388975661
"T+12",0.000775177653523517,0.000912145009861438,0.00120165779900025,0.00213129946634455,0.00150559134166952,0.000459787817891158,0.0015620772443264,0.000731348079642714,0.000899566313442292
"T+13",0.000782085032077283,0.00124741774635459,0.00117339714651745,0.00155417910468713,0.000170125220506193,0.000459753577863364,0.00156142915004082,0.000730291574913528,0.000899566293173663
"T+14",0.000778052336168819,0.000954365270329806,0.00119437106559094,0.00211680910055961,0.00141069997323978,0.000459738468910939,0.00156108123702872,0.000730705272670944,0.000899566287734826
"T+15",0.000780406714104548,0.00121051420328956,0.00117880506683767,0.00156830564567125,0.000258274094729979,0.000459731801845058,0.0015608942186641,0.000730688196713459,0.000899566286275378
"T+16",0.000779032177565629,0.000986621620137377,0.0011903575247421,0.00210303724944563,0.00132881450564846,0.000459728859896292,0.00156079375183815,0.000730618394923108,0.000899566285883752
"T+17",0.000779834661165004,0.00118231983449779,0.00118178375535222,0.00158173171248539,0.000334341201294835,0.000459727561714624,0.00156073976456742,0.000730658490124755,0.000899566285778664
"T+18",0.000779366154309923,0.00101126552548648,0.00118814686198797,0.00208994828496251,0.00125815233722901,0.000459726988871326,0.00156071075786304,0.000730650625635038,0.000899566285750465
"T+19",0.000779639678473129,0.00116077928945701,0.00118342442029205,0.00159449203861904,0.00039998247873193,0.000459726736095114,0.00156069517186547,0.000730647137942778,0.000899566285742898
"T+20",0.000779479989314688,0.00103009351050269,0.00118692922648939,0.00207750834571086,0.00119717519203282,0.000459726624553592,0.00156068679740194,0.000730650477062695,0.000899566285740867
"T+21",0.000779573219202304,0.0011443222769209,0.00118432810036188,0.00160661963527792,0.000456626900983516,0.000459726575334122,0.00156068229767737,0.000730649379094306,0.000899566285740322
