"","DIS","T","MCD","VZ","RTX","MMM","HON","DD","MO"
"T+1",-0.00161941098573113,0.00220867230202228,0.00239971641134175,-0.000642968426116969,0.00189557224971329,0.00066958603185732,-0.000479057704696331,0.00189503159349837,0.00188340487610557
"T+2",-0.001317002246341,0.00251905258682945,0.000979672864601104,0.00206149123713955,0.000553154409419534,0.000186634006865188,0.00558293542622667,-0.00024676837506372,0.00138904330735057
"T+3",0.00156570985465424,0.00243318018961884,0.00220885177308484,0.000937835443530925,0.000867628188303422,0.000257093230946071,0.00226402058589869,0.00132560427631985,0.000640442603680637
"T+4",-0.000635220897680319,0.00240398652520938,0.00106764393706134,0.00113136989142841,0.000784217920993637,0.000257965498978266,0.00229549161008713,0.000835712879888862,0.00076460615754437
"T+5",0.000234623367216874,0.00236773266922515,0.0021210299715903,0.00105929926443925,0.000806681503179271,0.000261735641825889,0.00177933979955934,0.000852767885728228,0.000706460905391161
"T+6",0.000167217882594373,0.00233336518276487,0.0011482513525848,0.00107289437410904,0.000800621254995885,0.000263096158867753,0.00164009912693534,0.000917358362211038,0.000723454361769108
"T+7",-9.60246905131928e-06,0.00229960570193116,0.0020465567795254,0.00106823574387526,0.000802256513237241,0.000263757064058129,0.00151955523516397,0.000881500283900471,0.000717499700749011
"T+8",0.000138117211684781,0.00226661473956864,0.0012170205481678,0.00106917842321394,0.000801815256064484,0.000264054954493052,0.00146385059605695,0.000890313509857845,0.00071943340480354
"T+9",7.53993349261715e-05,0.00223435081546118,0.00198305197622191,0.00106887534081929,0.000801934324946473,0.000264191567817513,0.00142921996913347,0.000891140774753574,0.000718785735263339
"T+10",8.31159277250612e-05,0.00220280128393851,0.0012756637533786,0.00106894009726284,0.000801902195377953,0.00026425396317963,0.00141073312406717,0.000889394038405106,0.00071899991814031
"T+11",9.3762198350926e-05,0.00217194985186301,0.00192889817521087,0.00106892027467442,0.000801910865226767,0.000264282488433615,0.0014000902536507,0.00089017074604492,0.000718928717710297
"T+12",8.39157561098758e-05,0.00214178113913956,0.001325671833377,0.00106892469262449,0.000801908525753124,0.000264295526353855,0.0013941924991696,0.000890031925734656,0.000718952336072477
"T+13",8.83930448376543e-05,0.00211228002829455,0.00188271844224642,0.00106892339058843,0.000801909157037134,0.000264301485860171,0.00139086124465574,0.000889987154135254,0.000718944494579468
"T+14",8.76602235689572e-05,0.002083431747323,0.00136831629676013,0.00106892369046308,0.000801908986691337,0.000264304209858243,0.00138899762197374,0.000890031033515157,0.00071894709708129
"T+15",8.70341595267781e-05,0.00205522184957125,0.00184333860740292,0.00106892360464407,0.000801909032657479,0.000264305454959269,0.00138795000884258,0.000890015115646997,0.000718946233212818
"T+16",8.76858302248916e-05,0.0020276362082918,0.00140468142529669,0.00106892362492042,0.000801909020253967,0.000264306024076958,0.0013873625295276,0.000890016750019255,0.000718946519945911
"T+17",8.73690616517286e-05,0.00200066100931737,0.00180975739562953,0.00106892361924837,0.000801909023600933,0.000264306284212473,0.00138703268291473,0.000890018291771117,0.000718946424771797
"T+18",8.74326146349405e-05,0.00197428274417846,0.00143569184185648,0.00106892362061539,0.000801909022697787,0.000264306403116673,0.00138684759996343,0.000890017252009563,0.000718946456362218
"T+19",8.74682910912043e-05,0.00194848820333374,0.00178112096816226,0.00106892362023969,0.000801909022941492,0.000264306457466072,0.0013867437147116,0.000890017557168294,0.000718946445876605
"T+20",8.74254821621316e-05,0.00192326446955572,0.00146213601994442,0.00106892362033165,0.000801909022875731,0.0002643064823084,0.00138668541390768,0.000890017555579291,0.000718946449357024
"T+21",8.74477098877624e-05,0.00189859891146208,0.00175670121274598,0.00106892362030672,0.000801909022893476,0.000264306493663471,0.00138665269274325,0.000890017510686796,0.000718946448201791
