"","CAT","MCD","AXP","IBM","AMGN","HON","MMM","DOW","WBA","TRV"
"T+1",-0.00230472453939162,0.00123564746966555,-0.000218351250200962,-0.00075596102085003,0.000952709081632541,-0.00295138691606105,-0.00273454719980684,-0.00222602634443513,7.55739579940175e-05,-0.00213647286389682
"T+2",-0.0016753096188057,0.000419242014422706,0.000306520461419685,0.000699678118121851,0.000830546840061431,-0.000752451626566525,-0.00059244725247142,-0.000529596965417897,-9.30847993761687e-05,-0.000677681229779368
"T+3",-0.00150144653332611,0.000495158149692864,0.000161201958187183,1.77068708499567e-05,0.000823696140010426,-0.000825796912830014,-0.00108626376304336,-0.000244515041396435,-0.000122831628341101,-0.000113750570494112
"T+4",-0.0014013829365444,0.000434298193090302,0.000175738813969009,0.000237354808741111,0.000819730713828889,-0.00102877729808588,-0.00120354993929469,-0.000148548333627337,-0.000143886191644238,0.000182313747562957
"T+5",-0.00131798847000618,0.000445446628359836,0.000175654817060266,0.000174956780719028,0.000815896479729625,-0.00109774945063652,-0.00110622882519389,-9.24768543007898e-05,-0.000163486830216253,0.000334534771168703
"T+6",-0.00124234464615265,0.000440349698073516,0.000175453092872646,0.000191668326155903,0.00081212503058824,-0.00110693953438859,-0.00112117959885087,-5.38481742553382e-05,-0.000182081918820509,0.000412896363385988
"T+7",-0.0011727216886083,0.000441595031892429,0.000175485268523242,0.00018733245850626,0.000808413741624543,-0.00110480951373611,-0.00112878420917516,-2.64016549919203e-05,-0.000199742638198736,0.000453232975497346
"T+8",-0.00110848792769764,0.000441136372635787,0.000175483312220633,0.000188436968474411,0.000804761614077931,-0.00110328885673833,-0.00112460503533385,-6.79963899073539e-06,-0.000216517021379079,0.000473996330733023
"T+9",-0.00104920352349036,0.000441264188689298,0.000175483137226649,0.000188158693484624,0.000801167703902173,-0.00110289860156972,-0.00112492641400668,7.21168911191022e-06,-0.000232449610557282,0.000484684308278282
"T+10",-0.000994483748514121,0.000441221308036718,0.000175483192943656,0.000188228328994268,0.000797631083049742,-0.00110287637945577,-0.00112535047561866,1.72282185627854e-05,-0.000247582653037304,0.000490185965624091
"T+11",-0.000943976647188311,0.000441233998627375,0.00017548318698253,0.000188210977121466,0.000794150838290071,-0.00110289941039714,-0.00112518139640846,2.43890739280442e-05,-0.000261956272732184,0.000493017954500669
"T+12",-0.000897357827116832,0.000441229914066541,0.000175483187074162,0.000188215289351368,0.000790726070950663,-0.0011029096800906,-0.00112517986580644,2.95084154407322e-05,-0.000275608579831553,0.000494475726312583
"T+13",-0.000854327938568644,0.000441231156441146,0.000175483187148113,0.000188214219502686,0.000787355896684477,-0.00110291162389901,-0.00112520144160913,3.3168267734887e-05,-0.00028857577202809,0.000495226117203303
"T+14",-0.000814610687428385,0.000441230763947385,0.00017548318713542,0.000188214484642727,0.000784039445241551,-0.00110291151891624,-0.00112519507169441,3.57847214453336e-05,-0.000300892230501994,0.00049561238238162
"T+15",-0.000777951051491707,0.000441230884820181,0.000175483187136275,0.000188214418978277,0.00078077586024429,-0.00110291132468363,-0.00112519431488758,3.76552423229902e-05,-0.000312590611079705,0.000495811213137465
"T+16",-0.000744113641553819,0.000441230846952585,0.000175483187136331,0.000188214435233581,0.000777564298966324,-0.00110291126146817,-0.00112519534034084,3.8992490655963e-05,-0.000323701930817512,0.000495913561657831
"T+17",-0.000712881189778298,0.000441230858679984,0.00017548318713631,0.000188214431210689,0.000774403932114908,-0.00110291125370072,-0.00112519512300025,3.99484987530306e-05,-0.000334255650240098,0.000495966245758822
"T+18",-0.000684053154602803,0.000441230855019839,0.000175483187136312,0.000188214432206104,0.000771293943616771,-0.00110291125589468,-0.00112519506105885,4.06319555644428e-05,-0.000344279751452096,0.000495993365002826
"T+19",-0.000657444433069946,0.000441230856156247,0.000175483187136312,0.000188214431959829,0.000768233530407397,-0.00110291125732509,-0.00112519510703073,4.11205635736257e-05,-0.000353800812329775,0.000496007324686707
"T+20",-0.000632884172292427,0.000441230855802177,0.000175483187136312,0.000188214432020755,0.000765221902223653,-0.00110291125767695,-0.00112519510078476,4.14698728242639e-05,-0.000362844076989552,0.000496014510461281
"T+21",-0.000610214672417548,0.000441230855912235,0.000175483187136312,0.000188214432005683,0.000762258281399726,-0.00110291125769224,-0.00112519509694429,4.17195964274148e-05,-0.000371433522720171,0.000496018209352794
