"","NKE","GS","CAT","IBM","MMM","RTX","AXP","WBA","DOW","TRV"
"T+1",-0.00111515982188663,-0.00625024629454479,-0.00227032084710465,-0.00677141292667032,-0.00200999076960628,-0.00169828973356196,0.000708242977451725,-0.000896182289056415,0.00732202283996225,0.00109027921576816
"T+2",0.000414890549274149,-0.0060454401548657,0.00160924063858988,-0.0051376338926969,-0.000952019553262161,0.00109431002496413,1.82108608911647e-05,-0.000574968612017816,-0.000680754795577044,-0.00135041297642754
"T+3",0.000117599073536659,-0.00493622994091748,-0.00151586230838074,-0.00350700851422445,-0.00112002535869148,0.000396906377103981,0.000484987308905239,-0.00114197664629527,-0.000918743465756149,0.000523294747203828
"T+4",0.000130696564986188,-0.00410843667578196,0.000570764485171432,-0.00243372582619724,-0.00117606025434466,0.0009213472834145,0.000667153645613522,-0.00135496895726068,-0.000366957367266594,-0.000749739610431693
"T+5",0.000120224689070497,-0.00341332539025457,-0.000876501826510846,-0.0017053897364555,-0.00116962425467566,0.000618108451141062,0.000759452963997344,-0.00138632997909925,-0.000260876358061951,0.000116594932260001
"T+6",0.000118929999379313,-0.00283800924046763,0.000119133676310008,-0.00121244853495263,-0.00116672969759016,0.000801319872394959,0.000804653335048506,-0.00138178591570344,-0.00028453343297494,-0.00047295573818168
"T+7",0.000118249490892102,-0.00236103579527738,-0.000566996991323758,-0.000878747422387664,-0.0011669539828925,0.00069151174477714,0.000826877654460401,-0.00137804250354355,-0.0002961496962491,-7.17595617010654e-05
"T+8",0.000118072993856849,-0.0019656735134229,-9.43329243555543e-05,-0.000652849806124419,-0.00116710028480589,0.000757420628932995,0.00083779976989789,-0.0013771078031903,-0.000296269549699256,-0.000344778284862461
"T+9",0.000118012379870111,-0.00163795086203048,-0.000419969029199305,-0.000499929071116298,-0.00116709382122703,0.000717871205606407,0.000843167737430884,-0.00137705897045104,-0.000295432418765924,-0.000158985828275776
"T+10",0.000117994025762011,-0.00136629662353726,-0.000195629795255296,-0.000396409838926284,-0.00116708657162767,0.000741604432409221,0.000845805951532598,-0.00137710870753277,-0.000295289262090396,-0.000285419783151748
"T+11",0.000117988159456779,-0.00114111826322294,-0.000350183515788931,-0.000326332804788465,-0.00116708666759695,0.000727362473255977,0.00084710256505791,-0.00137712885219133,-0.000295328006118706,-0.000199379987784054
"T+12",0.000117986328349583,-0.000954464477530646,-0.000243707114143459,-0.000278894366496715,-0.0011670870201537,0.000735908875857838,0.000847739816776737,-0.00137713209349412,-0.000295344776396383,-0.000257931081864569
"T+13",0.00011798575088021,-0.000799744300061139,-0.000317061711511626,-0.000246781057829238,-0.00116708702601977,0.000730780299342894,0.00084805300937416,-0.00137713175606768,-0.000295344611007365,-0.000218086372757874
"T+14",0.00011798556958056,-0.000671494378878324,-0.000266525661395637,-0.000225042049744233,-0.00116708700918808,0.000733857886440882,0.000848206935366114,-0.00137713141353872,-0.000295343348149344,-0.000245201166575629
"T+15",0.000117985512549356,-0.000565186057924739,-0.000301341371271768,-0.000210325893355188,-0.00116708700840405,0.000732011069447345,0.000848282585975988,-0.00137713132246826,-0.000295343157711419,-0.000226749230038443
"T+16",0.000117985494624365,-0.000477065464947704,-0.00027735584708646,-0.000200363835379958,-0.00116708700919262,0.000733119318508886,0.000848319766277388,-0.00137713131613971,-0.000295343220253987,-0.00023930599016949
"T+17",0.000117985488988429,-0.000404020957829384,-0.000293880150990703,-0.000193620050081799,-0.00116708700925392,0.00073245427373924,0.000848338039425675,-0.00137713132045867,-0.000295343244328452,-0.0002307609670132
"T+18",0.000117985487216676,-0.000343473248833051,-0.00028249609211457,-0.000189054864829842,-0.0011670870092177,0.000732853357808882,0.000848347020201401,-0.00137713132235567,-0.000295343243580598,-0.000236575955909977
"T+19",0.000117985486659656,-0.000293284326909513,-0.00029033889125747,-0.000185964476351672,-0.00116708700921367,0.000732613873037465,0.000848351434018406,-0.0013771313226867,-0.00029534324168581,-0.000232618787479749
"T+20",0.00011798548648454,-0.000251681962004186,-0.000284935765793613,-0.000183872447130751,-0.00116708700921529,0.000732757584501048,0.000848353603294329,-0.00137713132266359,-0.000295343241436916,-0.00023531168720203
"T+21",0.000117985486429487,-0.000217197125522686,-0.00028865813127133,-0.000182456254217757,-0.00116708700921554,0.000732671345260687,0.00084835466943686,-0.00137713132263241,-0.000295343241536666,-0.000233479137225419
