"","AA","MRK","T","BA","VZ","RTX","MMM","DD","MDLZ"
"T+1",-0.0066100847936958,-0.00750000642970391,-0.00121449073392565,-0.00622576669096104,0.00309015977293597,-0.00378198261183838,-0.00471465518368767,-0.00580415634962431,-0.0023051963347778
"T+2",-0.00977018429999183,-0.00249080931293647,-0.0031516423813827,-5.03458271163644e-05,-0.00045237865813857,0.000536472680203546,-0.000444212668365359,0.0183864276291322,0.000138073192483132
"T+3",-0.00624485706571397,-0.000736182913880453,-0.00147949795823044,-0.0041171971926453,-0.00196454751249839,-0.001251071346869,-2.24567804765226e-05,0.0140894151053606,-2.55242135781921e-05
"T+4",-0.00432082283728951,-0.00204157792682767,-0.00116126570143698,-0.00244689861947017,-0.00120350168867847,-0.00118255163471695,-0.000976023808617268,0.0139030493926379,-0.000352072292478085
"T+5",-0.00396565414880632,-0.0019066843488266,-0.00166585470164694,-0.00298234546819424,-0.000793629757569654,-0.000859694700424175,-0.000877952576714095,0.0131579197109656,-0.000115951797544249
"T+6",-0.00406862840780812,-0.00174912316036274,-0.00168813254503974,-0.00284675968025424,-0.000951987555326268,-0.00104233542021301,-0.0007021625835835,0.0125215966038225,-0.000208322916902372
"T+7",-0.00415962297908503,-0.00181829720414266,-0.00154549164264844,-0.00287002643918262,-0.00106018645538152,-0.00101158007800875,-0.000756147797607403,0.0118974064135177,-0.000191278055243014
"T+8",-0.00418485863837325,-0.00182100232239202,-0.00155793696581964,-0.00287033289029245,-0.0010286203762998,-0.000991018726439694,-0.000781618731777347,0.0112981596112122,-0.000185826574754395
"T+9",-0.00418359286171021,-0.00180961417848623,-0.0015958137787721,-0.00286787245481829,-0.00100067655669764,-0.00100794623778743,-0.000765673812202159,0.0107210264817841,-0.000192289924885579
"T+10",-0.00417971190035492,-0.00181271367208101,-0.00158742442738614,-0.00286922036424506,-0.00100658337003838,-0.00100321719250221,-0.000763552304313017,0.0101654541927656,-0.000189147147369445
"T+11",-0.00417822179802534,-0.00181349524371695,-0.00157803017561064,-0.00286870745679845,-0.00101366451418695,-0.0010022942359319,-0.000767218337904621,0.00963059958453968,-0.000190003687830464
"T+12",-0.00417809904505545,-0.00181278131089798,-0.00158157935166476,-0.00286886213263081,-0.00101267114483389,-0.00100372600971477,-0.000766943416513034,0.00911569547634525,-0.000190013562043277
"T+13",-0.00417824385193943,-0.00181288225049994,-0.0015837176938199,-0.00286882595655907,-0.00101090716642334,-0.00100316223496468,-0.00076624785736973,0.00861999692600207,-0.000189856406282963
"T+14",-0.00417832195045842,-0.00181296004424033,-0.0015824557823446,-0.00286883100250924,-0.00101103958515603,-0.00100316984429091,-0.000766438362360031,0.00814278769049252,-0.000189954433472177
"T+15",-0.00417833614074272,-0.0018129206515869,-0.00158202829989564,-0.00286883173505364,-0.00101147205544626,-0.00100327899456744,-0.000766543607334764,0.00768337811151863,-0.000189919887635973
"T+16",-0.00417833186422164,-0.00181292093169446,-0.00158243354200742,-0.00286883082838577,-0.00101146633028959,-0.00100322036955327,-0.000766484372797114,0.00724110427340941,-0.000189924549867791
"T+17",-0.00417832815932445,-0.00181292685542991,-0.00158249903879646,-0.00286883126413599,-0.00101136191876382,-0.00100322913431243,-0.000766474322357667,0.00681532702152437,-0.000189927675721597
"T+18",-0.00417832714294047,-0.00181292498575731,-0.00158237826952735,-0.00286883110926905,-0.00101135698570306,-0.00100323631342988,-0.000766488360494995,0.00640543104174584,-0.000189924870052862
"T+19",-0.00417832719921865,-0.00181292465859999,-0.00158237589216828,-0.00286883115314226,-0.00101138181213116,-0.00100323079913515,-0.000766487701211945,0.00601082397080067,-0.000189926100517944
"T+20",-0.00417832735779005,-0.00181292504475373,-0.00158240964652382,-0.00286883114380405,-0.00101138449970258,-0.00100323224313196,-0.000766484961741797,0.00563093554026844,-0.000189925813630185
"T+21",-0.00417832741807025,-0.0018129249755745,-0.00158240589993405,-0.00286883114471836,-0.00101137868814833,-0.00100323259429189,-0.000766485625562941,0.00526521675244584,-0.000189925778996547
