"","VZ","HPQ","UNH","AXP","BA","RTX","DD","AA","MMM","TRV"
"T+1",0.00144837743556488,-0.00317718977840221,0.00117464121840423,0.000508317698572008,0.00211455314227765,-0.00241360330894978,-0.000237307293954972,-0.00126605797414228,0.000991767718007041,0.000810414506219248
"T+2",0.000965676319006067,-0.00263891758372338,0.00112334979326959,0.000688567897707979,0.00243837621375398,0.00337544930560697,-0.000318824482853996,-0.00100583005084937,0.000290768421770725,0.00044968557112828
"T+3",0.00101447911253125,-0.0023562829930102,0.00109912702401917,0.000508518955577598,0.00199784964581638,-0.00225681501294835,0.000310988499094024,-0.000625023789809661,0.00073789773096529,0.000974900790603431
"T+4",0.00100338721795925,-0.00231085018193505,0.00107689729174802,0.000543932945927665,0.00161032446596762,0.00305797306587732,0.000301143559984242,-0.000612802719688215,0.000704640962690435,0.00102256419994825
"T+5",0.00100308065757812,-0.00230058352363325,0.0010562998396791,0.000530534020604261,0.00131394455461786,-0.00195013477894699,0.000345562484002139,-0.000580691457304885,0.000739689511225295,0.0010604926577209
"T+6",0.00100249462680499,-0.00229854210231008,0.00103721296655688,0.000534148292028111,0.00109037886331799,0.00276867419950182,0.000344579703008758,-0.000580488911391274,0.000738871565863857,0.00106837411693642
"T+7",0.00100234449370143,-0.00229811755711168,0.0010195258721596,0.00053300224008672,0.000921987759768362,-0.00167753357836041,0.000347714323390228,-0.000577759534546305,0.000741717112306801,0.00107169963816382
"T+8",0.00100228247132261,-0.00229803068212189,0.00100313590040993,0.000533337416740815,0.000795174788878253,0.00251182029411667,0.000347624684533312,-0.000577813532467511,0.000741805924154987,0.00107261365377385
"T+9",0.00100226111837259,-0.00229801280195758,0.000987947923914337,0.000533235429867286,0.00069967537734247,-0.00143551789220188,0.000347846025244916,-0.000577579683321628,0.000742045474560623,0.00107293469018055
"T+10",0.00100225328722579,-0.00229800912955075,0.000973873791661152,0.000533265859730911,0.000627757493393323,0.00228378566302767,0.000347838270073031,-0.000577590386256947,0.000742065954224959,0.00107303215093287
"T+11",0.00100225047986867,-0.00229800837471736,0.000960831817390408,0.00053325669226295,0.000573598196490172,-0.00122065664284654,0.000347853908595323,-0.00057757019177395,0.000742086834701595,0.00107306436153903
"T+12",0.00100224946528035,-0.00229800821960853,0.000948746305486806,0.000533259440967962,0.000532812383342782,0.0020813367795306,0.000347853260529282,-0.000577571630412089,0.000742089670353487,0.00107307448666471
"T+13",0.00100224909966532,-0.00229800818773259,0.000937547111642378,0.000533258614876734,0.000502097757318006,-0.00102990307256954,0.00034785436609999,-0.000577569873052594,0.000742091548097953,0.00107307776424546
"T+14",0.00100224896777678,-0.00229800818118208,0.000927169235738942,0.00053325886286093,0.000478967453450083,0.00190160289340161,0.000347854313255483,-0.000577570041443906,0.000742091885074659,0.00107307880705371
"T+15",0.00100224892021809,-0.00229800817983593,0.000917552444587434,0.000533258788375974,0.000461548685056939,-0.000860552272078003,0.000347854391459989,-0.00057756988738774,0.000742092058438517,0.00107307914221825
"T+16",0.00100224890306628,-0.0022980081795593,0.000908640922334494,0.000533258810742086,0.000448431110205109,0.00174203535583365,0.000347854387228792,-0.000577569905749761,0.000742092095749671,0.00107307924930216
"T+17",0.00100224889688086,-0.00229800817950245,0.000900382946507267,0.000533258804025123,0.00043855264083749,-0.000710202826007478,0.00034785439276394,-0.000577569892150688,0.000742092112096052,0.001073079283635
"T+18",0.00100224889465018,-0.00229800817949077,0.000892730587816184,0.000533258806042214,0.0004311134489023,0.00160037147934445,0.000347854392429888,-0.000577569894069425,0.000742092116070804,0.00107307929462006
"T+19",0.00100224889384573,-0.00229800817948837,0.000885639431973377,0.000533258805436465,0.000425511206835326,-0.000576722760556923,0.000347854392821879,-0.000577569892861212,0.000742092117637176,0.00107307929813906
"T+20",0.00100224889355562,-0.00229800817948787,0.000879068321912166,0.000533258805618374,0.000421292319024606,0.00147460245258735,0.000347854392795799,-0.000577569893056155,0.000742092118050995,0.00107307929926556
"T+21",0.00100224889345099,-0.00229800817948777,0.000872979118911452,0.000533258805563745,0.000418115195625322,-0.00045821931183569,0.000347854392823575,-0.000577569892948172,0.0007420921182029,0.00107307929962632
