"","KO","CAT","T","MCD","DIS","VZ","RTX","MMM","DD"
"T+1",0.00251126378750194,0.00117752195067738,-0.00138284668237082,0.00142427190653374,-0.000499993047197098,-0.000460686366244045,0.00122984492317021,2.17034224377077e-08,-0.000534783564293005
"T+2",0.000179889224957183,0.00155407634893265,-0.000655939895444054,0.000842952853937801,-0.00231299193742732,0.00208004429834874,0.00160836194466006,8.26657814619617e-06,-0.000743365694087081
"T+3",0.00185630488295126,0.000722383970959864,0.00105483800519874,0.00136516684589924,0.00207344988241042,-0.000221883122977588,0.00153084742811333,0.000330418721071268,0.000144474274318778
"T+4",0.000621667536301111,0.000802271975157025,-0.000342942575320779,0.00105000066488002,-0.00187040938657162,0.000687633459256931,0.00152123374393787,0.000300631488434837,-0.000178848966551021
"T+5",0.00153487993364498,0.000749709868167702,0.000512660426754891,0.00123358916582561,0.00110992827528035,0.00021006769179331,0.00150187998284462,0.000296560674199466,-0.000175678960222984
"T+6",0.000858895169477729,0.00075792367441655,3.250634222328e-05,0.00112707017566615,-0.0010132035996372,0.000433582596567286,0.00148428602485048,0.000297564448234342,-0.000131310520130351
"T+7",0.00135934539742326,0.000754378649816601,0.000293115550308782,0.00118884493799305,0.000464222355367053,0.000324246160907821,0.00146674300389908,0.000297558218693267,-0.000149386453072789
"T+8",0.000988839361430107,0.000755092075590571,0.000153626347290358,0.00115302107268011,-0.000553779686833514,0.000376810788251001,0.00144949939026667,0.000297537575814757,-0.000148465833368472
"T+9",0.00126314297257697,0.000754841740832713,0.000227838236938895,0.0011737956022524,0.000144684975469384,0.000351368659468492,0.00143251368981534,0.000297539605021951,-0.000146280708194309
"T+10",0.00106006253611504,0.000754899647320805,0.000188459770798002,0.0011617483042359,-0.000333654306341991,0.000363650644515701,0.00141578744636534,0.000297539854795149,-0.000147278826916816
"T+11",0.00121041297798153,0.000754881438997442,0.000209330513226509,0.00116873461781301,-6.33169700627186e-06,0.00035771551518917,0.00139931589654823,0.000297539788946612,-0.000147190620748047
"T+12",0.00109910114364994,0.00075488599027279,0.000198274638694612,0.00116468320504917,-0.0002302357206794,0.000360582448329046,0.0013830952806681,0.000297539789720419,-0.000147084810735151
"T+13",0.00118151077517358,0.000754884641944219,0.00020412993868772,0.00116703264802574,-7.70986845682516e-05,0.000359197374487955,0.00136712175833091,0.000297539791041047,-0.000147139299237971
"T+14",0.00112049886737759,0.000754884993823385,0.000201029227855065,0.00116567018939186,-0.000181828163825337,0.000359866491023264,0.00135139156808953,0.000297539790903297,-0.000147132581832666
"T+15",0.00116566898675036,0.000754884892931986,0.000202671155107087,0.00116646028881011,-0.000110206459592742,0.000359543239226141,0.00133590100276719,0.000297539790888046,-0.000147127561293313
"T+16",0.00113222732334558,0.000754884919900846,0.000201801718492902,0.00116600210455762,-0.000159185994144061,0.00035969940148957,0.00132064641210906,0.00029753979089236,-0.000147130504038421
"T+17",0.00115698583332546,0.000754884912306405,0.000202262100258711,0.00116626780885303,-0.000125690826629113,0.000359623959554762,0.00130562420139978,0.000297539790892286,-0.000147130043327317
"T+18",0.00113865588935692,0.000754884914363625,0.000202018321081178,0.00116611372504893,-0.000148596789712129,0.000359660405475465,0.00129083083069371,0.000297539790892201,-0.000147129811092709
"T+19",0.00115222644938508,0.000754884913790048,0.000202147405656102,0.001166203079339,-0.000132932364016415,0.00035964279847913,0.00127626281396934,0.00029753979089221,-0.000147129968381101
"T+20",0.00114217949562494,0.000754884913946571,0.000202079053572597,0.00116615126215289,-0.000143644601351811,0.00035965130440372,0.00126191671830946,0.000297539790892211,-0.000147129938660261
"T+21",0.00114961775017368,0.00075488491390317,0.000202115246942203,0.00116618131130637,-0.000136318957472404,0.000359647195198616,0.00124778916309201,0.000297539790892211,-0.000147129928272197
