"","MCD","KO","NKE","IBM","RTX","MMM","WBA","AXP","DOW","TRV"
"T+1",-0.0002507778320831,3.2962783532191e-05,0.00111863020551533,0.00160933739007708,0.000462304948836788,0.00187264313163711,0.0022439200946652,0.00189207470857472,0.000403453712835787,0.00200691805495188
"T+2",-3.84337152409802e-05,2.56363752747201e-05,0.000989784551666153,0.000591835714914548,0.000862093344021347,0.00133997223359359,-0.000293154056192023,0.00112269414129001,-0.00159694398164141,0.000144133744950254
"T+3",5.1712144296327e-05,5.19989107854084e-05,0.000782934402366247,0.000747771811054593,0.000701382824748516,0.00127899059626634,4.84087981563249e-05,0.00185962145092037,-0.000421708392382078,0.00131217815402044
"T+4",0.000136716497157211,7.69041927711869e-05,0.000774113837324943,0.000711389565177276,0.000807600898676162,0.00124558804164649,-0.000254397580728923,0.00150121161624787,-0.000198805856380985,0.000483763721079006
"T+5",0.00021524959479307,0.000100782440290951,0.000755809966428305,0.000707682238277016,0.000736064700277271,0.0012144460659684,-0.000174030386994007,0.00170116938454175,-7.29880863065047e-05,0.00106375643845476
"T+6",0.000287829459098054,0.00012367211743256,0.0007552592292384,0.000699478743221662,0.00078426920008003,0.00118410632356866,-0.000216277367864566,0.00159333961680422,-2.56387399156216e-05,0.000657165390750415
"T+7",0.000354906972416999,0.00014561419406856,0.000753636601004585,0.000692823841797478,0.000751786213422448,0.00115447021729595,-0.000201839399975341,0.00165196046648837,-5.56634972416105e-06,0.000942160132306537
"T+8",0.000416899279855973,0.000166647899062892,0.000753608363467549,0.000686647300229945,0.000773675142565307,0.00112551697609322,-0.00020823094399803,0.00162015358981021,2.62101732275368e-06,0.000742394155916578
"T+9",0.000474191895287667,0.000186810837750973,0.000753464254513674,0.000681058294840731,0.000758925106493288,0.00109723061190829,-0.000205821908326558,0.00163741961966154,6.00136296590133e-06,0.000882419172222788
"T+10",0.000527141106548067,0.000206139058653935,0.000753463587442115,0.000675977779623713,0.000768864540386194,0.001069595750177,-0.000206823534928082,0.00162804798511216,7.39164461644039e-06,0.000784269286501185
"T+11",0.000576076190973378,0.00022466711793403,0.000753450765235996,0.000671363323290071,0.000762166770588882,0.00104259738441994,-0.000206431573582558,0.00163313484603865,7.96414434145358e-06,0.000853066992761226
"T+12",0.000621301463091896,0.000242428141176169,0.000753450870186856,0.000667171541118535,0.000766680118204164,0.00101622085458831,-0.00020659076604084,0.00163037374953814,8.19980084230607e-06,0.000804843560221619
"T+13",0.000663098167076655,0.000259453882611848,0.000753449727215202,0.000663363821086052,0.00076363876155668,0.000990451838334083,-0.00020652757447549,0.00163187244702205,8.29681540820883e-06,0.000838645551189246
"T+14",0.000701726225729602,0.000275774781891278,0.000753449751209109,0.000659904957264675,0.000765688204906861,0.000965276343189221,-0.000206553013657703,0.00163105896827741,8.33675260138926e-06,0.000814952202681708
"T+15",0.000737425856873713,0.000291420018505238,0.000753449649136973,0.000656762990923836,0.000764307170542123,0.000940680698965306,-0.000206542860778486,0.00163150051684474,8.35319342235938e-06,0.000831559945226712
"T+16",0.000770419067204991,0.000306417563953933,0.000753449652581543,0.000653908887782664,0.000765237791979607,0.000916651550330554,-0.000206546934442467,0.00163126084846443,8.35996153782982e-06,0.000819918825257813
"T+17",0.000800911032894207,0.000320794231756128,0.00075344964344939,0.00065131627423571,0.000764610685021215,0.000893175849557909,-0.000206545305294845,0.00163139093819196,8.36274773956633e-06,0.000828078614209447
"T+18",0.000829091375524004,0.000334575725387986,0.000753449643873126,0.000648961192899305,0.000765033266235684,0.00087024084944019,-0.000206545958138495,0.0016313203267197,8.36389472310879e-06,0.00082235904805833
"T+19",0.000855135341296062,0.000347786684237291,0.000753449643054613,0.000646821881353165,0.000764748506386614,0.000847834096368404,-0.000206545696849724,0.00163135865395822,8.36436689689068e-06,0.000826368151375941
"T+20",0.00087920489084153,0.00036045072765524,0.000753449643102831,0.000644878571021793,0.000764940394167864,0.000825943423569492,-0.000206545801505358,0.00163133785029607,8.36456127463301e-06,0.000823557989033796
"T+21",0.000901449706411948,0.000372590497184545,0.000753449643029336,0.000643113304503828,0.000764811088998216,0.000804556944499823,-0.00020654575960658,0.00163134914232689,8.36464129328004e-06,0.000825527759270078
