"","DIS","HD","CAT","T","RTX","VZ","MMM","DD","MDLZ"
"T+1",-0.00403930540911484,-0.00853037413101087,-0.00725943544365801,-0.00656180305295731,-0.00718961579648593,-0.0142708734552027,-0.00840610137880731,-0.00590514875028704,-0.00061209459986236
"T+2",0.000697713826136549,0.00247379643989055,-0.00116757559542772,0.00311160420589153,-0.000575016792755736,-0.0106223699358031,-0.00246740845107616,0.00308927091171433,-0.000904154180357478
"T+3",0.000210060595269298,0.000348606203985565,-0.000354591271724189,-0.00280630417031539,0.000209072287815042,-0.00640415732808321,0.000823252388680398,-0.000688713821828244,0.00019600664721091
"T+4",-0.000496812401197895,-0.00080057280936733,-0.00114138791273155,0.000497537451576649,-0.00139321492833526,-0.00378936400702188,-0.000576294052772664,-0.0013264057160653,-0.000111060171220209
"T+5",-0.000205145005979323,-0.000453091233251072,-0.000857458528649967,-0.00126530500823072,-0.000687870105026354,-0.00235253658041039,-0.000962219813509571,-0.00063849812723032,-0.000134018450895683
"T+6",-0.000162954753965489,-0.000343187211974899,-0.0009247977221089,-0.000347760517829231,-0.0007725506565959,-0.00159092605863945,-0.000679483966805014,-0.000672602679439056,-9.42039982326026e-05
"T+7",-0.000227358600853748,-0.000393724228397068,-0.000915754671007843,-0.000818517033542106,-0.000854532462623341,-0.00119200382010731,-0.000648558504757776,-0.00076949449525637,-0.00010399507325375
"T+8",-0.000216288634204846,-0.000402842106203001,-0.000914889885575238,-0.000579056212465562,-0.000796025209516929,-0.000983901481160395,-0.000699990842270525,-0.00074607614805461,-0.000105232215986051
"T+9",-0.000207961828212997,-0.000396044831635398,-0.000915909253046235,-0.000700228099694154,-0.000812197194542019,-0.000875494843420962,-0.000698990722440403,-0.000735943828369438,-0.000103807417184447
"T+10",-0.000212350811461402,-0.000395498058737615,-0.000915527978099271,-0.000639109717057618,-0.00081416632765264,-0.000819050097956673,-0.000690435579490721,-0.00074137475133563,-0.000104113470552037
"T+11",-0.000212572195970986,-0.000396357592699645,-0.000915621051362495,-0.000669876065509607,-0.000810221382210326,-0.00078966562712437,-0.000691638390711612,-0.000741871255143407,-0.000104171371193521
"T+12",-0.000211722608361829,-0.000396354002360551,-0.0009156077581003,-0.000654407812608412,-0.000811951048715166,-0.000774369312973173,-0.000692936153256249,-0.000740961717031701,-0.000104120922524765
"T+13",-0.000211928630284914,-0.000396251166661965,-0.000915606907913935,-0.000662178696689247,-0.000811746225742146,-0.000766406859894452,-0.000692576386082325,-0.000741058878701289,-0.000104130255394717
"T+14",-0.000212021128071708,-0.000396259875490496,-0.000915608223471847,-0.000658276676251414,-0.000811543691453742,-0.000762262056707256,-0.000692400955604109,-0.000741177155279271,-0.000104132767809719
"T+15",-0.000211957508004176,-0.000396271512414532,-0.000915607712487472,-0.000660235418311262,-0.000811687445841289,-0.000760104511637956,-0.000692482849264393,-0.000741140227088249,-0.0001041309998332
"T+16",-0.000211959346885233,-0.000396269530802098,-0.000915607840825747,-0.000659252352236129,-0.000811647908675045,-0.000758981419284068,-0.000692502543435036,-0.000741129433510056,-0.000104131275349822
"T+17",-0.000211970202451905,-0.000396268294149195,-0.000915607821445547,-0.000659745681258477,-0.000811642965893236,-0.000758396802962025,-0.000692486348402084,-0.000741137018626661,-0.000104131379246898
"T+18",-0.000211966734567854,-0.000396268631446143,-0.000915607820729447,-0.000659498133862322,-0.000811652678416916,-0.000758092485861301,-0.000692484983800643,-0.00074113720769658,-0.000104131317915062
"T+19",-0.000211965794240644,-0.000396268752664903,-0.000915607822420027,-0.000659622344802938,-0.000811648436966944,-0.000757934076164193,-0.000692487880659024,-0.000741136032624792,-0.000104131325687067
"T+20",-0.000211966686835079,-0.000396268702438998,-0.000915607821736582,-0.000659560021756004,-0.000811648932256753,-0.000757851617335004,-0.000692487760693593,-0.000741136226105541,-0.000104131329840302
"T+21",-0.000211966597060709,-0.000396268691938563,-0.000915607821913146,-0.000659591291877723,-0.000811649432589174,-0.000757808694088471,-0.000692487286528362,-0.000741136366080994,-0.000104131327734394
