"","HD","DIS","CAT","T","RTX","VZ","MMM","DD","MDLZ"
"T+1",-0.00384777888957177,-0.0156164244486297,-0.00359074265354872,-0.00819297118096244,0.00624677594344314,-0.00555424069884119,-0.00369219446715027,-0.00716258153834739,-0.0012320623499335
"T+2",-0.00498452812901432,0.00899803780001798,-0.00105886338204536,0.00699707312167991,0.00740021775930595,-0.00306488936188028,-0.00410905895017942,-0.0036549214340636,-9.29159183417988e-05
"T+3",-0.000658968203733217,-0.00500723189914981,-0.00087154999098033,-0.00620901302254101,0.00667910217295138,-0.00222037655977483,-0.000204830955879827,0.000644982753673819,0.000335213106847038
"T+4",-0.000246796137983417,0.00241138144668096,-0.00100502080237009,0.00230530599549715,0.00617596218998537,-0.00172167839299202,-0.000321212861375443,-0.000454164247024263,0.000185116732843671
"T+5",-0.000678696418693711,-0.00133142705848549,-0.000976252950832328,-0.00264319408050667,0.00569205090018605,-0.00140057185993898,-0.00080118555616492,-0.000895601459687575,0.000181502647190716
"T+6",-0.000751589867947411,0.000488721457102489,-0.000979352232400934,9.9882484035244e-05,0.00524321275553204,-0.00119189658503653,-0.000766054876670264,-0.000680021764735124,0.000192316574127529
"T+7",-0.00071060325672396,-0.00037032247155567,-0.000979497637742796,-0.0013844076899872,0.00482540480710239,-0.00105615946252437,-0.000707945546534396,-0.000649314262531682,0.000190726358869
"T+8",-0.000700096194670669,2.4742711790866e-05,-0.000979356257734525,-0.000591621640474632,0.00443662269144237,-0.000967858159548807,-0.000714812417914153,-0.000683650495833971,0.000190261419073149
"T+9",-0.000703743957253179,-0.000152696993496017,-0.000979388496086439,-0.00101202544191451,0.00407483675581054,-0.000910414818495469,-0.000721735020339687,-0.000683036090043851,0.000190448418756211
"T+10",-0.000705106227903326,-7.478592399457e-05,-0.000979384750008444,-0.00078999232846262,0.00373817367759435,-0.000873045714562922,-0.000720583839274565,-0.000678350178630086,0.000190448269576743
"T+11",-0.000704810354527374,-0.000108227865088644,-0.000979384658640878,-0.000906988031261135,0.00342488877950269,-0.000848735672065317,-0.000719773493724813,-0.000679102013868862,0.000190435586612123
"T+12",-0.00070464565977824,-9.42113151627983e-05,-0.000979384807393371,-0.000845420449885567,0.00313335867095037,-0.000832921052239735,-0.000719951397783152,-0.000679646506452241,0.000190437749871554
"T+13",-0.00070466600740422,-9.99340116396024e-05,-0.00097938477142123,-0.000877795327427298,0.0028620726784666,-0.000822633032360951,-0.00072004439661516,-0.000679464552332299,0.00019043824454632
"T+14",-0.00070468487966192,-9.76676499297486e-05,-0.00097938477590104,-0.000860778552479983,0.0026096250323013,-0.000815940278807348,-0.000720018291568508,-0.000679414736292331,0.000190438013555241
"T+15",-0.000704683988629569,-9.85320174210786e-05,-0.000979384775924338,-0.00086972064475652,0.00237470758052532,-0.00081158638460249,-0.000720007863608385,-0.000679447115613389,0.000190438019151857
"T+16",-0.000704681923109707,-9.82185456673662e-05,-0.000979384775768998,-0.000865022358288237,0.00215610301048084,-0.000808754008571416,-0.000720011555551908,-0.000679449435912066,0.000190438033899645
"T+17",-0.00070468187866207,-9.83240272214602e-05,-0.000979384775808965,-0.000867490695575154,0.00195267854080831,-0.000806911438769776,-0.000720012691897986,-0.000679444604674049,0.000190438031015649
"T+18",-0.000704682095164754,-9.82929034552531e-05,-0.000979384775803657,-0.000866193966577707,0.00176338005151721,-0.000805712776079276,-0.000720012184337205,-0.000679444969206067,0.000190438030503007
"T+19",-0.000704682114471862,-9.82995773961109e-05,-0.000979384775803718,-0.000866875178575236,0.00158722662166889,-0.000804932999788403,-0.000720012065041547,-0.000679445588983048,0.000190438030786029
"T+20",-0.000704682092765301,-9.82997897201936e-05,-0.000979384775803879,-0.000866517322280616,0.00142330544636776,-0.000804425725249347,-0.000720012133229422,-0.000679445450163506,0.00019043803077282
"T+21",-0.000704682089251421,-9.82983155487092e-05,-0.000979384775803835,-0.000866705310740235,0.00127076710672122,-0.000804095723605303,-0.000720012145111375,-0.000679445383747187,0.000190438030755829
