"","HD","DIS","VZ","T","BA","RTX","DD","MMM","TRV","MDLZ"
"T+1",0.00237533003532741,0.00315741252022022,-0.00088028835179764,0.000418234562763826,-0.000390458579622988,0.00389996419736324,0.00340291064182039,0.00286978976538757,0.00176093000386438,0.00193756566150469
"T+2",0.00317129223645424,0.00218493496388367,-0.00042947432998533,0.000299465700064708,0.00202545283145977,-0.000348515615585971,0.00140675388986961,0.00089159268341752,0.00184124794960422,0.000516312410572988
"T+3",0.00300483478821111,0.00227750465256166,0.000152405952375942,0.000437189856564603,0.0023498690891023,0.00321079539838189,0.00292186122597872,0.00233051665656929,0.00153788072986826,0.0011986408807803
"T+4",0.00281300507051088,0.0022818440284449,-0.00015522682608111,0.000338776292062936,0.00239713069188113,0.00120192281980923,0.00226992138554201,0.00133293263749264,0.00130976935306786,0.000903627482453411
"T+5",0.00266768586703815,0.00228800624588964,7.61888623807953e-05,0.000409926018064763,0.00240744324182937,0.00243946711986822,0.00256374375638218,0.00202514410822896,0.00114701155773188,0.00103166997602549
"T+6",0.00256219475144319,0.0022912744029881,-8.69853992422019e-05,0.000358505217451366,0.00241262151485313,0.00169350780951921,0.00243194737578739,0.00154483469091861,0.00103116459542842,0.000976104811719623
"T+7",0.00248603982875904,0.00229317420347439,2.92867104386729e-05,0.000395668066847652,0.00241689180723061,0.00214553269305701,0.00249109385780341,0.00187811030822472,0.000948717090328726,0.00100021793864073
"T+8",0.00243110376721696,0.00229426502738632,-5.34200385321993e-05,0.000368809734734956,0.00242082727917102,0.00187197432344673,0.002464551864353,0.00164685805192155,0.000890040075925664,0.000989753778740247
"T+9",0.00239147835906203,0.00229489235941372,5.42798954550942e-06,0.000388220786965702,0.0024245166568643,0.00203757954077153,0.00247646264568791,0.00180731865351925,0.000848280278366173,0.000994294817473576
"T+10",0.00236289691563455,0.00229525306212341,-3.64419254911913e-05,0.000374192032424375,0.00242798376605081,0.0019373340635743,0.00247111765743678,0.00169597874671509,0.000818560281731486,0.000992324183140083
"T+11",0.00234228141976805,0.00229546046424882,-6.65156973545367e-06,0.000384330893092152,0.00243124311749388,0.00199801659102467,0.00247351623230745,0.00177323493747922,0.000797408881316135,0.000993179361856769
"T+12",0.00232741168206127,0.00229557971893504,-2.78473168301104e-05,0.000377003336298872,0.00243430730889015,0.0019612832390707,0.0024724398667269,0.00171962865036527,0.000782355658228086,0.000992808247528229
"T+13",0.00231668629889723,0.00229564828952834,-1.27666042546515e-05,0.000382299107719165,0.00243718804546827,0.0019835193043403,0.00247292288807334,0.00175682481535503,0.00077164244203963,0.000992969296724333
"T+14",0.00230895019448291,0.00229568771712763,-2.34964871207708e-05,0.000378471748105697,0.00243989631336861,0.00197005898997161,0.00247270613121552,0.00173101525523749,0.000764017961858259,0.000992899407632021
"T+15",0.00230337022493227,0.00229571038771458,-1.58622068152508e-05,0.000381237857223374,0.00244244243857396,0.0019782070176301,0.00247280340131706,0.00174892391312317,0.000758591701712518,0.00099292973678201
"T+16",0.00229934545244782,0.00229572342313955,-2.12939749391738e-05,0.000379238735002412,0.00244483612853495,0.0019732747142797,0.00247275975115186,0.00173649750888359,0.000754729891009515,0.000992916575109585
"T+17",0.00229644242700935,0.00229573091841545,-1.74292877943272e-05,0.000380683540497901,0.00244708650947957,0.00197626042044752,0.00247277933925645,0.00174511990389003,0.000751981482067579,0.00099292228676392
"T+18",0.00229434850574325,0.00229573522814536,-2.01790014025639e-05,0.000379639350754068,0.00244920216124747,0.00197445306175955,0.0024727705490528,0.00173913702306516,0.000750025469126229,0.000992919808127909
"T+19",0.00229283818268148,0.00229573770620916,-1.82225882068831e-05,0.000380394007505119,0.00245119115000691,0.00197554712301144,0.0024727744936754,0.00174328840593939,0.000748633395854908,0.000992920883759611
"T+20",0.00229174880277602,0.00229573913107808,-1.9614570477606e-05,0.000379848602021806,0.00245306105900856,0.00197488484715508,0.00247277272351761,0.00174040785720828,0.000747642672352134,0.000992920416977255
"T+21",0.00229096304467667,0.00229573995036749,-1.86241791603296e-05,0.000380242777441046,0.00245481901749772,0.00197528574729588,0.00247277351787969,0.00174240660346794,0.000746937585142165,0.000992920619542657
